


商品名称 ：铜                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,253518,41069,期货公司  ,347786,10783,期货公司  ,341642,10183,
非期货公司,1570,-617,非期货公司,1873,233,非期货公司,8017,833,
合约代码 ：cu2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
20,方正中期  ,1140,361,20,弘业期货  ,1539,-31,20,一德期货  ,1505,-32,
合计,,70200,17488,合计,,60447,7116,合计,,77901,5257,
合约代码 ：cu2005                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,6066,3260,1,金瑞期货  ,4514,61,1,中信期货  ,7159,655,
2,东证期货  ,5510,1877,2,中信期货  ,3960,-27,2,中粮期货  ,6054,-109,
3,华泰期货  ,5506,1258,3,银河期货  ,3147,-109,3,五矿经易  ,5244,281,
4,五矿经易  ,2407,1691,4,上海大陆  ,3051,-8,4,金瑞期货  ,4116,100,
5,国富期货  ,2283,454,5,浙商期货  ,2445,143,5,建信期货  ,2763,155,
6,新湖期货  ,1019,906,6,永安期货  ,2433,-232,6,国贸期货  ,2715,101,
7,混沌天成  ,1004,904,7,国泰君安  ,2241,462,7,大有期货  ,2648,49,
8,国信期货  ,992,360,8,华泰期货  ,1837,63,8,浙商期货  ,2593,19,
9,国泰君安  ,986,489,9,宝城期货  ,1642,136,9,国投安信  ,2432,-84,
10,上海中期  ,877,211,10,南华期货  ,1441,-19,10,国泰君安  ,2407,166,
11,中信建投  ,793,706,11,英大期货  ,1426,-42,11,海通期货  ,2317,-26,
12,永安期货  ,726,-319,12,首创期货  ,1399,90,12,云晨期货  ,2225,159,
13,华安期货  ,718,122,13,弘业期货  ,1398,-40,13,永安期货  ,2200,44,
14,方正中期  ,697,129,14,方正中期  ,1394,-47,14,兴业期货  ,1826,-2,
15,兴证期货  ,682,315,15,东证期货  ,1320,140,15,银河期货  ,1519,90,
16,中辉期货  ,665,-86,16,海通期货  ,1315,211,16,东证期货  ,1465,116,
17,一德期货  ,665,208,17,上海中期  ,1305,-2,17,鲁证期货  ,1247,17,
18,华闻期货  ,647,348,18,道通期货  ,1245,179,18,首创期货  ,1241,0,
19,大有期货  ,553,140,19,宏源期货  ,1231,49,19,广发期货  ,964,234,
20,银河期货  ,549,-523,20,中大期货  ,1118,3,20,华安期货  ,844,59,
合计,,33345,12450,合计,,39862,1011,合计,,53979,2024,
合约代码 ：cu2006                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,2014,35,1,中信期货  ,2577,-11,1,中信期货  ,5757,-25,
2,国富期货  ,1164,79,2,金瑞期货  ,1619,72,2,五矿经易  ,4090,540,
3,中信期货  ,1088,-903,3,中信建投  ,1197,142,3,国投安信  ,3364,13,
4,华闻期货  ,871,291,4,方正中期  ,1177,102,4,建信期货  ,1766,426,
5,中银国际  ,806,703,5,国泰君安  ,1156,1,5,大有期货  ,1624,0,
6,五矿经易  ,719,171,6,申万期货  ,1106,-1,6,广发期货  ,1480,0,
7,建信期货  ,626,86,7,华泰期货  ,961,45,7,银河期货  ,1308,-12,
8,华泰期货  ,621,-368,8,上海中期  ,808,80,8,云晨期货  ,893,0,
9,海通期货  ,459,251,9,南华期货  ,767,32,9,金瑞期货  ,827,113,
10,银河期货  ,413,-578,10,银河期货  ,762,-93,10,中银国际  ,783,-426,
11,东亚期货  ,346,-1049,11,招金期货  ,707,-73,11,鲁证期货  ,549,1,
12,中信建投  ,300,230,12,新湖期货  ,685,149,12,海通期货  ,531,154,
13,中辉期货  ,291,83,13,中大期货  ,677,-6,13,浙商期货  ,477,19,
14,国信期货  ,263,-543,14,兴业期货  ,675,7,14,国泰君安  ,471,7,
15,南华期货  ,253,82,15,建信期货  ,662,200,15,首创期货  ,444,0,
16,方正中期  ,232,-499,16,中钢期货  ,654,82,16,永安期货  ,443,-1,
17,金瑞期货  ,231,18,17,永安期货  ,573,-20,17,国贸期货  ,415,10,
18,宏源期货  ,197,58,18,广州期货  ,556,40,18,中粮期货  ,356,40,
19,申万期货  ,182,2,19,国联期货  ,516,-2,19,海证期货  ,316,0,
20,新湖期货  ,174,33,20,东亚期货  ,475,-164,20,格林大华  ,300,0,
合计,,11250,-1818,合计,,18310,582,合计,,26194,859,
商品名称 ：铝                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,119054,-47350,期货公司  ,309579,-1613,期货公司  ,310121,-1613,
非期货公司,0,0,非期货公司,672,0,非期货公司,130,0,
合约代码 ：al2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中粮期货  ,1655,1470,1,海通期货  ,3855,-260,1,中信期货  ,4905,-530,
2,中信期货  ,865,-2250,2,中信期货  ,3505,-215,2,云晨期货  ,3290,-90,
3,首创期货  ,620,480,3,迈科期货  ,1760,0,3,建信期货  ,2000,0,
4,华信期货  ,600,600,4,永安期货  ,1660,0,4,鲁证期货  ,1770,0,
5,国泰君安  ,520,-360,5,国贸期货  ,1125,0,5,中国国际  ,1640,-80,
6,国海良时  ,490,350,6,国信期货  ,1100,0,6,一德期货  ,1600,0,
7,中辉期货  ,400,340,7,方正中期  ,1055,-70,7,海通期货  ,1500,0,
8,招商期货  ,345,345,8,国泰君安  ,980,-295,8,国泰君安  ,1100,175,
9,信达期货  ,310,150,9,中粮期货  ,855,-335,9,新湖期货  ,1000,0,
10,方正中期  ,290,165,10,南华期货  ,845,-155,10,前海期货  ,650,0,
11,海通期货  ,260,210,11,一德期货  ,810,-105,11,中粮期货  ,600,-160,
12,格林大华  ,250,250,12,信达期货  ,780,-310,12,东华期货  ,450,0,
13,华泰期货  ,220,210,13,银河期货  ,740,-5,13,招商期货  ,425,-325,
14,新湖期货  ,185,135,14,国海良时  ,630,490,14,华信期货  ,420,-600,
15,南华期货  ,155,125,15,华泰期货  ,385,-140,15,信达期货  ,365,0,
16,一德期货  ,135,65,16,国金期货  ,365,-5,16,东证期货  ,260,60,
17,东证期货  ,130,45,17,首创期货  ,345,345,17,国投安信  ,240,-35,
18,国投安信  ,125,90,18,东亚期货  ,300,0,18,首创期货  ,180,-195,
19,平安期货  ,125,125,19,五矿经易  ,235,-15,19,中辉期货  ,65,0,
20,中银国际  ,100,100,20,长江期货  ,200,0,20,铜冠金源  ,50,-50,
合计,,7780,2645,合计,,21530,-1075,合计,,22510,-1830,
合约代码 ：al2003                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,6341,-2741,1,云晨期货  ,5280,-1190,1,中信期货  ,14478,318,
