

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
非期货公司,1227,529,非期货公司,800,-940,非期货公司,55,-15,
合约代码 ：zn2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,建信期货  ,1620,550,1,首创期货  ,1395,510,1,金汇期货  ,1300,0,
2,国金期货  ,1200,0,2,中信期货  ,965,15,2,金瑞期货  ,1280,270,
3,首创期货  ,960,140,3,海通期货  ,930,-300,3,铜冠金源  ,700,-130,
4,国海良时  ,850,620,4,永安期货  ,905,0,4,中粮期货  ,565,-95,
5,大有期货  ,795,735,5,国投安信  ,775,-140,5,瑞达期货  ,560,0,
6,一德期货  ,760,190,6,国海良时  ,750,730,6,迈科期货  ,460,-20,
7,中粮期货  ,385,220,7,中粮期货  ,380,-240,7,国贸期货  ,425,0,
8,金瑞期货  ,380,380,8,广发期货  ,375,110,8,中信期货  ,410,-40,
9,海通期货  ,350,335,9,一德期货  ,260,-145,9,五矿经易  ,340,-190,
10,格林大华  ,345,-240,10,国泰君安  ,170,60,10,中银国际  ,245,-35,
11,东华期货  ,240,220,11,东华期货  ,160,120,11,兴业期货  ,190,0,
12,五矿经易  ,190,-120,12,兴业期货  ,110,0,12,首创期货  ,170,0,
13,迈科期货  ,160,-25,13,金瑞期货  ,60,30,13,南华期货  ,125,-5,
14,鲁证期货  ,155,35,14,兴证期货  ,50,50,14,一德期货  ,125,-395,
15,国泰君安  ,150,150,15,先融期货  ,45,35,15,大有期货  ,125,125,
16,国投安信  ,150,-440,16,五矿经易  ,40,0,16,广发期货  ,115,0,
17,铜冠金源  ,130,130,17,华泰期货  ,35,-90,17,银河期货  ,90,0,
18,华泰期货  ,130,0,18,大有期货  ,30,-670,18,鲁证期货  ,85,-155,
19,广发期货  ,110,-60,19,银河期货  ,10,0,19,国海良时  ,50,0,
20,中信期货  ,95,-30,20,华安期货  ,10,0,20,格林大华  ,40,-345,
合计,,9155,2790,合计,,7455,75,合计,,7400,-1015,
合约代码 ：zn2004                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,19287,1219,1,国金期货  ,4216,50,1,永安期货  ,5309,-301,
2,中信期货  ,7973,519,2,国贸期货  ,3782,2,2,一德期货  ,3871,382,
3,海通期货  ,6846,-429,3,五矿经易  ,2797,-65,3,方正中期  ,2693,-148,
4,东证期货  ,6755,1115,4,首创期货  ,2293,140,4,银河期货  ,2630,-372,
5,五矿经易  ,6551,1104,5,兴业期货  ,2052,83,5,海通期货  ,2311,-419,
6,一德期货  ,3496,3,6,华泰期货  ,1845,-306,6,中粮期货  ,2293,205,
7,国投安信  ,3215,1148,7,大有期货  ,1598,396,7,国海良时  ,2119,1231,
8,国富期货  ,3071,451,8,方正中期  ,1567,-55,8,国投安信  ,1938,-431,
9,国信期货  ,2908,882,9,中信期货  ,1539,-234,9,广发期货  ,1741,113,
10,方正中期  ,1917,76,10,国信期货  ,1306,-52,10,五矿经易  ,1701,-178,
11,中粮期货  ,1805,580,11,一德期货  ,1266,-174,11,中信期货  ,1553,29,
12,国海良时  ,1759,-196,12,瑞达期货  ,1185,1,12,建信期货  ,1406,-174,
13,国泰君安  ,1601,491,13,南华期货  ,1113,-55,13,格林大华  ,1023,183,
14,新湖期货  ,1562,452,14,东证期货  ,1113,-35,14,国泰君安  ,1012,-58,
15,银河期货  ,1522,-711,15,金瑞期货  ,797,-860,15,首创期货  ,954,70,
16,中辉期货  ,1474,368,16,先融期货  ,692,-31,16,南华期货  ,919,-162,
17,华闻期货  ,1420,-134,17,永安期货  ,689,-6,17,瑞达期货  ,906,-285,
18,上海中期  ,1319,14,18,迈科期货  ,680,-24,18,金汇期货  ,638,-80,
19,金瑞期货  ,1257,822,19,中粮期货  ,641,36,19,华泰期货  ,489,-483,
20,大有期货  ,1171,342,20,国投安信  ,611,0,20,金瑞期货  ,449,-219,
合计,,76909,8116,合计,,31782,-1189,合计,,35955,-1097,
合约代码 ：zn2005                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,44850,4595,1,国信期货  ,6152,-179,1,中信期货  ,11341,-65,
2,东证期货  ,25006,8511,2,大地期货  ,5684,0,2,五矿经易  ,6575,118,
3,中信期货  ,22732,4532,3,五矿经易  ,5417,399,3,永安期货  ,5956,-970,
4,海通期货  ,16554,3244,4,一德期货  ,4288,69,4,国投安信  ,4925,-10,
5,方正中期  ,13145,5535,5,国金期货  ,3892,-18,5,华泰期货  ,4219,465,
6,五矿经易  ,11961,9001,6,国贸期货  ,3294,-72,6,海通期货  ,4092,-52,
7,兴证期货  ,11897,1034,7,华泰期货  ,3244,-165,7,银河期货  ,4027,142,
8,平安期货  ,10335,8224,8,国投安信  ,3200,-8,8,中粮期货  ,3569,-56,
9,银河期货  ,9632,5540,9,永安期货  ,2873,-197,9,建信期货  ,3058,646,
10,国富期货  ,8969,3449,10,广发期货  ,2865,-41,10,国元期货  ,2833,582,
11,东亚期货  ,7559,3699,11,海通期货  ,2430,442,11,国泰君安  ,2729,-314,
12,国泰君安  ,5286,1686,12,首创期货  ,2363,-25,12,上海中期  ,2471,3,
13,西南期货  ,4593,1961,13,兴证期货  ,2322,1645,13,广发期货  ,2316,237,
14,光大期货  ,4382,914,14,方正中期  ,2317,105,14,摩根大通  ,2280,30,
15,招商期货  ,4162,1911,15,银河期货  ,2146,166,15,方正中期  ,2223,-8,
16,金瑞期货  ,4069,811,16,东兴期货  ,1942,-65,16,一德期货  ,2055,-4,
17,东吴期货  ,3998,2783,17,申万期货  ,1908,-14,17,兴证期货  ,1611,-252,
18,华闻期货  ,3799,1260,18,国泰君安  ,1903,-106,18,国贸期货  ,1461,-200,
19,国元期货  ,3666,698,19,中信期货  ,1896,51,19,中银国际  ,1424,-255,
20,徽商期货  ,3657,2149,20,金瑞期货  ,1882,-20,20,鲁证期货  ,1362,-71,
合计,,220252,71537,合计,,62018,1967,合计,,70527,-34,
合约代码 ：zn2006                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,11711,4160,1,浙商期货  ,4980,32,1,五矿经易  ,6778,-437,
2,华泰期货  ,10274,-987,2,国金期货  ,3515,-7,2,永安期货  ,3720,-111,
3,东证期货  ,6258,1641,3,五矿经易  ,2989,195,3,国投安信  ,3373,14,
4,五矿经易  ,4910,1515,4,华泰期货  ,2694,213,4,华泰期货  ,2681,37,
5,平安期货  ,4554,4501,5,中信期货  ,2629,-1953,5,浙商期货  ,2647,-35,
6,海通期货  ,3197,1119,6,宝城期货  ,2547,701,6,中信期货  ,2476,144,
7,华闻期货  ,2942,232,7,大地期货  ,2525,-3,7,海通期货  ,2445,-20,
8,国富期货  ,2905,1121,8,国信期货  ,2335,-46,8,兴业期货  ,1966,4,
9,东亚期货  ,2856,121,9,国贸期货  ,1979,7,9,银河期货  ,1680,-52,
10,南华期货  ,2325,1644,10,方正中期  ,1799,0,10,广发期货  ,1639,638,
11,上海中期  ,1660,792,11,建信期货  ,1714,0,11,国贸期货  ,1631,-52,
12,方正中期  ,1649,512,12,国投安信  ,1682,10,12,格林大华  ,1606,-3,
13,国泰君安  ,1609,-434,13,永安期货  ,1598,23,13,国泰君安  ,1581,217,
14,中辉期货  ,1327,74,14,银河期货  ,1285,24,14,迈科期货  ,1500,3,
15,国投安信  ,1148,471,15,盛达期货  ,1067,0,15,东亚期货  ,1486,-469,
16,银河期货  ,1078,673,16,天风期货  ,1002,2,16,方正中期  ,1420,23,
17,西部期货  ,1027,481,17,大越期货  ,900,11,17,大有期货  ,1132,21,
18,广州期货  ,954,930,18,云晨期货  ,865,40,18,先融期货  ,1073,11,
19,国元期货  ,941,829,19,广发期货  ,842,2,19,东吴期货  ,1052,-200,
20,鲁证期货  ,890,-54,20,瑞达期货  ,613,9,20,摩根大通  ,878,0,
合计,,64215,19341,合计,,39560,-740,合计,,42764,-267,
合约代码 ：zn2007                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,国金期货  ,4491,4489,1,国金期货  ,3513,0,1,五矿经易  ,3180,176,
2,中信期货  ,2437,937,2,大地期货  ,2305,599,2,中信期货  ,2346,472,
3,申万期货  ,1838,1426,3,建信期货  ,2112,-195,3,云晨期货  ,2320,118,
4,东证期货  ,1565,187,4,银河期货  ,1657,19,4,永安期货  ,2292,1,
5,东亚期货  ,1368,-339,5,红塔期货  ,1504,0,5,国贸期货  ,2200,18,
6,南华期货  ,1061,602,6,东亚期货  ,1263,457,6,国金期货  ,2183,2035,
7,华泰期货  ,1057,235,7,浙商期货  ,1137,15,7,海通期货  ,1547,25,
8,海通期货  ,986,758,8,新湖期货  ,1005,0,8,国投安信  ,1504,-2,
9,国富期货  ,900,-332,9,中信期货  ,739,17,9,东兴期货  ,653,-68,
10,华闻期货  ,779,-329,10,华泰期货  ,388,84,10,迈科期货  ,400,-1,
11,天富期货  ,666,98,11,永安期货  ,356,1,11,兴业期货  ,383,5,
12,国投安信  ,655,-368,12,国投安信  ,323,-3,12,先融期货  ,379,-2,
13,国信期货  ,647,176,13,广州期货  ,261,5,13,东证期货  ,285,-35,
14,大地期货  ,599,-242,14,中信建投  ,256,6,14,建信期货  ,254,1,
15,宏源期货  ,547,210,15,东方财富  ,256,149,15,国泰君安  ,225,-2,
16,银河期货  ,514,381,16,东吴期货  ,255,2,16,海证期货  ,191,-13,
17,中融汇信  ,449,73,17,申万期货  ,233,140,17,金瑞期货  ,100,82,
18,方正中期  ,419,37,18,国信期货  ,210,51,18,广发期货  ,92,-24,
19,五矿经易  ,407,79,19,南华期货  ,209,87,19,东亚期货  ,90,-65,
20,中辉期货  ,400,122,20,东证期货  ,182,6,20,国信期货  ,66,6,
合计,,21785,8200,合计,,18164,1440,合计,,20690,2727,
商品名称 ：铅                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,67180,-6742,期货公司  ,54633,-89,期货公司  ,54633,-89,
非期货公司,0,0,非期货公司,0,0,非期货公司,0,0,
合约代码 ：pb2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,金瑞期货  ,245,245,1,中信期货  ,600,0,1,金瑞期货  ,630,245,
2,五矿经易  ,170,140,2,五矿经易  ,260,120,2,铜冠金源  ,345,0,
3,南华期货  ,120,120,3,兴业期货  ,240,0,3,中粮期货  ,320,0,
4,中信期货  ,40,30,4,一德期货  ,215,-10,4,方正中期  ,295,0,
5,国投安信  ,20,-355,5,南华期货  ,135,120,5,东华期货  ,60,0,
6,永安期货  ,15,-115,6,海通期货  ,100,0,6,首创期货  ,45,0,
7,一德期货  ,10,-210,7,国投安信  ,85,-20,7,一德期货  ,5,0,
8,宏源期货  ,5,5,8,新湖期货  ,40,0,8,,,,
9,国富期货  ,5,5,9,建信期货  ,10,0,9,,,,
10,,,,10,广发期货  ,10,0,10,,,,
11,,,,11,国富期货  ,5,5,11,,,,
合计,,630,-135,合计,,1700,215,合计,,1700,245,
合约代码 ：pb2004                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,3321,-1034,1,中信期货  ,2130,-107,1,华泰期货  ,2137,-38,
2,五矿经易  ,1850,438,2,国投安信  ,957,194,2,海通期货  ,1833,-53,
3,国投安信  ,1204,-46,3,国海良时  ,939,-3,3,中信期货  ,1421,-29,
4,中信期货  ,856,-791,4,申万期货  ,788,-88,4,银河期货  ,926,-216,
5,华闻期货  ,655,113,5,中大期货  ,657,-2,5,东证期货  ,862,-76,
6,东证期货  ,652,-522,6,南华期货  ,632,-33,6,南华期货  ,828,-76,
7,天富期货  ,592,102,7,建信期货  ,588,9,7,中辉期货  ,645,-33,
8,方正中期  ,580,285,8,方正中期  ,538,-245,8,迈科期货  ,508,-81,
9,西部期货  ,511,-31,9,大有期货  ,499,-9,9,五矿经易  ,339,-203,
10,鲁证期货  ,427,235,10,五矿经易  ,496,5,10,中银国际  ,338,0,
11,银河期货  ,396,-925,11,兴业期货  ,372,-57,11,新晟期货  ,249,0,
12,渤海期货  ,358,341,12,华泰期货  ,362,4,12,新湖期货  ,240,0,
13,建信期货  ,356,-406,13,海通期货  ,287,142,13,国富期货  ,231,9,
14,东吴期货  ,251,-133,14,东证期货  ,269,-100,14,申万期货  ,214,10,
15,国富期货  ,209,6,15,广发期货  ,230,-11,15,金汇期货  ,210,0,
16,申万期货  ,204,91,16,迈科期货  ,227,0,16,建信期货  ,159,17,
17,华西期货  ,204,19,17,鲁证期货  ,221,-85,17,金瑞期货  ,154,10,
18,广发期货  ,192,-505,18,瑞达期货  ,217,0,18,一德期货  ,149,18,
19,安粮期货  ,182,56,19,渤海期货  ,204,-354,19,东吴期货  ,143,-9,
20,南华期货  ,175,-198,20,一德期货  ,196,-6,20,方正中期  ,142,-29,
合计,,13175,-2905,合计,,10809,-746,合计,,11728,-779,
合约代码 ：pb2005                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,7988,558,1,中信期货  ,4588,472,1,海通期货  ,2906,-166,
2,中信期货  ,2776,415,2,南华期货  ,3520,36,2,永安期货  ,2633,-77,
3,五矿经易  ,2752,-778,3,五矿经易  ,977,-87,3,银河期货  ,2012,49,
4,华闻期货  ,2066,-5,4,建信期货  ,873,-17,4,中信期货  ,1939,256,
5,银河期货  ,2045,1422,5,迈科期货  ,829,-2,5,国投安信  ,1897,213,
6,东证期货  ,1782,-178,6,西南期货  ,726,120,6,华泰期货  ,1554,-64,
7,国投安信  ,1470,324,7,银河期货  ,721,70,7,中粮期货  ,1376,-18,
8,兴证期货  ,1447,218,8,东吴期货  ,713,21,8,南华期货  ,883,74,
9,西南期货  ,1418,299,9,华泰期货  ,712,-82,9,国泰君安  ,827,54,
10,方正中期  ,1404,464,10,方正中期  ,649,-190,10,中辉期货  ,826,8,
11,南华期货  ,1058,870,11,国海良时  ,625,167,11,首创期货  ,801,-1,
12,安粮期货  ,862,146,12,东证期货  ,589,-167,12,混沌天成  ,619,-193,
13,中大期货  ,809,354,13,大有期货  ,558,-46,13,金瑞期货  ,610,144,
14,华泰期货  ,778,-409,14,弘业期货  ,535,40,14,建信期货  ,579,-134,
15,上海中期  ,777,142,15,中大期货  ,530,297,15,一德期货  ,493,-6,
16,国泰君安  ,719,-161,16,前海期货  ,522,121,16,中信建投  ,487,106,
17,华鑫期货  ,705,285,17,海通期货  ,492,54,17,东证期货  ,450,-33,
18,广发期货  ,666,143,18,国泰君安  ,475,83,18,国信期货  ,432,143,
19,光大期货  ,644,-205,19,永安期货  ,441,-166,19,华信期货  ,400,0,
20,徽商期货  ,643,430,20,中信建投  ,437,3,20,广发期货  ,312,-299,
合计,,32809,4334,合计,,19512,727,合计,,22036,56,
商品名称 ：镍                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,1464975,396411,期货公司  ,201081,-10770,期货公司  ,200628,-10765,
非期货公司,11,-499,非期货公司,798,0,非期货公司,1251,-5,
合约代码 ：ni2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,格林大华  ,600,600,1,银河期货  ,1410,0,1,中信期货  ,1662,-420,
2,中信期货  ,510,474,2,中信期货  ,702,78,2,国投安信  ,978,-24,
3,中粮期货  ,348,306,3,五矿经易  ,606,0,3,国贸期货  ,930,0,
4,海通期货  ,180,180,4,国泰君安  ,510,6,4,广发期货  ,348,-102,
5,广发期货  ,138,-36,5,格林大华  ,444,-600,5,鲁证期货  ,258,0,
6,一德期货  ,120,66,6,国贸期货  ,396,0,6,银河期货  ,210,-30,
7,宏源期货  ,48,-30,7,广发期货  ,264,-36,7,申万期货  ,174,0,
8,银河期货  ,42,-6,8,申万期货  ,204,0,8,东证期货  ,168,0,
9,首创期货  ,36,-36,9,中信建投  ,204,0,9,建信期货  ,144,0,
10,东证期货  ,30,-24,10,东证期货  ,186,-30,10,国信期货  ,132,0,
11,新湖期货  ,24,-6,11,首创期货  ,180,-36,11,兴证期货  ,102,-6,
12,国投安信  ,24,6,12,国投安信  ,150,0,12,国联期货  ,90,0,
13,倍特期货  ,18,0,13,海通期货  ,96,0,13,新湖期货  ,60,0,
14,国泰君安  ,6,0,14,建信期货  ,48,0,14,海通期货  ,54,-180,
15,金瑞期货  ,6,-6,15,倍特期货  ,36,18,15,长江期货  ,48,0,
16,兴证期货  ,6,6,16,华泰期货  ,30,0,16,中粮期货  ,30,-84,
17,,,,17,一德期货  ,18,-96,17,海证期货  ,30,0,
18,,,,18,新湖期货  ,6,-24,18,一德期货  ,30,24,
19,,,,19,红塔期货  ,6,0,19,华泰期货  ,24,0,
20,,,,20,,,,20,金瑞期货  ,18,-6,
合计,,2136,1494,合计,,5496,-720,合计,,5490,-828,
合约代码 ：ni2004                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,8092,2015,1,一德期货  ,2065,-70,1,中信期货  ,6154,95,
2,中信期货  ,6828,806,2,东证期货  ,2048,-76,2,银河期货  ,2005,5,
3,东证期货  ,5663,2551,3,华泰期货  ,1344,-13,3,国泰君安  ,1357,-140,
4,国投安信  ,2770,1083,4,格林大华  ,1307,-20,4,国投安信  ,1114,-199,
5,上海中期  ,2030,365,5,五矿经易  ,1183,-91,5,海通期货  ,975,-77,
6,华闻期货  ,1984,216,6,广发期货  ,1104,-335,6,国贸期货  ,957,-6,
7,方正中期  ,1910,688,7,中信期货  ,1058,-147,7,五矿经易  ,921,-219,
8,西部期货  ,1901,1082,8,信达期货  ,988,18,8,迈科期货  ,896,-29,
9,海通期货  ,1606,238,9,永安期货  ,974,16,9,华泰期货  ,891,-81,
10,广发期货  ,1600,327,10,建信期货  ,946,173,10,中粮期货  ,781,-21,
11,兴证期货  ,1533,759,11,银河期货  ,899,-29,11,广发期货  ,679,-129,
12,建信期货  ,1436,409,12,中信建投  ,431,-16,12,东兴期货  ,557,-1,
13,五矿经易  ,1346,801,13,南华期货  ,389,-8,13,瑞达期货  ,506,-22,
14,银河期货  ,1220,315,14,鲁证期货  ,387,-279,14,永安期货  ,484,-276,
15,申万期货  ,1213,569,15,宏源期货  ,336,-56,15,格林大华  ,455,0,
16,南华期货  ,1139,585,16,海通期货  ,332,-29,16,新湖期货  ,390,22,
17,光大期货  ,1088,399,17,国泰君安  ,324,-11,17,兴证期货  ,347,96,
18,浙商期货  ,861,-66,18,金瑞期货  ,311,-11,18,东证期货  ,336,-161,
19,国泰君安  ,841,102,19,中钢期货  ,304,-6,19,大有期货  ,322,-17,
20,永安期货  ,834,489,20,国投安信  ,302,13,20,南华期货  ,307,7,
合计,,45895,13733,合计,,17032,-977,合计,,20434,-1153,
合约代码 ：ni2005                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,13593,2297,1,中信期货  ,6158,-188,1,瑞达期货  ,6764,544,
2,中信期货  ,10535,3842,2,信达期货  ,2211,-4,2,中信期货  ,3090,-849,
3,东证期货  ,9882,4175,3,华闻期货  ,2017,477,3,银河期货  ,2694,287,
4,五矿经易  ,6445,2321,4,英大期货  ,1836,-405,4,国泰君安  ,2656,14,
5,海通期货  ,4728,2402,5,广发期货  ,1417,-230,5,浙商期货  ,1987,43,
6,华闻期货  ,4299,2347,6,长江期货  ,1401,-9,6,南华期货  ,1657,31,
7,西部期货  ,3970,2393,7,永安期货  ,1367,-6,7,五矿经易  ,1646,471,
8,国贸期货  ,3948,2257,8,方正中期  ,1330,-73,8,广发期货  ,1530,135,
9,国投安信  ,3050,1188,9,新湖期货  ,1193,-4,9,东证期货  ,1463,-26,
10,中国国际  ,3050,2838,10,国泰君安  ,1124,-97,10,中粮期货  ,1305,200,
11,光大期货  ,2782,1994,11,一德期货  ,1013,92,11,建信期货  ,1235,110,
12,方正中期  ,2576,868,12,首创期货  ,986,12,12,海通期货  ,1162,101,
13,银河期货  ,2413,500,13,华泰期货  ,940,-20,13,新湖期货  ,1115,984,
14,国泰君安  ,1951,879,14,东证期货  ,774,-54,14,中信建投  ,1006,15,
15,兴证期货  ,1857,1052,15,金瑞期货  ,748,-53,15,中银国际  ,998,0,
16,信达期货  ,1856,609,16,东亚期货  ,675,-57,16,迈科期货  ,896,-45,
17,广发期货  ,1813,-1,17,徽商期货  ,626,-22,17,方正中期  ,716,-37,
18,国富期货  ,1796,1276,18,五矿经易  ,596,-256,18,格林大华  ,702,-2,
19,弘业期货  ,1795,765,19,鲁证期货  ,564,-94,19,国投安信  ,675,191,
20,金瑞期货  ,1636,23,20,上海中期  ,530,-24,20,大越期货  ,640,7,
合计,,83975,34025,合计,,27506,-1015,合计,,33937,2174,
合约代码 ：ni2006                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,103495,-17642,1,中信期货  ,7641,2778,1,中信期货  ,10823,-2766,
2,中信期货  ,95092,31022,2,南华期货  ,5186,431,2,国贸期货  ,6692,-2099,
3,方正中期  ,82134,31921,3,瑞达期货  ,5180,-228,3,中国国际  ,5256,235,
4,徽商期货  ,40798,12780,4,浙商期货  ,4747,766,4,东证期货  ,3238,1018,
5,国泰君安  ,40427,23095,5,海通期货  ,4515,956,5,银河期货  ,3091,1295,
6,东证期货  ,38587,17465,6,方正中期  ,4417,-32,6,海通期货  ,3011,-3570,
7,兴证期货  ,31819,10841,7,永安期货  ,3206,-212,7,徽商期货  ,2966,1524,
8,海通期货  ,28802,8678,8,建信期货  ,2877,-76,8,摩根大通  ,2475,686,
9,天富期货  ,26325,10588,9,迈科期货  ,2567,-46,9,中粮期货  ,2393,89,
10,华闻期货  ,23454,5301,10,首创期货  ,2449,402,10,广发期货  ,2383,-52,
11,国投安信  ,23104,8375,11,东证期货  ,2254,-1697,11,永安期货  ,2296,557,
12,美尔雅    ,21923,545,12,申万期货  ,2121,166,12,国投安信  ,2295,105,
13,华安期货  ,21840,839,13,华泰期货  ,1952,161,13,国泰君安  ,2209,-162,
14,银河期货  ,21076,7384,14,东亚期货  ,1907,-329,14,上海中期  ,1942,494,
15,平安期货  ,18669,5313,15,徽商期货  ,1827,-576,15,兴证期货  ,1836,299,
16,中辉期货  ,17928,1996,16,国泰君安  ,1724,141,16,光大期货  ,1832,49,
17,金瑞期货  ,15933,322,17,光大期货  ,1711,146,17,建信期货  ,1657,89,
18,光大期货  ,14457,6055,18,国投安信  ,1664,-175,18,华泰期货  ,1332,-856,
19,国元期货  ,13481,1811,19,华闻期货  ,1503,1078,19,瑞达期货  ,1300,7,
20,南华期货  ,13104,-12351,20,中信建投  ,1399,235,20,申万期货  ,1280,368,
合计,,692448,154338,合计,,60847,3889,合计,,60307,-2690,
合约代码 ：ni2007                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,14905,7807,1,浙商期货  ,3977,-14,1,中信期货  ,4359,-1033,
2,中信期货  ,14348,7514,2,东亚期货  ,2069,-68,2,浙商期货  ,3407,36,
3,五矿经易  ,11888,4361,3,广发期货  ,1796,-461,3,海通期货  ,1638,13,
4,东证期货  ,4202,1768,4,海通期货  ,1632,-36,4,国贸期货  ,1334,-1381,
5,海通期货  ,3479,2020,5,中信期货  ,1047,-47,5,国富期货  ,1003,-19,
6,国投安信  ,2573,1978,6,兴证期货  ,827,102,6,光大期货  ,888,11,
7,华闻期货  ,2532,-320,7,迈科期货  ,716,40,7,银河期货  ,751,8,
8,国泰君安  ,2386,926,8,格林大华  ,559,10,8,东亚期货  ,467,355,
9,国贸期货  ,2224,1795,9,徽商期货  ,324,-31,9,广发期货  ,444,360,
10,金瑞期货  ,2193,1460,10,南华期货  ,299,-33,10,五矿经易  ,359,321,
11,东亚期货  ,2157,1648,11,国投安信  ,286,-99,11,中粮期货  ,201,-9,
12,瑞达期货  ,2110,1289,12,新湖期货  ,240,3,12,华闻期货  ,199,163,
13,南华期货  ,2102,1258,13,东证期货  ,231,6,13,东证期货  ,183,62,
14,国海良时  ,1932,1358,14,中钢期货  ,227,100,14,建信期货  ,161,1,
15,广发期货  ,1827,1235,15,国富期货  ,209,-137,15,中大期货  ,161,0,
16,信达期货  ,1809,1789,16,五矿经易  ,193,-37,16,安粮期货  ,152,1,
17,西部期货  ,1702,860,17,方正中期  ,183,14,17,国信期货  ,141,54,
18,申万期货  ,1509,879,18,首创期货  ,179,-78,18,中信建投  ,129,32,
19,光大期货  ,1427,540,19,光大期货  ,146,-8,19,宝城期货  ,97,20,
20,方正中期  ,1242,708,20,银河期货  ,143,-9,20,华泰期货  ,96,35,
合计,,78547,40873,合计,,15283,-783,合计,,16170,-970,
合约代码 ：ni2009                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中信期货  ,5116,3892,1,方正中期  ,2052,606,1,华闻期货  ,3250,1614,
2,东证期货  ,2863,1373,2,永安期货  ,827,1,2,一德期货  ,2587,25,
3,华闻期货  ,2775,2003,3,银河期货  ,812,179,3,广发期货  ,1815,4,
4,方正中期  ,2576,1896,4,大有期货  ,776,10,4,光大期货  ,1461,3,
5,光大期货  ,1621,1265,5,中信建投  ,693,123,5,中国国际  ,1403,0,
6,银河期货  ,1326,535,6,徽商期货  ,682,3,6,国贸期货  ,1060,17,
7,广发期货  ,1248,593,7,新湖期货  ,608,-24,7,信达期货  ,918,-194,
8,申万期货  ,1222,487,8,五矿经易  ,403,109,8,新湖期货  ,580,-239,
9,南华期货  ,1083,698,9,中信期货  ,369,-22,9,中信期货  ,380,-2172,
10,中辉期货  ,1027,534,10,国投安信  ,358,-6,10,银河期货  ,226,5,
11,华西期货  ,936,504,11,南华期货  ,305,15,11,东证期货  ,134,-4,
12,西部期货  ,925,620,12,瑞达期货  ,269,-683,12,格林大华  ,132,26,
13,华泰期货  ,849,438,13,宝城期货  ,267,42,13,中信建投  ,105,23,
