

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
19,中辉期货  ,3329,590,19,兴业期货  ,1787,3,19,华泰期货  ,2041,448,
20,南华期货  ,3009,426,20,中航期货  ,1770,-2,20,首创期货  ,2025,-365,
合计,,189288,45072,合计,,70554,80,合计,,85439,-602,
合约代码 ：cu2006                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,12286,3464,1,金瑞期货  ,7406,320,1,中信期货  ,8725,-164,
2,东证期货  ,9647,417,2,中信期货  ,5359,-142,2,五矿经易  ,7535,149,
3,中信期货  ,7516,1198,3,国泰君安  ,3969,-47,3,中粮期货  ,5526,-63,
4,国富期货  ,6177,1759,4,弘业期货  ,2683,34,4,国贸期货  ,4902,217,
5,五矿经易  ,5990,2554,5,银河期货  ,2505,87,5,建信期货  ,4133,-109,
6,银河期货  ,4303,938,6,兴业期货  ,2473,-30,6,国投安信  ,3954,-405,
7,国信期货  ,3223,208,7,南华期货  ,2313,13,7,金瑞期货  ,3641,-100,
8,中辉期货  ,2005,546,8,建信期货  ,2117,-8,8,云晨期货  ,3168,0,
9,国投安信  ,1827,-231,9,方正中期  ,1968,-7,9,广发期货  ,2920,37,
10,华闻期货  ,1727,-458,10,中信建投  ,1891,196,10,银河期货  ,2828,16,
11,大有期货  ,1645,555,11,华泰期货  ,1833,-54,11,大有期货  ,1813,-56,
12,永安期货  ,1592,913,12,迈科期货  ,1805,-2,12,海通期货  ,1673,40,
13,南华期货  ,1514,461,13,首创期货  ,1791,-3,13,中银国际  ,1671,51,
14,上海中期  ,1259,389,14,永安期货  ,1703,496,14,华安期货  ,1109,2,
15,方正中期  ,1238,-138,15,申万期货  ,1702,-87,15,永安期货  ,1021,162,
16,申万期货  ,1224,306,16,云晨期货  ,1675,-48,16,兴业期货  ,998,-40,
17,海通期货  ,1171,99,17,新湖期货  ,1459,53,17,国泰君安  ,918,167,
18,西部期货  ,1035,561,18,中大期货  ,1291,-117,18,一德期货  ,873,-119,
19,国泰君安  ,998,81,19,广州期货  ,1153,157,19,平安期货  ,836,-3,
20,光大期货  ,869,342,20,国联期货  ,1094,2,20,鲁证期货  ,816,113,
合计,,67246,13964,合计,,48190,813,合计,,59060,-105,
合约代码 ：cu2007                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,4065,1143,1,金瑞期货  ,2162,-4,1,中信期货  ,4866,21,
2,国富期货  ,2968,458,2,银河期货  ,1967,83,2,金瑞期货  ,3158,237,
3,中信期货  ,1566,-8,3,国泰君安  ,1774,162,3,银河期货  ,3048,425,
4,银河期货  ,1332,-1030,4,中信期货  ,1639,33,4,建信期货  ,2358,0,
5,华泰期货  ,1259,-44,5,华泰期货  ,1454,66,5,国投安信  ,2146,-133,
6,国信期货  ,1091,410,6,南华期货  ,1196,112,6,华安期货  ,1940,410,
7,华闻期货  ,1059,-111,7,兴业期货  ,1139,-36,7,国贸期货  ,1907,0,
8,南华期货  ,839,262,8,建信期货  ,1113,77,8,五矿经易  ,1262,-39,
9,方正中期  ,699,276,9,方正中期  ,929,32,9,永安期货  ,1250,-1,
10,中辉期货  ,688,241,10,上海中期  ,871,20,10,平安期货  ,851,1,
11,新湖期货  ,632,461,11,宝城期货  ,651,0,11,新湖期货  ,808,629,
12,申万期货  ,529,107,12,广州期货  ,642,38,12,兴业期货  ,795,-13,
13,海通期货  ,519,210,13,迈科期货  ,629,0,13,中粮期货  ,791,-23,
14,华安期货  ,471,412,14,招金期货  ,621,85,14,广发期货  ,572,86,
15,国投安信  ,420,-559,15,新湖期货  ,611,1,15,南华期货  ,506,17,
16,国泰君安  ,411,60,16,中航期货  ,585,0,16,海通期货  ,395,46,
17,东亚期货  ,330,-468,17,东兴期货  ,578,5,17,中银国际  ,368,0,
18,广发期货  ,296,98,18,弘业期货  ,563,-10,18,方正中期  ,354,1,
19,金瑞期货  ,271,-1131,19,申万期货  ,547,26,19,格林大华  ,350,0,
20,中大期货  ,237,70,20,华安期货  ,476,3,20,光大期货  ,247,49,
合计,,19682,857,合计,,20147,693,合计,,27972,1713,
合约代码 ：cu2008                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,1222,302,1,国泰君安  ,2135,20,1,中信期货  ,3752,1,
2,华安期货  ,472,465,2,中信期货  ,938,43,2,国投安信  ,3144,3,
3,华泰期货  ,434,-124,3,方正中期  ,935,0,3,国泰君安  ,1430,-4,
4,南华期货  ,408,-78,4,金瑞期货  ,714,10,4,建信期货  ,1370,0,
5,中信期货  ,336,50,5,南华期货  ,702,62,5,银河期货  ,1221,2,
6,中辉期货  ,219,72,6,华泰期货  ,542,28,6,华安期货  ,1203,468,
7,国信期货  ,217,-116,7,中航期货  ,508,0,7,永安期货  ,914,4,
8,申万期货  ,206,-72,8,新湖期货  ,486,0,8,国贸期货  ,527,0,
9,银河期货  ,203,-79,9,永安期货  ,470,93,9,新晟期货  ,249,0,
10,海通期货  ,162,-29,10,宝城期货  ,453,0,10,中信建投  ,163,-2,
11,西南期货  ,158,157,11,建信期货  ,413,2,11,中银国际  ,128,0,
12,方正中期  ,125,-36,12,弘业期货  ,398,4,12,铜冠金源  ,123,0,
13,永安期货  ,119,53,13,东海期货  ,343,5,13,兴业期货  ,121,0,
14,金瑞期货  ,118,88,14,迈科期货  ,343,0,14,金瑞期货  ,111,108,
15,华闻期货  ,110,-68,15,广州期货  ,320,-1,15,弘业期货  ,100,-5,
16,西部期货  ,108,45,16,申万期货  ,311,0,16,瑞达期货  ,77,30,
17,广发期货  ,97,-18,17,兴业期货  ,307,0,17,南华期货  ,65,2,
18,招金期货  ,93,-2,18,浙商期货  ,306,1,18,广州期货  ,55,0,
19,东航期货  ,82,70,19,国联期货  ,251,21,19,长江期货  ,50,0,
20,国泰君安  ,74,-74,20,中信建投  ,211,-16,20,方正中期  ,39,-1,
