

商品名称 ：铜                  2020-02-19,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,200097,-18534,期货公司  ,344196,4569,期货公司  ,338405,4584,
非期货公司,879,-824,非期货公司,2068,-49,非期货公司,7859,-64,
合约代码 ：cu2003                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
19,宏源期货  ,528,205,19,一德期货  ,1198,-2,19,永安期货  ,1157,-44,
20,国贸期货  ,526,217,20,新湖期货  ,1124,9,20,华泰期货  ,1040,157,
合计,,26429,-465,合计,,46399,1452,合计,,59198,1270,
合约代码 ：cu2006                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,2057,507,1,国泰君安  ,3897,1810,1,五矿经易  ,6315,312,
2,国泰君安  ,1899,859,2,中信期货  ,3182,10,2,中信期货  ,6043,64,
3,国富期货  ,1318,12,3,金瑞期货  ,2428,218,3,国投安信  ,3391,-31,
4,中信期货  ,1172,100,4,中信建投  ,1563,117,4,建信期货  ,2318,176,
5,金瑞期货  ,1016,699,5,方正中期  ,1223,13,5,大有期货  ,1824,-2,
6,华闻期货  ,715,-135,6,华泰期货  ,1136,154,6,金瑞期货  ,1678,766,
7,华泰期货  ,629,-39,7,申万期货  ,1132,-30,7,广发期货  ,1456,-20,
8,银河期货  ,569,104,8,银河期货  ,972,-121,8,银河期货  ,1434,0,
9,东亚期货  ,562,-257,9,兴业期货  ,941,88,9,国贸期货  ,1369,57,
10,首创期货  ,516,245,10,招金期货  ,914,-67,10,中粮期货  ,1006,2,
11,建信期货  ,483,-272,11,建信期货  ,858,63,11,云晨期货  ,888,-7,
12,国贸期货  ,431,-26,12,新湖期货  ,856,0,12,中银国际  ,784,0,
13,国信期货  ,422,-10,13,南华期货  ,842,6,13,新湖期货  ,770,3,
14,中辉期货  ,415,248,14,上海中期  ,781,2,14,海通期货  ,737,66,
15,方正中期  ,398,-6,15,中大期货  ,754,-21,15,鲁证期货  ,596,47,
16,申万期货  ,351,-54,16,中钢期货  ,736,34,16,永安期货  ,531,-1,
17,五矿经易  ,344,-1053,17,首创期货  ,732,18,17,国泰君安  ,452,-5,
18,宏源期货  ,286,196,18,广州期货  ,575,24,18,浙商期货  ,440,-19,
19,南华期货  ,282,51,19,永安期货  ,573,-19,19,广州期货  ,428,1,
20,国投安信  ,270,-741,20,国联期货  ,537,3,20,兴业期货  ,394,24,
合计,,14135,428,合计,,24632,2302,合计,,32854,1433,
商品名称 ：铝                  2020-02-19,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,120350,-65548,期货公司  ,322116,8609,期货公司  ,323278,9109,
非期货公司,500,-210,非期货公司,1292,500,非期货公司,130,0,
合约代码 ：al2003                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,5304,-1312,1,云晨期货  ,7379,1542,1,中信期货  ,16839,716,
2,国富期货  ,1746,-1225,2,国信期货  ,5830,-119,2,银河期货  ,5271,183,
3,东证期货  ,1710,-1212,3,中国国际  ,5427,1000,3,华泰期货  ,5171,271,
4,中信期货  ,1651,-2546,4,永安期货  ,3760,1,4,鲁证期货  ,4754,9,
5,云晨期货  ,1542,-515,5,信达期货  ,3313,-115,5,广发期货  ,3848,124,
6,华泰期货  ,1274,-1332,6,海通期货  ,3295,505,6,国投安信  ,3759,-26,
7,一德期货  ,1034,82,7,兴业期货  ,3183,-66,7,中粮期货  ,3621,49,
8,中国国际  ,1002,-2307,8,华泰期货  ,3119,-523,8,南华期货  ,3072,-2,
9,国信期货  ,917,-415,9,国金期货  ,3004,-39,9,国贸期货  ,2674,176,
10,五矿经易  ,908,-701,10,国投安信  ,2803,-70,10,永安期货  ,2252,70,
11,广发期货  ,904,632,11,中信期货  ,2711,-343,11,华安期货  ,2242,-15,
12,倍特期货  ,878,87,12,华安期货  ,2703,-51,12,首创期货  ,2173,77,
13,国投安信  ,790,205,13,银河期货  ,2275,165,13,方正中期  ,1874,-97,
14,永安期货  ,611,413,14,国泰君安  ,2039,-51,14,海通期货  ,1744,-7,
15,银河期货  ,596,-781,15,建信期货  ,1984,-49,15,金瑞期货  ,1720,-109,
16,中辉期货  ,588,-1184,16,东亚期货  ,1699,0,16,建信期货  ,1675,-53,
17,国联期货  ,574,464,17,方正中期  ,1604,-64,17,东证期货  ,1667,137,
18,东海期货  ,448,348,18,鲁证期货  ,1564,0,18,新湖期货  ,1634,0,
19,首创期货  ,384,-481,19,上海中期  ,1373,-279,19,国泰君安  ,1625,-90,
20,国泰君安  ,375,-638,20,五矿经易  ,1369,-20,20,先融期货  ,1615,0,
合计,,23236,-12418,合计,,60434,1424,合计,,69230,1413,
合约代码 ：al2004                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,8277,2023,1,广发期货  ,7122,112,1,中信期货  ,12135,-763,
2,中信期货  ,2944,-1493,2,中信期货  ,5747,-77,2,国泰君安  ,11089,221,
3,国富期货  ,2881,-2339,3,方正中期  ,5354,27,3,海通期货  ,7717,291,
4,中辉期货  ,2599,-780,4,中粮期货  ,5331,2,4,国信期货  ,6738,-49,
5,东证期货  ,2302,-1202,5,国投安信  ,4397,171,5,云晨期货  ,5278,918,
6,申万期货  ,1981,-500,6,广州期货  ,4117,77,6,中国国际  ,5113,-2,
7,倍特期货  ,1786,-312,7,银河期货  ,3991,103,7,永安期货  ,4653,-29,
8,国泰君安  ,1693,462,8,华泰期货  ,3815,33,8,鲁证期货  ,4202,118,
9,华泰期货  ,1531,-787,9,国信期货  ,3772,-272,9,华泰期货  ,3413,84,
10,南华期货  ,1349,53,10,倍特期货  ,3127,219,10,南华期货  ,3235,1044,
11,国信期货  ,1293,-637,11,上海中期  ,3103,44,11,银河期货  ,3122,48,
12,宏源期货  ,1160,456,12,信达期货  ,2958,96,12,国投安信  ,2232,70,
13,国投安信  ,1025,-733,13,永安期货  ,2712,371,13,广发期货  ,2223,136,
14,兴证期货  ,1014,-697,14,五矿经易  ,2626,18,14,华安期货  ,2079,-21,
15,光大期货  ,945,-90,15,兴业期货  ,2475,46,15,建信期货  ,2071,-16,
16,云晨期货  ,930,857,16,金瑞期货  ,2447,-112,16,上海中期  ,1966,11,
17,一德期货  ,910,-108,17,建信期货  ,2302,2,17,中粮期货  ,1802,260,
18,永安期货  ,800,-135,18,光大期货  ,1989,-49,18,方正中期  ,1716,14,
19,国金期货  ,716,-575,19,一德期货  ,1976,179,19,一德期货  ,1596,195,
20,华鑫期货  ,665,-95,20,宏源期货  ,1942,560,20,中辉期货  ,1352,-14,
合计,,36801,-6632,合计,,71303,1550,合计,,83732,2516,
合约代码 ：al2005                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,申万期货  ,2784,273,1,中信期货  ,6198,584,1,中信期货  ,5779,33,
2,海通期货  ,2394,-1346,2,银河期货  ,4775,31,2,国信期货  ,5680,593,
3,中辉期货  ,1771,-13,3,一德期货  ,3777,390,3,国泰君安  ,5040,103,
4,倍特期货  ,1639,-436,4,华泰期货  ,3279,-5,4,云晨期货  ,5015,0,
5,中国国际  ,1597,1,5,南华期货  ,3207,80,5,东证期货  ,4200,-30,
6,中信期货  ,1161,-378,6,上海中期  ,3161,75,6,中国国际  ,3696,1557,
7,广州期货  ,1138,-464,7,瑞达期货  ,3009,0,7,广发期货  ,2778,315,
8,国富期货  ,1096,-1246,8,国信期货  ,2904,-2,8,银河期货  ,2716,113,
9,宏源期货  ,1000,590,9,建信期货  ,2478,0,9,一德期货  ,2468,45,
10,东证期货  ,922,-1156,10,光大期货  ,2350,23,10,华泰期货  ,2385,482,
11,国信期货  ,811,401,11,金瑞期货  ,2245,4,11,金瑞期货  ,1961,0,
12,方正中期  ,789,-26,12,方正中期  ,2239,277,12,建信期货  ,1838,442,
13,华泰期货  ,727,-4,13,海通期货  ,2066,-4,13,中信建投  ,1787,-130,
14,南华期货  ,658,126,14,永安期货  ,1900,91,14,鲁证期货  ,1628,49,
15,华信期货  ,630,628,15,信达期货  ,1829,12,15,中钢期货  ,1617,0,
16,广发期货  ,604,259,16,中粮期货  ,1625,179,16,上海中期  ,1532,0,
17,中粮期货  ,521,447,17,云晨期货  ,1590,-10,17,永安期货  ,1532,307,
18,国贸期货  ,468,356,18,新湖期货  ,1568,0,18,宏源期货  ,1485,468,
19,一德期货  ,465,3,19,五矿经易  ,1340,2,19,倍特期货  ,1178,-199,
20,建信期货  ,442,414,20,首创期货  ,1121,0,20,兴业期货  ,975,35,
合计,,21617,-1571,合计,,52661,1727,合计,,55290,4183,
合约代码 ：al2006                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,申万期货  ,1391,-2680,1,国投安信  ,3363,83,1,中信期货  ,5526,-231,
2,中辉期货  ,940,-132,2,华泰期货  ,2021,4,2,中粮期货  ,2846,0,
3,中信期货  ,687,-553,3,中信期货  ,1940,6,3,国投安信  ,2441,15,
4,国富期货  ,640,-821,4,上海中期  ,1871,0,4,国信期货  ,2302,-1,
5,建信期货  ,550,252,5,国信期货  ,1690,10,5,银河期货  ,1836,8,
6,倍特期货  ,473,225,6,云晨期货  ,1280,0,6,一德期货  ,1806,0,
7,瑞达期货  ,435,429,7,海通期货  ,1256,-9,7,东亚期货  ,1610,20,
8,南华期货  ,429,-1003,8,五矿经易  ,1215,0,8,申万期货  ,1574,734,
9,东证期货  ,372,-714,9,中粮期货  ,1210,250,9,南华期货  ,1533,297,
10,中粮期货  ,250,-1751,10,东证期货  ,1065,-16,10,广州期货  ,1440,-10,
11,方正中期  ,247,-172,11,方正中期  ,1051,2,11,上海中期  ,1334,76,
12,新晟期货  ,184,79,12,首创期货  ,986,5,12,首创期货  ,905,10,
13,海通期货  ,175,-138,13,中信建投  ,888,2,13,光大期货  ,870,0,
14,中大期货  ,170,167,14,东海期货  ,769,2,14,建信期货  ,571,-550,
15,国投安信  ,158,-388,15,瑞达期货  ,706,316,15,方正中期  ,455,-55,
16,华泰期货  ,150,-270,16,兴业期货  ,663,10,16,宏源期货  ,434,10,
17,国信期货  ,145,8,17,南华期货  ,661,0,17,金瑞期货  ,415,0,
18,宏源期货  ,144,-58,18,英大期货  ,640,-100,18,鲁证期货  ,406,0,
19,华闻期货  ,143,21,19,长江期货  ,634,10,19,国金期货  ,399,0,
20,英大期货  ,120,-370,20,广发期货  ,577,31,20,国泰君安  ,341,0,
合计,,7803,-7869,合计,,24486,606,合计,,29044,323,
合约代码 ：al2007                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,广州期货  ,1001,-600,1,上海中期  ,1754,0,1,永安期货  ,2878,0,
2,申万期货  ,692,-1098,2,华泰期货  ,1087,96,2,广州期货  ,2600,1000,
3,倍特期货  ,570,-424,3,中粮期货  ,986,160,3,国投安信  ,2232,0,
4,首创期货  ,264,230,4,兴业期货  ,908,0,4,南华期货  ,2197,0,
5,华泰期货  ,196,-411,5,广发期货  ,796,20,5,光大期货  ,1075,20,
6,中粮期货  ,160,158,6,申万期货  ,711,461,6,国贸期货  ,1050,0,
7,中辉期货  ,157,-174,7,中信期货  ,710,50,7,瑞达期货  ,985,0,
8,国富期货  ,80,-1,8,迈科期货  ,709,1,8,新湖期货  ,686,0,
9,宏源期货  ,59,1,9,五矿经易  ,688,0,9,方正中期  ,633,0,
10,中信期货  ,58,-26,10,金瑞期货  ,646,1,10,一德期货  ,374,0,
11,金元期货  ,54,-29,11,海通期货  ,646,0,11,上海中期  ,258,0,
12,海通期货  ,42,-193,12,中钢期货  ,641,0,12,国金期货  ,227,0,
13,国投安信  ,40,-162,13,长江期货  ,622,2,13,首创期货  ,216,0,
14,华联期货  ,40,40,14,东海期货  ,580,2,14,华闻期货  ,184,0,
15,兴证期货  ,36,-17,15,瑞达期货  ,492,-7,15,先融期货  ,142,0,
16,银河期货  ,31,-4,16,永安期货  ,446,0,16,徽商期货  ,140,0,
17,中国国际  ,24,-6,17,中信建投  ,425,2,17,华泰期货  ,115,100,
18,方正中期  ,20,15,18,倍特期货  ,382,12,18,广发期货  ,106,0,
19,光大期货  ,20,-20,19,招商期货  ,357,0,19,海通期货  ,101,0,
20,广发期货  ,20,4,20,方正中期  ,307,0,20,金瑞期货  ,100,0,
合计,,3564,-2717,合计,,13893,800,合计,,16299,1120,
商品名称 ：锌                  2020-02-19,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,128236,-36088,期货公司  ,185555,1567,期货公司  ,186825,1567,
非期货公司,0,0,非期货公司,1470,0,非期货公司,200,0,
合约代码 ：zn2003                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,2667,-2867,1,国金期货  ,4989,-57,1,五矿经易  ,5372,-257,
2,一德期货  ,1823,-81,2,国信期货  ,3358,62,2,格林大华  ,3919,1,
3,东证期货  ,1348,-620,3,一德期货  ,2995,-11,3,中信期货  ,3278,-67,
4,中信期货  ,916,-1666,4,信达期货  ,1727,-61,4,一德期货  ,2049,450,
5,海通期货  ,684,-977,5,国贸期货  ,1699,22,5,中粮期货  ,1901,-1,
6,国投安信  ,640,32,6,大有期货  ,1550,62,6,国海良时  ,1669,-17,
7,中粮期货  ,626,22,7,华闻期货  ,1390,-300,7,中银国际  ,1552,0,
8,国金期货  ,511,164,8,上海中期  ,1369,1,8,银河期货  ,1521,-25,
9,五矿经易  ,473,-156,9,永安期货  ,1137,0,9,国贸期货  ,1277,-11,
10,国富期货  ,434,-415,10,华泰期货  ,1113,19,10,永安期货  ,1269,-67,
11,方正中期  ,403,-89,11,方正中期  ,1042,-280,11,海通期货  ,1081,32,
12,华闻期货  ,375,222,12,五矿经易  ,738,8,12,兴业期货  ,993,-64,
13,国海良时  ,326,-118,13,东证期货  ,682,-130,13,方正中期  ,918,-61,
14,银河期货  ,287,-152,14,金瑞期货  ,670,-66,14,国投安信  ,891,-320,
15,建信期货  ,248,-1,15,中信期货  ,592,21,15,建信期货  ,840,60,
16,宏源期货  ,232,-13,16,先融期货  ,592,-5,16,南华期货  ,717,0,
17,金瑞期货  ,228,88,17,南华期货  ,581,36,17,瑞达期货  ,692,4,
18,大有期货  ,226,-98,18,首创期货  ,539,-4,18,光大期货  ,680,-33,
19,华西期货  ,221,213,19,浙商期货  ,491,-35,19,迈科期货  ,608,32,
20,广发期货  ,215,30,20,建信期货  ,486,0,20,首创期货  ,586,133,
合计,,12883,-6482,合计,,27740,-718,合计,,31813,-211,
合约代码 ：zn2004                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,17566,-1845,1,中信期货  ,9860,-117,1,中信期货  ,7819,78,
2,东证期货  ,6362,-567,2,国金期货  ,4585,-61,2,国投安信  ,4828,217,
3,中信期货  ,6151,-2219,3,银河期货  ,3799,-127,3,海通期货  ,4709,-174,
4,永安期货  ,4112,1615,4,永安期货  ,3762,21,4,五矿经易  ,4706,22,
5,海通期货  ,3684,-1647,5,五矿经易  ,2573,-62,5,方正中期  ,4286,-61,
6,兴证期货  ,2572,-643,6,中信建投  ,2462,-30,6,华泰期货  ,3969,184,
7,方正中期  ,1976,-88,7,西南期货  ,2218,31,7,银河期货  ,3369,-44,
8,国富期货  ,1958,-720,8,方正中期  ,2139,353,8,国泰君安  ,3274,91,
9,南华期货  ,1522,-699,9,华泰期货  ,2079,-8,9,永安期货  ,3052,-895,
10,银河期货  ,1493,-1010,10,瑞达期货  ,1884,14,10,一德期货  ,3018,-142,
11,申万期货  ,1207,-132,11,东证期货  ,1843,299,11,兴证期货  ,2378,-152,
12,光大期货  ,1130,-681,12,中财期货  ,1676,-6,12,中粮期货  ,1965,56,
13,上海中期  ,1014,137,13,国投安信  ,1495,74,13,瑞达期货  ,1959,6,
14,一德期货  ,951,-432,14,国贸期货  ,1417,131,14,广发期货  ,1855,-122,
15,五矿经易  ,948,-458,15,信达期货  ,1398,0,15,东证期货  ,1301,-61,
16,国投安信  ,941,-732,16,一德期货  ,1380,389,16,鲁证期货  ,1103,211,
17,国泰君安  ,922,-281,17,国泰君安  ,1353,-79,17,宏源期货  ,1101,222,
18,东方财富  ,909,-86,18,建信期货  ,1337,-76,18,国信期货  ,1031,166,
19,宏源期货  ,834,-456,19,中大期货  ,1258,33,19,格林大华  ,1020,8,
20,国信期货  ,823,-64,20,先锋期货  ,1228,-28,20,建信期货  ,1000,32,
合计,,57075,-11008,合计,,49746,751,合计,,57743,-358,
合约代码 ：zn2005                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,4106,2115,1,国信期货  ,5372,158,1,五矿经易  ,3982,-80,
2,中信期货  ,2203,306,2,国金期货  ,3688,5,2,永安期货  ,3838,510,
3,东证期货  ,1352,-884,3,海通期货  ,3500,-29,3,海通期货  ,2766,-58,
4,海通期货  ,1145,-79,4,中信期货  ,2382,225,4,上海中期  ,2660,460,
