					郑州商品交易所期货持仓排名表(2020-03-09)

品种：苹果AP              日期： 2020-03-09
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |72,149      |29,326    |中信期货      |7,405     |-594      |中信期货      |10,101    |-263      
2     |光大期货      |23,970      |7,753     |徽商期货      |5,309     |-376      |鲁证期货      |8,548     |-441      
3     |东证期货      |23,945      |8,839     |光大期货      |4,915     |-755      |永安期货      |6,538     |-1,414    
4     |华泰期货      |23,791      |6,637     |永安期货      |4,017     |8         |东证期货      |5,496     |-307      
5     |中信期货      |20,815      |2,077     |华泰期货      |3,848     |-87       |一德期货      |4,335     |211       
6     |徽商期货      |18,965      |2,937     |国泰君安      |3,736     |41        |光大期货      |4,267     |331       
7     |华安期货      |17,924      |6,984     |方正中期      |3,725     |-1,111    |徽商期货      |4,182     |-935      
8     |华闻期货      |16,381      |6,210     |东证期货      |3,709     |-520      |上海中期      |3,482     |210       
9     |东吴期货      |15,625      |2,099     |国投安信期货  |3,519     |-601      |华泰期货      |3,464     |-246      
10    |方正中期      |11,583      |5,533     |银河期货      |3,470     |-47       |海通期货      |3,453     |-1,932    
11    |国泰君安      |10,951      |3,873     |华安期货      |3,203     |-483      |中辉期货      |3,367     |-155      
12    |永安期货      |10,804      |5,095     |海通期货      |3,029     |-265      |国泰君安      |3,323     |-618      
13    |安粮期货      |8,149       |2,730     |东吴期货      |2,715     |-26       |宏源期货      |3,195     |-1,363    
14    |银河期货      |7,761       |2,381     |广发期货      |2,482     |-258      |安粮期货      |3,181     |4         
15    |东航期货      |7,664       |2,787     |东方财富      |2,461     |-617      |招金期货      |2,853     |-728      
16    |新湖期货      |7,633       |-423      |南华期货      |2,390     |-410      |海证期货      |2,634     |-993      
17    |海证期货      |7,561       |846       |瑞达期货      |2,349     |-252      |国投安信期货  |2,332     |-160      
18    |美尔雅        |7,452       |4,780     |中信建投      |2,314     |-558      |申银万国      |2,223     |-79       
19    |东方财富      |7,288       |1,375     |中大期货      |2,071     |-135      |东吴期货      |2,062     |-297      
20    |中信建投      |7,039       |1,140     |平安期货      |2,018     |-163      |方正中期      |2,037     |-102      
合计  |              |327450      |102979    |                |68685     |-7209     |              |81073     |-9277     

品种：棉花CF              日期： 2020-03-09
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |116,368     |6,130     |永安期货      |66,284    |3,972     |东证期货      |58,822    |1,349     
2     |华泰期货      |88,601      |11,958    |中粮期货      |37,366    |5,228     |中信期货      |46,310    |-3,019    
3     |广发期货      |84,679      |64,775    |中信期货      |36,356    |-852      |国投安信期货  |41,648    |-4,368    
4     |中辉期货      |49,734      |16,533    |国投安信期货  |27,897    |939       |永安期货      |37,120    |2,130     
5     |东证期货      |44,959      |7,292     |银河期货      |24,114    |4,647     |中粮期货      |36,978    |-40       
6     |光大期货      |39,292      |-3,641    |中国国际      |22,855    |1,845     |银河期货      |29,918    |578       
7     |东吴期货      |34,300      |7,674     |光大期货      |20,599    |1,702     |长江期货      |22,651    |762       
8     |永安期货      |30,372      |7,056     |东证期货      |19,031    |966       |国贸期货      |22,512    |-1,426    
9     |中信期货      |27,595      |-6,618    |华泰期货      |17,465    |-12,407   |大有期货      |20,929    |-588      
10    |徽商期货      |27,574      |14,348    |方正中期      |13,794    |-719      |兴证期货      |19,183    |-575      
11    |国泰君安      |24,478      |-22,019   |大有期货      |13,324    |-284      |国泰君安      |16,603    |7,261     
12    |东海期货      |23,503      |4,088     |广发期货      |13,196    |-436      |华泰期货      |16,548    |-2,006    
13    |国投安信期货  |21,969      |3,217     |兴证期货      |12,838    |-2,205    |华信期货      |16,544    |-781      
14    |华安期货      |21,163      |4,832     |海通期货      |12,755    |-135      |南华期货      |16,429    |-674      
15    |冠通期货      |20,767      |11,386    |南华期货      |12,660    |-340      |海通期货      |15,759    |-2,401    
16    |华闻期货      |20,401      |-13,497   |长江期货      |12,057    |-2,691    |中国国际      |15,021    |34        
17    |华金期货      |20,138      |468       |国泰君安      |12,049    |625       |宏源期货      |13,949    |-1,935    
18    |宏源期货      |18,722      |-6,685    |浙商期货      |11,858    |1,323     |中大期货      |12,839    |-228      
19    |兴证期货      |17,938      |9,627     |五矿经易期货  |11,247    |-694      |光大期货      |10,717    |128       
20    |银河期货      |17,849      |194       |大越期货      |9,968     |-445      |建信期货      |10,612    |-388      
合计  |              |750402      |117118    |                |407713    |39        |              |481092    |-6187     

品种：红枣CJ              日期： 2020-03-09
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |7,761       |946       |国泰君安      |3,061     |-206      |中信期货      |2,128     |-48       
2     |东证期货      |4,372       |1,879     |中信期货      |2,352     |-96       |华泰期货      |1,785     |204       
3     |中信期货      |4,294       |449       |华泰期货      |1,789     |35        |东证期货      |951       |93        
4     |光大期货      |2,840       |798       |东吴期货      |1,034     |197       |东航期货      |942       |-50       
5     |国泰君安      |2,719       |-1,063    |永安期货      |823       |282       |永安期货      |806       |-17       
6     |银河期货      |2,312       |1,121     |华金期货      |819       |58        |银河期货      |789       |-78       
7     |华安期货      |2,171       |450       |新湖期货      |817       |-23       |鲁证期货      |739       |8         
8     |徽商期货      |2,087       |492       |鲁证期货      |736       |-62       |华西期货      |690       |11        
9     |兴证期货      |2,022       |329       |海证期货      |690       |-51       |宏源期货      |675       |14        
10    |新湖期货      |1,790       |-976      |中财期货      |664       |108       |东吴期货      |635       |-59       
11    |华泰期货      |1,705       |-1,667    |银河期货      |628       |-62       |新湖期货      |627       |-111      
12    |华闻期货      |1,549       |401       |广州期货      |618       |92        |兴证期货      |627       |-150      
13    |东吴期货      |1,300       |-365      |云财富期货    |614       |-160      |冠通期货      |572       |-64       
14    |冠通期货      |1,188       |-807      |东航期货      |582       |-3        |华金期货      |547       |-14       
15    |东航期货      |1,155       |51        |华西期货      |576       |-1        |华安期货      |515       |-70       
16    |方正中期      |987         |-103      |冠通期货      |556       |-32       |方正中期      |503       |-43       
17    |信达期货      |986         |639       |东证期货      |536       |141       |徽商期货      |491       |49        
18    |上海大陆      |965         |0         |国富期货      |534       |0         |国富期货      |465       |-103      
19    |安粮期货      |929         |-24       |国金期货      |509       |143       |上海中期      |465       |14        
20    |永安期货      |928         |189       |兴证期货      |500       |-144      |国元期货      |455       |40        
合计  |              |44060       |2739      |                |18438     |216       |              |15407     |-374      

品种：棉纱CY              日期： 2020-03-09
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |4,054       |-554      |东证期货      |1,518     |-9        |东证期货      |1,488     |-6        
2     |中信期货      |1,380       |20        |国投安信期货  |1,148     |-8        |国投安信期货  |1,093     |9         
3     |浙商期货      |1,006       |-214      |永安期货      |562       |-50       |永安期货      |638       |18        
4     |宏源期货      |895         |-229      |中信期货      |541       |-32       |中信期货      |541       |10        
5     |新湖期货      |874         |-582      |长江期货      |474       |2         |长江期货      |466       |-10       
6     |上海中期      |861         |-403      |五矿经易期货  |463       |-34       |南华期货      |433       |0         
7     |中粮期货      |731         |-569      |弘业期货      |402       |12        |弘业期货      |404       |17        
8     |东证期货      |731         |14        |瑞达期货      |366       |-1        |五矿经易期货  |397       |-36       
9     |长江期货      |636         |-451      |上海中期      |365       |0         |宏源期货      |371       |29        
10    |南华期货      |609         |52        |南华期货      |357       |-77       |上海中期      |359       |-5        
11    |大地期货      |548         |74        |大地期货      |349       |4         |瑞达期货      |357       |1         
12    |五矿经易期货  |498         |-106      |中粮期货      |348       |-5        |中粮期货      |356       |16        
13    |弘业期货      |497         |-157      |宏源期货      |348       |2         |大地期货      |349       |6         
14    |瑞达期货      |456         |-162      |华西期货      |235       |-9        |华西期货      |241       |-1        
15    |安粮期货      |442         |36        |长安期货      |198       |-3        |国贸期货      |225       |7         
16    |广发期货      |348         |202       |华泰期货      |108       |100       |摩根大通      |158       |0         
17    |长安期货      |331         |203       |浙商期货      |107       |59        |海通期货      |139       |34        
18    |徽商期货      |328         |222       |上海大陆      |104       |1         |中国国际      |102       |-16       
19    |永安期货      |324         |50        |广发期货      |67        |44        |鲁证期货      |62        |-1        
20    |中信建投      |292         |182       |中财期货      |64        |10        |浙江新世纪    |60        |0         
合计  |              |15841       |-2372     |                |8124      |6         |              |8239      |72        

品种：玻璃FG              日期： 2020-03-09
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
