					郑州商品交易所期货持仓排名表(2020-03-05)

品种：苹果AP              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
19    |华安期货      |17,106      |7,917     |浙商期货      |10,603    |-1,201    |建信期货      |11,060    |-60       
20    |兴证期货      |13,838      |7,649     |大越期货      |10,473    |-105      |广发期货      |10,825    |1,106     
合计  |              |711939      |303272    |                |410569    |14143     |              |480275    |3516      

品种：红枣CJ              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |5,055       |598       |国泰君安      |2,523     |-305      |中信期货      |2,160     |119       
2     |中信期货      |2,594       |-299      |中信期货      |2,363     |-171      |华泰期货      |1,568     |-44       
3     |华泰期货      |2,250       |-123      |华泰期货      |1,563     |-228      |国泰君安      |1,278     |-114      
4     |国泰君安      |1,781       |687       |新湖期货      |817       |-3        |东航期货      |873       |-61       
5     |新湖期货      |1,735       |-148      |华金期货      |748       |7         |永安期货      |820       |-12       
6     |东证期货      |1,409       |175       |兴证期货      |727       |166       |银河期货      |715       |19        
7     |华安期货      |1,089       |-361      |鲁证期货      |718       |9         |鲁证期货      |713       |1         
8     |兴证期货      |1,066       |606       |银河期货      |697       |18        |东证期货      |698       |-55       
9     |光大期货      |953         |-297      |云财富期货    |654       |32        |广州期货      |696       |-290      
10    |东吴期货      |936         |245       |冠通期货      |633       |46        |华安期货      |652       |-62       
11    |徽商期货      |906         |-2,279    |五矿经易期货  |621       |-36       |新湖期货      |643       |16        
12    |安粮期货      |889         |187       |东航期货      |618       |-108      |国投安信期货  |634       |-1        
13    |东航期货      |709         |53        |东吴期货      |592       |-197      |冠通期货      |606       |-1        
14    |华闻期货      |657         |235       |中辉期货      |584       |49        |华闻期货      |603       |15        
15    |方正中期      |580         |109       |海证期货      |577       |-16       |华西期货      |581       |-77       
16    |中辉期货      |539         |139       |永安期货      |573       |-30       |光大期货      |544       |-58       
17    |中财期货      |523         |339       |南华期货      |571       |-346      |东吴期货      |540       |-45       
18    |招商期货      |505         |259       |中信建投      |530       |-38       |华金期货      |536       |-5        
19    |上海大陆      |497         |186       |广州期货      |496       |5         |兴证期货      |503       |12        
20    |南华期货      |486         |97        |国富期货      |486       |9         |国富期货      |481       |4         
合计  |              |25159       |408       |                |17091     |-1137     |              |15844     |-639      

品种：棉纱CY              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |8,410       |1,333     |东证期货      |1,659     |-177      |东证期货      |1,615     |-188      
2     |中信期货      |2,338       |-89       |国投安信期货  |1,138     |7         |国投安信期货  |1,073     |-1        
3     |浙商期货      |2,131       |-50       |永安期货      |615       |-1        |永安期货      |621       |-2        
4     |上海中期      |2,119       |101       |中信期货      |572       |-4        |中信期货      |532       |-4        
5     |宏源期货      |2,056       |409       |南华期货      |524       |-37       |长江期货      |474       |-1        
6     |长江期货      |1,545       |191       |五矿经易期货  |497       |25        |南华期货      |458       |16        
7     |中粮期货      |1,462       |-261      |长江期货      |469       |-22       |五矿经易期货  |433       |0         
8     |东证期货      |1,281       |419       |弘业期货      |389       |-26       |弘业期货      |396       |-7        
9     |弘业期货      |913         |29        |瑞达期货      |369       |0         |上海中期      |367       |2         
10    |瑞达期货      |860         |-330      |大地期货      |366       |20        |大地期货      |364       |20        
11    |新湖期货      |833         |-619      |上海中期      |364       |-1        |瑞达期货      |354       |6         
12    |五矿经易期货  |765         |-93       |中粮期货      |353       |11        |宏源期货      |347       |-44       
13    |国投安信期货  |726         |-164      |宏源期货      |351       |-42       |中粮期货      |340       |7         
14    |安粮期货      |627         |223       |华西期货      |242       |-2        |华西期货      |238       |-2        
15    |南华期货      |615         |173       |中财期货      |120       |-34       |国贸期货      |233       |0         
16    |大地期货      |524         |-315      |上海大陆      |103       |0         |广发期货      |201       |-4        
17    |永安期货      |431         |-39       |银河期货      |100       |49        |摩根大通      |158       |0         
18    |徽商期货      |357         |308       |长安期货      |77        |0         |中国国际      |118       |11        
19    |福能期货      |267         |236       |浙商期货      |57        |3         |海通期货      |86        |15        
20    |华安期货      |249         |187       |方正中期      |56        |6         |中原期货      |77        |-2        
合计  |              |28509       |1649      |                |8421      |-225      |              |8485      |-178      

品种：玻璃FG              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |20,346      |-5,931    |永安期货      |40,068    |-273      |永安期货      |13,730    |-79       
2     |光大期货      |12,183      |-3,839    |申银万国      |14,888    |-30       |中信期货      |9,806     |184       
3     |华信期货      |10,461      |-320      |国投安信期货  |10,218    |508       |方正中期      |8,748     |1,505     
4     |中信期货      |8,636       |-6,869    |东证期货      |9,416     |-802      |长江期货      |7,983     |84        
5     |新湖期货      |8,374       |-2,139    |中信期货      |8,176     |-4,672    |东证期货      |7,508     |204       
6     |方正中期      |7,198       |18        |方正中期      |7,636     |1,233     |华泰期货      |7,325     |-73       
7     |徽商期货      |6,816       |2,986     |招商期货      |6,712     |936       |招商期货      |6,780     |-247      
8     |华泰期货      |6,176       |-1,093    |新湖期货      |6,415     |138       |新湖期货      |6,202     |256       
9     |东吴期货      |5,781       |2,331     |南华期货      |5,878     |-18       |银河期货      |6,171     |-17       
10    |弘业期货      |4,604       |2,103     |国泰君安      |5,801     |-75       |光大期货      |5,996     |198       
11    |美尔雅        |3,702       |2,674     |兴证期货      |5,378     |-883      |国泰君安      |5,960     |6         
12    |永安期货      |3,314       |-1,505    |弘业期货      |5,066     |1,458     |一德期货      |5,766     |1,196     
13    |华安期货      |3,268       |-545      |光大期货      |4,694     |43        |中信建投      |5,620     |886       
14    |兴证期货      |3,265       |-2,746    |海通期货      |4,175     |-82       |申银万国      |5,389     |-25       
15    |招商期货      |3,215       |1,170     |东吴期货      |4,001     |-479      |弘业期货      |5,312     |1,484     
16    |建信期货      |2,878       |13        |华安期货      |3,664     |81        |国投安信期货  |5,237     |151       
17    |华金期货      |2,868       |2,358     |美尔雅        |3,589     |-33       |东吴期货      |4,596     |186       
18    |海证期货      |2,685       |931       |中信建投      |3,546     |327       |中国国际      |4,008     |9         
19    |中信建投      |2,409       |834       |徽商期货      |3,536     |-1,102    |国元期货      |3,926     |-751      
20    |海通期货      |2,408       |-1,203    |华信期货      |3,378     |1,469     |海通期货      |3,823     |306       
合计  |              |120587      |-10772    |                |156235    |-2256     |              |129886    |5463      

品种：粳稻JR              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |方正中期      |22          |-11       |徽商期货      |42        |1         |天风期货      |349       |0         
2     |弘业期货      |13          |2         |方正中期      |39        |1         |华安期货      |56        |0         
3     |上海大陆      |4           |2         |永安期货      |39        |0         |方正中期      |23        |9         
4     |中投天琪      |4           |4         |国海良时      |38        |2         |国富期货      |6         |0         
5     |英大期货      |4           |4         |中信期货      |31        |0         |长江期货      |5         |0         
6     |徽商期货      |3           |-12       |华融期货      |22        |0         |国泰君安      |5         |0         
7     |东证期货      |3           |1         |华安期货      |21        |0         |平安期货      |2         |0         
8     |东航期货      |3           |1         |新纪元期货    |18        |0         |华泰期货      |1         |0         
9     |华泰期货      |2           |-18       |首创京都期货  |15        |0         |光大期货      |1         |0         
10    |江西瑞奇      |2           |2         |山西三立      |13        |0         |东航期货      |1         |1         
11    |华联期货      |2           |-2        |国元期货      |11        |-1        |新纪元期货    |0         |0         
12    |国海良时      |2           |1         |国金期货      |10        |0         |上海大陆      |0         |0         
13    |中电投先融    |2           |2         |华泰期货      |9         |2         |国投安信期货  |0         |0         
14    |东海期货      |2           |2         |中粮期货      |9         |0         |招商期货      |0         |0         
15    |格林大华期货  |1           |-1        |国泰君安      |9         |0         |格林大华期货  |0         |0         
16    |国元期货      |1           |1         |东证期货      |8         |3         |弘业期货      |0         |-10       
17    |铜冠金源      |1           |0         |海通期货      |7         |0         |江西瑞奇      |0         |0         
18    |中大期货      |1           |1         |上海中期      |7         |0         |盛达期货      |0         |0         
19    |宏源期货      |1           |-1        |国投安信期货  |6         |0         |徽商期货      |0         |0         
20    |平安期货      |1           |1         |格林大华期货  |6         |1         |华龙期货      |0         |0         
合计  |              |74          |-21       |                |360       |9         |              |449       |0         

品种：晚籼LR              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东航期货      |6           |6         |新纪元期货    |1         |0         |国元期货      |2         |0         
2     |方正中期      |5           |5         |中信期货      |1         |0         |中辉期货      |1         |0         
3     |金元期货      |5           |5         |中大期货      |1         |1         |新纪元期货    |0         |0         
4     |深圳金汇      |2           |2         |方正中期      |0         |0         |方正中期      |0         |-1        
5     |中辉期货      |2           |2         |国元期货      |0         |0         |中信期货      |0         |0         
6     |华安期货      |2           |2         |金元期货      |0         |-5        |金元期货      |0         |0         
7     |大地期货      |1           |1         |深圳金汇      |0         |0         |深圳金汇      |0         |0         
8     |安粮期货      |1           |1         |大地期货      |0         |0         |大地期货      |0         |-1        
9     |大有期货      |1           |1         |安粮期货      |0         |0         |安粮期货      |0         |-1        
10    |中大期货      |1           |1         |东航期货      |0         |0         |东航期货      |0         |0         
11    |新纪元期货    |0           |0         |大有期货      |0         |0         |大有期货      |0         |-1        
12    |国元期货      |0           |0         |中辉期货      |0         |0         |中大期货      |0         |0         
13    |中信期货      |0           |0         |华安期货      |0         |0         |华安期货      |0         |0         
合计  |              |26          |26        |                |3         |-4        |              |3         |-4        

品种：甲醇MA              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |226,969     |15,196    |东证期货      |103,125   |6,721     |东证期货      |103,931   |11,090    
2     |东吴期货      |84,423      |18,863    |华泰期货      |56,406    |3,435     |申银万国      |69,804    |83        
3     |华泰期货      |84,308      |14,663    |中信期货      |40,574    |-6,751    |华泰期货      |67,124    |891       
4     |华闻期货      |74,403      |9,646     |东吴期货      |33,597    |1,981     |中信期货      |60,070    |-3,137    
5     |新湖期货      |72,083      |26,199    |永安期货      |32,668    |2,761     |海通期货      |45,108    |858       
6     |中信期货      |62,140      |-9,702    |海通期货      |31,623    |-2,730    |永安期货      |42,225    |5,643     
7     |永安期货      |57,286      |26,927    |徽商期货      |26,108    |-491      |东吴期货      |41,169    |4,420     
8     |光大期货      |55,667      |-5,158    |中信建投      |22,436    |-1,113    |新湖期货      |27,139    |-303      
9     |徽商期货      |50,603      |22,242    |新湖期货      |21,482    |-596      |中粮期货      |24,231    |-9,659    
10    |海通期货      |50,358      |7,502     |安粮期货      |21,159    |-3,842    |广发期货      |24,142    |-525      
11    |冠通期货      |46,137      |429       |银河期货      |21,012    |3,016     |银河期货      |23,461    |-3,863    
12    |中辉期货      |43,234      |10,482    |光大期货      |20,537    |-10,128   |华闻期货      |20,953    |5,612     
13    |东方财富      |36,852      |5,502     |国投安信期货  |20,279    |2,318     |兴证期货      |20,685    |1,043     
14    |华安期货      |32,780      |1,913     |华闻期货      |20,259    |5,857     |国投安信期货  |18,946    |2,946     
15    |国泰君安      |31,379      |3,479     |华安期货      |19,735    |1,498     |中信建投      |18,520    |-929      
16    |中信建投      |30,390      |675       |国泰君安      |19,158    |-95       |光大期货      |17,275    |-11,371   
17    |银河期货      |26,593      |-12,342   |一德期货      |18,732    |-30       |安粮期货      |17,116    |-4,630    
18    |方正中期      |25,213      |3,955     |广发期货      |18,631    |-148      |国泰君安      |15,376    |-330      
19    |国富期货      |23,953      |6,014     |申银万国      |16,473    |1,875     |弘业期货      |14,759    |682       
20    |弘业期货      |23,815      |10,495    |方正中期      |15,829    |1,325     |华安期货      |11,164    |-26       
合计  |              |1138586     |156980    |                |579823    |4863      |              |683198    |-1505     

品种：菜油OI              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |113,208     |-1,299    |中信期货      |11,176    |-454      |中粮期货      |25,064    |-61       
2     |华泰期货      |30,208      |-6,145    |银河期货      |7,919     |863       |国投安信期货  |12,791    |38        
3     |中信期货      |21,829      |-4,171    |国投安信期货  |6,965     |-266      |中信期货      |9,942     |359       
4     |光大期货      |20,158      |-1,120    |中信建投      |5,182     |118       |东证期货      |8,567     |-45       
5     |海通期货      |20,072      |-1,765    |国富期货      |5,179     |-960      |兴证期货      |5,481     |202       
6     |东吴期货      |14,304      |2,507     |安粮期货      |5,103     |209       |中信建投      |4,592     |-32       
7     |徽商期货      |14,028      |-3,409    |永安期货      |4,941     |-239      |中国国际      |4,590     |732       
8     |华西期货      |14,008      |269       |中粮期货      |4,861     |195       |华泰期货      |4,122     |402       
9     |华安期货      |13,109      |-3,498    |东证期货      |4,590     |-163      |国海良时      |3,889     |-669      
10    |华闻期货      |8,750       |-835      |国泰君安      |3,839     |-239      |上海中期      |3,800     |87        
11    |美尔雅        |8,321       |-456      |兴证期货      |3,798     |-193      |海通期货      |3,450     |1,660     
12    |新湖期货      |8,258       |-2,122    |信达期货      |3,404     |294       |建信期货      |3,379     |-681      
13    |宏源期货      |8,205       |380       |建信期货      |3,357     |-528      |鲁证期货      |3,005     |-93       
14    |平安期货      |8,192       |-436      |申银万国      |3,332     |-1,068    |安粮期货      |2,966     |131       
15    |银河期货      |7,400       |-1,338    |华安期货      |2,781     |238       |大有期货      |2,356     |-17       
16    |上海大陆      |6,502       |1,385     |上海中期      |2,611     |-6        |新湖期货      |2,068     |-1        
17    |国泰君安      |6,483       |-2,566    |一德期货      |2,508     |-481      |摩根大通      |1,860     |0         
18    |安粮期货      |6,424       |743       |鲁证期货      |2,479     |-203      |南华期货      |1,684     |141       
19    |兴证期货      |6,353       |643       |大有期货      |2,443     |5         |申银万国      |1,657     |-163      
20    |东方财富      |5,882       |-435      |兴业期货      |2,236     |446       |国联期货      |1,574     |183       
合计  |              |341694      |-23668    |                |88704     |-2432     |              |106837    |2173      

品种：普麦PM              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |国投安信期货  |0           |0         |广州期货      |10        |0         |天风期货      |39        |0         
2     |盛达期货      |0           |0         |中国国际      |7         |0         |中州期货      |4         |0         
3     |申银万国      |0           |0         |鲁证期货      |3         |0         |方正中期      |1         |0         
4     |方正中期      |0           |0         |海通期货      |3         |0         |国投安信期货  |0         |0         
5     |中信期货      |0           |0         |东证期货      |3         |0         |盛达期货      |0         |0         
6     |鲁证期货      |0           |0         |申银万国      |2         |0         |申银万国      |0         |0         
7     |海通期货      |0           |0         |中信期货      |2         |0         |中信期货      |0         |0         
8     |东证期货      |0           |0         |中州期货      |2         |0         |鲁证期货      |0         |0         
9     |中国国际      |0           |0         |中信建投      |2         |0         |海通期货      |0         |0         
10    |天风期货      |0           |0         |永安期货      |2         |0         |东证期货      |0         |0         
11    |中州期货      |0           |0         |恒泰期货      |2         |0         |中国国际      |0         |0         
12    |中信建投      |0           |0         |东方财富      |2         |0         |中信建投      |0         |0         
13    |上海中期      |0           |0         |国投安信期货  |1         |0         |上海中期      |0         |0         
14    |永安期货      |0           |0         |盛达期货      |1         |0         |永安期货      |0         |0         
15    |中辉期货      |0           |0         |上海中期      |1         |0         |中辉期货      |0         |0         
16    |广州期货      |0           |0         |中辉期货      |1         |0         |广州期货      |0         |0         
17    |恒泰期货      |0           |0         |方正中期      |0         |0         |恒泰期货      |0         |0         
18    |东方财富      |0           |0         |天风期货      |0         |0         |东方财富      |0         |0         
合计  |              |0           |0         |                |44        |0         |              |44        |0         

品种：早籼RI              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |江西瑞奇      |21          |18        |东证期货      |10        |0         |江西瑞奇      |30        |-7        
2     |东航期货      |12          |9         |弘业期货      |5         |4         |弘业期货      |3         |3         
3     |弘业期货      |7           |7         |光大期货      |4         |0         |东航期货      |2         |2         
4     |方正中期      |6           |4         |国泰君安      |4         |0         |华泰期货      |1         |0         
5     |中辉期货      |3           |3         |平安期货      |4         |0         |上海大陆      |1         |0         
6     |广州期货      |3           |1         |金元期货      |3         |0         |南华期货      |1         |0         
7     |上海大陆      |2           |0         |中信建投      |3         |0         |中财期货      |0         |0         
8     |银河期货      |2           |2         |方正中期      |2         |0         |方正中期      |0         |0         
9     |中原期货      |2           |0         |中财期货      |1         |0         |银河期货      |0         |0         
10    |鲁证期货      |1           |1         |中大期货      |1         |0         |鲁证期货      |0         |0         
11    |上海中期      |1           |1         |中辉期货      |1         |1         |金元期货      |0         |0         
12    |华泰期货      |0           |0         |华泰期货      |0         |0         |中原期货      |0         |0         
13    |中财期货      |0           |0         |上海大陆      |0         |0         |东证期货      |0         |0         
14    |金元期货      |0           |0         |江西瑞奇      |0         |0         |光大期货      |0         |0         
15    |东证期货      |0           |0         |银河期货      |0         |0         |中信建投      |0         |0         
16    |光大期货      |0           |0         |鲁证期货      |0         |-1        |中大期货      |0         |0         
17    |中信建投      |0           |0         |中原期货      |0         |-2        |上海中期      |0         |0         
18    |中大期货      |0           |0         |东航期货      |0         |0         |国泰君安      |0         |0         
19    |国泰君安      |0           |0         |上海中期      |0         |-1        |中辉期货      |0         |0         
20    |南华期货      |0           |0         |南华期货      |0         |0         |广州期货      |0         |0         
合计  |              |60          |46        |                |38        |1         |              |38        |-2        

品种：菜粕RM              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |265,676     |7,570     |五矿经易期货  |31,734    |1,412     |中粮期货      |77,696    |1,940     
2     |华泰期货      |94,535      |-15,009   |华泰期货      |22,481    |3,181     |国投安信期货  |36,551    |155       
3     |新湖期货      |41,218      |-6,681    |中信期货      |21,644    |-74       |永安期货      |25,085    |1,221     
4     |中信期货      |38,804      |-7,272    |银河期货      |21,603    |5         |兴证期货      |21,684    |2,909     
5     |兴证期货      |38,121      |-1,589    |永安期货      |17,622    |124       |中信期货      |19,157    |252       
6     |光大期货      |37,701      |-321      |东证期货      |17,127    |-504      |广发期货      |17,922    |-176      
7     |国富期货      |35,448      |2,930     |国投安信期货  |15,470    |-603      |南华期货      |16,159    |-100      
8     |华西期货      |34,015      |-1,870    |宏源期货      |12,821    |77        |东证期货      |15,168    |1,784     
9     |广发期货      |32,136      |307       |徽商期货      |11,314    |375       |华泰期货      |14,691    |-472      
10    |徽商期货      |31,909      |-1,163    |方正中期      |11,025    |-1,125    |光大期货      |13,724    |-1,116    
11    |冠通期货      |25,960      |2,608     |长江期货      |10,430    |183       |摩根大通      |12,489    |0         
12    |华安期货      |24,508      |-11,401   |国泰君安      |10,089    |-569      |五矿经易期货  |11,411    |445       
13    |海通期货      |24,101      |1,626     |上海大陆      |10,023    |8         |中国国际      |11,208    |-996      
14    |东吴期货      |24,078      |-18,060   |光大期货      |9,458     |583       |徽商期货      |11,075    |-140      
15    |美尔雅        |19,472      |13,789    |广发期货      |8,724     |-760      |国泰君安      |8,531     |448       
16    |中信建投      |16,605      |-996      |申银万国      |8,722     |-750      |海通期货      |7,828     |-336      
17    |国泰君安      |15,439      |-5,420    |华安期货      |7,885     |-277      |国海良时      |7,443     |328       
18    |国信期货      |14,341      |6,058     |兴证期货      |6,999     |350       |平安期货      |6,377     |1,256     
19    |国投安信期货  |13,350      |-968      |中辉期货      |6,765     |296       |新晟期货      |5,575     |-16       
20    |东方财富      |13,345      |-3,117    |新湖期货      |6,680     |-486      |瑞达期货      |5,333     |227       
合计  |              |840762      |-38979    |                |268616    |1446      |              |345107    |7613      

品种：菜籽RS              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |银河期货      |33          |31        |华泰期货      |2         |2         |东证期货      |7         |6         
2     |东航期货      |26          |19        |宝城期货      |2         |2         |光大期货      |3         |0         
3     |方正中期      |15          |12        |徽商期货      |2         |-1        |中信期货      |2         |0         
4     |德盛期货      |12          |10        |方正中期      |2         |2         |方正中期      |1         |1         
5     |中原期货      |10          |10        |美尔雅        |2         |0         |迈科期货      |1         |0         
6     |东证期货      |8           |8         |东证期货      |2         |0         |永安期货      |1         |0         
7     |江苏东华      |6           |6         |招商期货      |1         |0         |德盛期货      |1         |0         
8     |广州金控      |6           |6         |中财期货      |1         |1         |华泰期货      |0         |0         
9     |华安期货      |6           |6         |银河期货      |1         |1         |招商期货      |0         |0         
10    |海通期货      |5           |1         |新晟期货      |1         |0         |宝城期货      |0         |0         
11    |华泰期货      |4           |-2        |格林大华期货  |0         |0         |格林大华期货  |0         |0         
12    |瑞达期货      |4           |4         |江苏东华      |0         |0         |中财期货      |0         |0         
13    |中电投先融    |4           |4         |中信期货      |0         |0         |江苏东华      |0         |0         
14    |中财期货      |3           |3         |长江期货      |0         |0         |徽商期货      |0         |0         
15    |徽商期货      |3           |2         |海通期货      |0         |-1        |银河期货      |0         |0         
16    |宝城期货      |2           |2         |中原期货      |0         |0         |长江期货      |0         |0         
17    |中信期货      |2           |2         |迈科期货      |0         |0         |海通期货      |0         |0         
18    |长江期货      |2           |2         |光大期货      |0         |0         |中原期货      |0         |0         
19    |美尔雅        |2           |2         |瑞达期货      |0         |0         |美尔雅        |0         |0         
20    |国泰君安      |2           |1         |东航期货      |0         |0         |瑞达期货      |0         |-4        
合计  |              |155         |129       |                |16        |6         |              |16        |3         

品种：纯碱SA              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |2,444       |1,270     |永安期货      |3,406     |41        |永安期货      |5,092     |1,542     
2     |华泰期货      |2,297       |1,224     |海证期货      |2,343     |213       |广州期货      |2,049     |461       
3     |永安期货      |2,279       |1,997     |中信期货      |2,189     |-544      |美尔雅        |1,980     |-135      
4     |中信期货      |2,182       |1,954     |一德期货      |2,042     |18        |华金期货      |1,953     |268       
5     |光大期货      |2,010       |1,223     |方正中期      |1,815     |292       |方正中期      |1,848     |-232      
6     |新湖期货      |2,008       |1,464     |国投安信期货  |1,230     |868       |海通期货      |1,537     |30        
7     |国投安信期货  |1,808       |1,323     |东证期货      |1,078     |53        |浙商期货      |1,431     |11        
8     |东方财富      |1,580       |1,022     |东方财富      |1,032     |224       |弘业期货      |1,201     |40        
9     |徽商期货      |1,500       |1,155     |新湖期货      |624       |48        |中信建投      |1,029     |94        
10    |方正中期      |1,344       |1,120     |中信建投      |610       |54        |上海大陆      |923       |11        
11    |华安期货      |1,258       |672       |徽商期货      |607       |96        |新湖期货      |915       |-190      
12    |华鑫期货      |1,142       |1,127     |华泰期货      |601       |90        |海证期货      |788       |131       
13    |冠通期货      |1,114       |746       |前海期货      |595       |38        |中粮期货      |752       |342       
14    |浙商期货      |996         |509       |美尔雅        |594       |174       |安粮期货      |699       |151       
15    |美尔雅        |995         |811       |冠通期货      |565       |6         |华鑫期货      |627       |615       
16    |海证期货      |938         |717       |银河期货      |562       |104       |南华期货      |602       |181       
17    |长江期货      |871         |767       |东吴期货      |549       |57        |混沌天成期货  |576       |1         
18    |东吴期货      |856         |754       |兴证期货      |533       |307       |瑞达期货      |556       |58        
