					郑州商品交易所期货持仓排名表(2020-03-05)

品种：苹果AP              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |45,241      |-8,794    |中信期货      |7,457     |402       |中信期货      |10,822    |597       
2     |中信期货      |19,035      |-1,407    |徽商期货      |5,953     |204       |鲁证期货      |8,875     |101       
3     |光大期货      |15,876      |-3,320    |光大期货      |5,717     |328       |永安期货      |7,835     |41        
4     |华泰期货      |14,694      |-3,434    |方正中期      |4,576     |257       |东证期货      |5,814     |102       
5     |徽商期货      |14,562      |-2,658    |国投安信期货  |4,063     |37        |海通期货      |5,437     |806       
6     |东证期货      |13,783      |-2,249    |东证期货      |4,022     |73        |徽商期货      |5,049     |38        
7     |华安期货      |12,385      |-381      |永安期货      |3,993     |140       |宏源期货      |4,467     |-47       
8     |新湖期货      |10,928      |3,176     |华安期货      |3,705     |162       |一德期货      |4,009     |-437      
9     |东吴期货      |10,587      |-3,245    |华泰期货      |3,662     |-173      |华泰期货      |3,925     |757       
10    |华闻期货      |9,748       |-733      |银河期货      |3,644     |-106      |国泰君安      |3,864     |45        
11    |国泰君安      |6,647       |-3,889    |国泰君安      |3,378     |94        |光大期货      |3,814     |32        
12    |方正中期      |5,969       |-153      |海通期货      |3,281     |-79       |海证期货      |3,596     |188       
13    |永安期货      |5,929       |488       |东方财富      |3,111     |360       |安粮期货      |3,451     |115       
14    |申银万国      |5,818       |662       |南华期货      |2,880     |79        |招金期货      |3,412     |-32       
15    |中信建投      |5,701       |-513      |东吴期货      |2,779     |-191      |中辉期货      |3,181     |-13       
16    |东方财富      |5,668       |767       |广发期货      |2,730     |-101      |上海中期      |3,095     |-72       
17    |东航期货      |5,355       |1,101     |中信建投      |2,714     |303       |东吴期货      |2,519     |472       
18    |鲁证期货      |5,176       |490       |平安期货      |2,542     |68        |国投安信期货  |2,417     |-56       
19    |宏源期货      |4,741       |777       |浙商期货      |2,388     |-38       |东航期货      |2,380     |156       
20    |安粮期货      |4,688       |-240      |瑞达期货      |2,352     |243       |申银万国      |2,371     |498       
合计  |              |222531      |-23555    |                |74947     |2062      |              |90333     |3291      

品种：棉花CF              日期： 2020-03-05
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |149,786     |44,232    |永安期货      |60,063    |1         |东证期货      |56,241    |1,751     
2     |华泰期货      |61,530      |36,294    |中信期货      |37,199    |2,621     |中信期货      |49,131    |-1,291    
3     |中信期货      |51,994      |21,977    |华泰期货      |32,433    |8,892     |国投安信期货  |39,738    |-4,835    
4     |东证期货      |47,690      |14,098    |中粮期货      |31,633    |1,459     |中粮期货      |36,077    |70        
5     |光大期货      |46,660      |17,819    |国投安信期货  |26,560    |4,688     |永安期货      |30,853    |-92       
6     |中辉期货      |41,105      |19,723    |光大期货      |20,969    |-1,056    |银河期货      |27,713    |204       
7     |华闻期货      |34,982      |1,842     |中国国际      |20,352    |2,134     |国贸期货      |24,164    |306       
8     |东吴期货      |34,159      |20,401    |银河期货      |18,591    |-1,245    |长江期货      |22,134    |393       
9     |永安期货      |28,693      |19,467    |东证期货      |17,626    |-903      |大有期货      |21,676    |964       
10    |宏源期货      |27,823      |14,204    |海通期货      |17,023    |2,301     |兴证期货      |20,361    |-355      
11    |国投安信期货  |25,973      |19,034    |兴证期货      |14,879    |-2,251    |国泰君安      |18,234    |3,379     
12    |东海期货      |21,150      |9,761     |广发期货      |14,330    |447       |华信期货      |17,805    |352       
13    |方正中期      |20,549      |8,519     |长江期货      |14,091    |-493      |华泰期货      |17,282    |-694      
14    |徽商期货      |18,439      |11,282    |方正中期      |13,937    |-1,072    |南华期货      |16,790    |175       
15    |国泰君安      |18,020      |983       |大有期货      |13,843    |821       |宏源期货      |16,262    |267       
16    |华金期货      |17,864      |10,487    |南华期货      |12,744    |-213      |海通期货      |15,673    |1,935     
17    |广发期货      |17,439      |9,101     |国泰君安      |11,611    |-647      |中国国际      |15,192    |-85       
18    |华西期货      |17,139      |8,482     |五矿经易期货  |11,609    |-35       |中大期货      |13,064    |26        
