					郑州商品交易所期货持仓排名表(2020-03-11)

品种：苹果AP              日期： 2020-03-11
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |42,636      |-2,692    |中信期货      |7,293     |-49       |中信期货      |10,269    |291       
2     |光大期货      |19,940      |-3,356    |徽商期货      |5,261     |-51       |鲁证期货      |8,428     |-76       
3     |东证期货      |15,165      |-1,216    |光大期货      |4,925     |107       |永安期货      |6,689     |451       
4     |中信期货      |15,032      |-5,522    |国投安信期货  |4,181     |79        |东证期货      |5,560     |8         
5     |华泰期货      |13,688      |-4,013    |方正中期      |4,164     |17        |一德期货      |4,277     |-117      
6     |徽商期货      |12,495      |-1,043    |永安期货      |3,934     |-141      |徽商期货      |4,067     |-114      
7     |华闻期货      |9,236       |-626      |华泰期货      |3,453     |47        |海通期货      |4,032     |-217      
8     |华安期货      |9,098       |-3,306    |华安期货      |3,349     |101       |光大期货      |3,975     |-33       
9     |东吴期货      |8,966       |-1,823    |国泰君安      |3,345     |-168      |国泰君安      |3,928     |177       
10    |国泰君安      |6,351       |-2,238    |东证期货      |3,099     |-307      |招金期货      |3,696     |-86       
11    |申银万国      |5,336       |476       |银河期货      |2,998     |-43       |宏源期货      |3,676     |-16       
12    |海证期货      |5,259       |759       |海通期货      |2,864     |-173      |上海中期      |3,316     |-69       
13    |新湖期货      |5,238       |-3,442    |瑞达期货      |2,782     |193       |中辉期货      |3,252     |-197      
14    |美尔雅        |5,085       |1,023     |南华期货      |2,662     |135       |海证期货      |2,954     |-682      
15    |方正中期      |5,058       |-2,748    |东吴期货      |2,648     |-2        |华泰期货      |2,928     |-383      
16    |永安期货      |5,008       |-1,070    |广发期货      |2,613     |61        |安粮期货      |2,699     |-89       
17    |银河期货      |4,937       |-477      |东方财富      |2,555     |-91       |国投安信期货  |2,687     |-3        
18    |东方财富      |4,829       |-1,006    |鲁证期货      |2,262     |224       |东吴期货      |2,366     |-104      
19    |安粮期货      |4,689       |-890      |中信建投      |2,228     |-173      |申银万国      |2,249     |-105      
20    |中信建投      |4,639       |-1,854    |新纪元期货    |2,094     |1         |东航期货      |2,044     |180       
合计  |              |202685      |-35064    |                |68710     |-233      |              |83092     |-1184     

品种：棉花CF              日期： 2020-03-11
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |94,413      |-32,405   |永安期货      |62,649    |534       |东证期货      |54,451    |741       
2     |华泰期货      |35,167      |-13,227   |中粮期货      |37,065    |-158      |中信期货      |44,448    |-590      
3     |东证期货      |29,768      |-20,433   |中信期货      |33,534    |-390      |国投安信期货  |42,856    |236       
4     |光大期货      |27,344      |-9,335    |银河期货      |26,537    |-76       |永安期货      |40,756    |-585      
5     |东海期货      |23,924      |-6,305    |国投安信期货  |26,483    |-481      |中粮期货      |36,661    |-147      
6     |华闻期货      |21,518      |-6,303    |中国国际      |24,477    |1,042     |银河期货      |30,754    |-491      
7     |中信期货      |20,846      |-11,676   |光大期货      |20,883    |-1,600    |国贸期货      |22,765    |15        
8     |中辉期货      |16,244      |-20,863   |东证期货      |19,703    |361       |大有期货      |21,793    |24        
9     |国泰君安      |14,035      |-6,009    |华泰期货      |17,459    |-1,267    |长江期货      |21,054    |-65       
10    |新湖期货      |11,983      |-5,377    |海通期货      |14,604    |-807      |兴证期货      |17,930    |-1,342    
11    |兴证期货      |11,192      |-6,266    |兴证期货      |13,687    |-1,732    |华泰期货      |17,813    |770       
12    |华金期货      |11,018      |-8,832    |大有期货      |13,571    |-181      |华信期货      |16,747    |351       
13    |永安期货      |9,989       |-14,483   |方正中期      |13,404    |-82       |南华期货      |16,134    |-24       
14    |国投安信期货  |9,807       |-3,012    |广发期货      |13,291    |-322      |国泰君安      |15,978    |-3,573    
15    |平安期货      |9,415       |5,144     |南华期货      |12,779    |49        |海通期货      |15,837    |1,240     
16    |广发期货      |8,784       |-5,335    |长江期货      |12,411    |-332      |中国国际      |15,014    |-312      
17    |华西期货      |8,504       |-10,011   |浙商期货      |11,713    |7         |宏源期货      |13,793    |222       
18    |华安期货      |8,478       |-7,055    |国泰君安      |10,935    |-156      |中大期货      |13,034    |-13       
19    |东吴期货      |8,426       |-3,583    |五矿经易期货  |10,888    |-81       |光大期货      |12,612    |230       
20    |徽商期货      |8,251       |-5,668    |大越期货      |9,735     |14        |建信期货      |10,557    |17        
合计  |              |389106      |-191034   |                |405808    |-5658     |              |480987    |-3296     

品种：红枣CJ              日期： 2020-03-11
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |5,933       |2,750     |国泰君安      |3,174     |525       |中信期货      |2,320     |307       
2     |中信期货      |4,379       |1,419     |中信期货      |2,685     |322       |华泰期货      |1,881     |219       
3     |国泰君安      |3,932       |2,472     |华泰期货      |1,786     |140       |兴证期货      |1,120     |531       
4     |华泰期货      |3,563       |2,581     |中财期货      |1,105     |651       |东航期货      |1,096     |173       
5     |华安期货      |2,865       |1,472     |新湖期货      |872       |47        |永安期货      |1,020     |191       
6     |徽商期货      |2,735       |1,814     |华金期货      |829       |-13       |东证期货      |932       |184       
7     |新湖期货      |2,715       |906       |云财富期货    |827       |253       |银河期货      |822       |83        
8     |冠通期货      |2,370       |1,596     |银河期货      |806       |56        |新湖期货      |722       |106       
9     |光大期货      |2,286       |951       |南华期货      |802       |392       |鲁证期货      |715       |-95       
10    |东吴期货      |1,947       |1,261     |东吴期货      |780       |31        |华西期货      |663       |-5        
11    |东航期货      |1,849       |1,320     |国金期货      |774       |338       |华安期货      |629       |73        
12    |永安期货      |1,821       |1,467     |鲁证期货      |739       |128       |东吴期货      |622       |6         
13    |银河期货      |1,751       |1,337     |海证期货      |678       |13        |国富期货      |607       |56        
14    |东证期货      |1,724       |286       |东航期货      |626       |10        |华金期货      |596       |37        
15    |东方财富      |1,679       |1,300     |永安期货      |625       |-162      |冠通期货      |590       |-21       
16    |中财期货      |1,623       |1,274     |华闻期货      |603       |157       |徽商期货      |547       |141       
17    |兴证期货      |1,460       |848       |五矿经易期货  |568       |101       |宏源期货      |545       |-78       
18    |中辉期货      |1,299       |877       |冠通期货      |558       |-3        |方正中期      |493       |-23       
19    |华西期货      |1,213       |566       |长江期货      |549       |280       |国投安信期货  |469       |49        
20    |安粮期货      |1,181       |500       |广州期货      |523       |-148      |海通期货      |446       |165       
合计  |              |48325       |26997     |                |19909     |3118      |              |16835     |2099      

品种：棉纱CY              日期： 2020-03-11
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |4,976       |-229      |东证期货      |1,399     |-81       |东证期货      |1,334     |-78       
2     |长江期货      |1,918       |2         |国投安信期货  |1,167     |5         |国投安信期货  |1,112     |5         
3     |上海中期      |1,851       |799       |永安期货      |606       |0         |永安期货      |657       |21        
4     |浙商期货      |1,239       |130       |长江期货      |535       |17        |中信期货      |535       |3         
5     |宏源期货      |1,028       |-734      |中信期货      |530       |14        |长江期货      |523       |11        
6     |中粮期货      |1,004       |-549      |五矿经易期货  |477       |-60       |上海中期      |463       |99        
