					郑州商品交易所期货持仓排名表(2020-03-13)

品种：苹果AP              日期： 2020-03-13
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |75,127      |1,204     |中信期货      |7,021     |-422      |中信期货      |10,288    |-243      
2     |中信期货      |37,819      |10,267    |徽商期货      |4,293     |-387      |鲁证期货      |5,794     |-1,116    
3     |光大期货      |32,740      |3,411     |光大期货      |4,110     |-934      |永安期货      |5,758     |-535      
4     |东证期货      |28,104      |1,688     |国投安信期货  |4,067     |-55       |东证期货      |4,644     |-1,019    
5     |华泰期货      |26,047      |1,670     |华泰期货      |3,536     |-185      |国泰君安      |4,468     |387       
6     |华闻期货      |18,891      |39        |永安期货      |3,464     |-88       |海通期货      |4,456     |-462      
7     |新湖期货      |17,992      |1,268     |方正中期      |3,452     |-563      |徽商期货      |4,153     |78        
8     |东吴期货      |17,329      |2,189     |华安期货      |2,901     |-493      |光大期货      |3,719     |-274      
9     |徽商期货      |14,867      |-1,252    |国泰君安      |2,849     |-275      |华泰期货      |3,643     |-228      
10    |华安期货      |10,855      |-1,085    |瑞达期货      |2,805     |132       |一德期货      |3,632     |-300      
11    |国泰君安      |9,402       |-1,884    |东证期货      |2,725     |-583      |上海中期      |3,068     |-9        
12    |鲁证期货      |8,623       |787       |海通期货      |2,500     |-319      |安粮期货      |3,063     |363       
13    |宏源期货      |8,191       |1,320     |鲁证期货      |2,457     |-133      |宏源期货      |2,883     |-1,041    
14    |永安期货      |7,941       |-137      |南华期货      |2,400     |-159      |国投安信期货  |2,452     |-435      
15    |申银万国      |7,905       |2,166     |银河期货      |2,392     |-432      |中辉期货      |2,366     |-592      
16    |方正中期      |7,268       |360       |东吴期货      |2,348     |-52       |海证期货      |2,144     |-420      
17    |安粮期货      |6,907       |-279      |广发期货      |2,328     |-250      |招金期货      |2,070     |-913      
18    |华西期货      |6,163       |-164      |东方财富      |2,129     |-185      |东吴期货      |1,849     |-379      
19    |东方财富      |5,974       |-966      |浙商期货      |2,070     |136       |方正中期      |1,836     |-91       
20    |中信建投      |5,870       |50        |平安期货      |2,043     |-39       |浙江新世纪    |1,744     |-64       
合计  |              |354015      |20652     |                |61890     |-5286     |              |74030     |-7293     

品种：棉花CF              日期： 2020-03-13
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |广发期货      |154,447     |137,010   |永安期货      |73,386    |2,500     |东证期货      |55,426    |-3,058    
2     |海通期货      |142,815     |-24,476   |中信期货      |41,222    |3,331     |中信期货      |50,466    |4,178     
3     |华泰期货      |87,127      |31,372    |中粮期货      |39,431    |1,933     |国投安信期货  |44,348    |-1,653    
4     |中信期货      |75,765      |27,930    |国投安信期货  |27,784    |1,108     |永安期货      |40,323    |-676      
5     |东海期货      |67,570      |22,181    |中国国际      |26,300    |912       |中粮期货      |36,533    |-163      
6     |中辉期货      |61,769      |12,740    |光大期货      |20,736    |-611      |银河期货      |24,268    |-2,924    
7     |东证期货      |59,344      |4,572     |东证期货      |19,622    |-196      |国泰君安      |23,835    |4,517     
8     |光大期货      |58,723      |4,153     |银河期货      |19,416    |-3,523    |大有期货      |23,023    |1,329     
9     |华闻期货      |44,457      |4,459     |华泰期货      |17,282    |35        |国贸期货      |21,712    |-700      
10    |永安期货      |37,834      |14,624    |大有期货      |15,192    |1,599     |长江期货      |19,510    |-1,075    
11    |东吴期货      |36,801      |21,801    |南华期货      |14,406    |1,126     |兴证期货      |18,575    |2,735     
12    |华安期货      |32,967      |14,481    |广发期货      |14,394    |828       |华泰期货      |17,756    |976       
13    |宏源期货      |32,020      |15,211    |兴证期货      |14,371    |2,112     |华信期货      |15,761    |-825      
14    |华金期货      |31,935      |7,539     |海通期货      |14,173    |-1,493    |海通期货      |15,640    |-630      
15    |国泰君安      |30,910      |13,823    |长江期货      |12,867    |-513      |中国国际      |15,598    |413       
16    |徽商期货      |30,122      |16,173    |方正中期      |11,717    |-3,279    |宏源期货      |15,348    |980       
17    |国投安信期货  |26,565      |11,975    |国泰君安      |11,449    |1,137     |光大期货      |14,960    |1,950     
18    |方正中期      |26,327      |11,963    |五矿经易期货  |10,754    |43        |南华期货      |14,846    |-963      
19    |银河期货      |24,137      |5,345     |鲁证期货      |10,340    |1,997     |中大期货      |13,471    |612       
20    |新湖期货      |21,510      |5,787     |申银万国      |9,868     |380       |广发期货      |10,585    |403       
合计  |              |1083145     |358663    |                |424710    |9426      |              |491984    |5426      

品种：红枣CJ              日期： 2020-03-13
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |4,847       |-2,158    |国泰君安      |2,593     |-132      |中信期货      |2,526     |22        
2     |华泰期货      |4,010       |-957      |中信期货      |2,565     |-117      |华泰期货      |1,925     |185       
3     |中信期货      |3,203       |-948      |华泰期货      |1,767     |41        |永安期货      |837       |-234      
4     |新湖期货      |3,102       |455       |中财期货      |1,000     |-17       |东航期货      |834       |-315      
5     |华安期货      |2,430       |451       |东吴期货      |982       |-24       |国泰君安      |766       |247       
6     |国泰君安      |2,266       |-155      |新湖期货      |899       |56        |东证期货      |763       |-83       
7     |光大期货      |1,524       |-365      |华金期货      |872       |23        |银河期货      |714       |-48       
8     |徽商期货      |1,379       |-998      |南华期货      |765       |-42       |兴证期货      |686       |123       
9     |东航期货      |1,257       |386       |云财富期货    |754       |-6        |鲁证期货      |653       |220       
10    |银河期货      |1,242       |-153      |国金期货      |672       |-5        |新湖期货      |618       |24        
11    |东证期货      |1,080       |-984      |广州期货      |670       |67        |东吴期货      |614       |-41       
12    |兴证期货      |1,028       |-1,065    |海证期货      |642       |-44       |华金期货      |593       |21        
13    |永安期货      |1,006       |-82       |银河期货      |641       |-174      |宏源期货      |579       |-145      
14    |冠通期货      |898         |-648      |鲁证期货      |626       |-111      |冠通期货      |569       |2         
15    |安粮期货      |876         |290       |金鹏期货      |620       |88        |方正中期      |562       |51        
16    |国金期货      |803         |405       |冠通期货      |619       |-6        |徽商期货      |505       |-198      
17    |上海大陆      |754         |32        |永安期货      |573       |-75       |华西期货      |492       |-42       
18    |鲁证期货      |689         |-93       |长江期货      |529       |-6        |国投安信期货  |483       |-76       
19    |方正中期      |682         |-220      |兴证期货      |510       |-67       |国富期货      |455       |-120      
20    |美尔雅        |652         |320       |华闻期货      |508       |14        |上海中期      |453       |-26       
合计  |              |33728       |-6487     |                |18807     |-537      |              |15627     |-433      

品种：棉纱CY              日期： 2020-03-13
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |7,315       |-761      |国投安信期货  |1,195     |12        |国投安信期货  |1,118     |1         
2     |新湖期货      |1,691       |520       |东证期货      |1,172     |-94       |东证期货      |1,110     |-85       
3     |宏源期货      |1,307       |34        |南华期货      |626       |137       |永安期货      |612       |-42       
4     |南华期货      |1,204       |375       |永安期货      |562       |-42       |中信期货      |585       |73        
5     |中粮期货      |1,115       |169       |中信期货      |507       |-9        |南华期货      |459       |19        
6     |上海中期      |1,102       |-498      |五矿经易期货  |441       |-13       |五矿经易期货  |457       |17        
7     |长江期货      |1,040       |-89       |瑞达期货      |395       |11        |宏源期货      |438       |58        
8     |中信期货      |1,002       |-255      |弘业期货      |389       |-13       |弘业期货      |384       |-16       
9     |浙商期货      |967         |162       |长江期货      |377       |-163      |上海中期      |365       |-191      
10    |弘业期货      |937         |-97       |上海中期      |366       |-183      |长江期货      |358       |-167      
11    |瑞达期货      |862         |96        |大地期货      |351       |11        |大地期货      |351       |11        
12    |东证期货      |835         |-341      |中粮期货      |343       |-4        |中粮期货      |345       |5         
13    |五矿经易期货  |742         |54        |宏源期货      |343       |15        |瑞达期货      |337       |-9        
