					郑州商品交易所期货持仓排名表(2020-03-06)

品种：苹果AP              日期： 2020-03-06
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |42,823      |-2,418    |中信期货      |7,999     |542       |中信期货      |10,364    |-458      
2     |中信期货      |18,738      |-297      |徽商期货      |5,685     |-268      |鲁证期货      |8,989     |114       
3     |华泰期货      |17,154      |2,460     |光大期货      |5,670     |-47       |永安期货      |7,952     |117       
4     |光大期货      |16,217      |341       |方正中期      |4,836     |260       |东证期货      |5,803     |-11       
5     |徽商期货      |16,028      |1,466     |东证期货      |4,229     |207       |海通期货      |5,385     |-52       
6     |东证期货      |15,106      |1,323     |国投安信期货  |4,120     |57        |徽商期货      |5,117     |68        
7     |东吴期货      |13,526      |2,939     |永安期货      |4,009     |16        |宏源期货      |4,558     |91        
8     |华安期货      |10,940      |-1,445    |华泰期货      |3,935     |273       |一德期货      |4,124     |115       
9     |华闻期货      |10,171      |423       |国泰君安      |3,695     |317       |国泰君安      |3,941     |77        
10    |新湖期货      |8,056       |-2,872    |华安期货      |3,686     |-19       |光大期货      |3,936     |122       
11    |国泰君安      |7,078       |431       |银河期货      |3,517     |-127      |华泰期货      |3,710     |-215      
12    |海证期货      |6,715       |2,895     |海通期货      |3,294     |13        |海证期货      |3,627     |31        
13    |方正中期      |6,050       |81        |东方财富      |3,078     |-33       |招金期货      |3,581     |169       
14    |鲁证期货      |6,002       |826       |中信建投      |2,872     |158       |中辉期货      |3,522     |341       
15    |东方财富      |5,913       |245       |南华期货      |2,800     |-80       |上海中期      |3,272     |177       
16    |上海大陆      |5,910       |2,353     |东吴期货      |2,741     |-38       |安粮期货      |3,177     |-274      
17    |中信建投      |5,899       |198       |广发期货      |2,740     |10        |国投安信期货  |2,492     |75        
18    |永安期货      |5,709       |-220      |瑞达期货      |2,601     |249       |东吴期货      |2,359     |-160      
19    |安粮期货      |5,419       |731       |浙商期货      |2,509     |121       |东航期货      |2,358     |-22       
20    |银河期货      |5,380       |795       |新纪元期货    |2,435     |330       |申银万国      |2,302     |-69       
合计  |              |228834      |10255     |                |76451     |1941      |              |90569     |236       

品种：棉花CF              日期： 2020-03-06
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |110,238     |-39,548   |永安期货      |62,312    |2,249     |东证期货      |57,473    |1,232     
2     |华泰期货      |76,643      |15,113    |中信期货      |37,208    |9         |中信期货      |49,329    |198       
3     |国泰君安      |46,497      |28,477    |中粮期货      |32,138    |505       |国投安信期货  |46,016    |6,278     
4     |光大期货      |42,933      |-3,727    |华泰期货      |29,872    |-2,561    |中粮期货      |37,018    |941       
5     |东证期货      |37,667      |-10,023   |国投安信期货  |26,958    |398       |永安期货      |34,990    |4,137     
6     |中信期货      |34,213      |-17,781   |中国国际      |21,010    |658       |银河期货      |29,340    |1,627     
7     |华闻期货      |33,898      |-1,084    |银河期货      |19,467    |876       |国贸期货      |23,938    |-226      
8     |中辉期货      |33,201      |-7,904    |光大期货      |18,897    |-2,072    |长江期货      |21,889    |-245      
9     |东吴期货      |26,626      |-7,533    |东证期货      |18,065    |439       |大有期货      |21,517    |-159      
10    |宏源期货      |25,407      |-2,416    |兴证期货      |15,043    |164       |兴证期货      |19,758    |-603      
11    |永安期货      |23,316      |-5,377    |长江期货      |14,748    |657       |华泰期货      |18,554    |1,272     
12    |广发期货      |19,904      |2,465     |方正中期      |14,513    |576       |海通期货      |18,160    |2,487     
13    |华金期货      |19,670      |1,806     |广发期货      |13,632    |-698      |华信期货      |17,325    |-480      
14    |东海期货      |19,415      |-1,735    |大有期货      |13,608    |-235      |南华期货      |17,103    |313       
15    |国投安信期货  |18,752      |-7,221    |南华期货      |13,000    |256       |宏源期货      |15,884    |-378      
16    |银河期货      |17,655      |6,890     |海通期货      |12,890    |-4,133    |中国国际      |14,987    |-205      
