					郑州商品交易所期货持仓排名表(2020-03-12)

品种：苹果AP              日期： 2020-03-12
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |73,923      |31,287    |中信期货      |7,443     |150       |中信期货      |10,531    |262       
2     |光大期货      |29,329      |9,389     |光大期货      |5,044     |119       |鲁证期货      |6,910     |-1,518    
3     |中信期货      |27,552      |12,520    |徽商期货      |4,680     |-581      |永安期货      |6,293     |-396      
4     |东证期货      |26,416      |11,251    |国投安信期货  |4,122     |-59       |东证期货      |5,663     |103       
5     |华泰期货      |24,377      |10,689    |方正中期      |4,015     |-149      |海通期货      |4,918     |886       
6     |华闻期货      |18,852      |9,616     |华泰期货      |3,721     |268       |国泰君安      |4,081     |153       
7     |新湖期货      |16,724      |11,486    |永安期货      |3,552     |-382      |徽商期货      |4,075     |8         
8     |徽商期货      |16,119      |3,624     |华安期货      |3,394     |45        |光大期货      |3,993     |18        
9     |东吴期货      |15,140      |6,174     |东证期货      |3,308     |209       |一德期货      |3,932     |-345      
10    |华安期货      |11,940      |2,842     |国泰君安      |3,124     |-221      |宏源期货      |3,924     |248       
11    |国泰君安      |11,286      |4,935     |银河期货      |2,824     |-174      |华泰期货      |3,871     |943       
12    |永安期货      |8,078       |3,070     |海通期货      |2,819     |-45       |上海中期      |3,077     |-239      
13    |鲁证期货      |7,836       |3,710     |瑞达期货      |2,673     |-109      |招金期货      |2,983     |-713      
14    |安粮期货      |7,186       |2,497     |鲁证期货      |2,590     |328       |中辉期货      |2,958     |-294      
15    |东方财富      |6,940       |2,111     |广发期货      |2,578     |-35       |国投安信期货  |2,887     |200       
16    |方正中期      |6,908       |1,850     |南华期货      |2,559     |-103      |安粮期货      |2,700     |1         
17    |宏源期货      |6,871       |3,395     |东吴期货      |2,400     |-248      |海证期货      |2,564     |-390      
18    |银河期货      |6,524       |1,587     |中大期货      |2,340     |246       |东吴期货      |2,228     |-138      
19    |华西期货      |6,327       |4,279     |东方财富      |2,314     |-241      |国元期货      |2,071     |135       
20    |中辉期货      |6,174       |3,055     |新纪元期货    |2,279     |185       |申银万国      |2,065     |-184      
合计  |              |334502      |139367    |                |67779     |-797      |              |81724     |-1260     

品种：棉花CF              日期： 2020-03-12
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |167,291     |72,878    |永安期货      |70,886    |8,237     |东证期货      |58,484    |4,033     
2     |华泰期货      |55,755      |20,588    |中信期货      |37,891    |4,357     |中信期货      |46,288    |1,840     
3     |东证期货      |54,772      |25,004    |中粮期货      |37,498    |433       |国投安信期货  |46,001    |3,145     
4     |光大期货      |54,570      |27,226    |国投安信期货  |26,676    |193       |永安期货      |40,999    |243       
5     |中辉期货      |49,029      |32,785    |中国国际      |25,388    |911       |中粮期货      |36,696    |35        
6     |中信期货      |47,835      |26,989    |银河期货      |22,939    |-3,598    |银河期货      |27,192    |-3,562    
7     |东海期货      |45,389      |21,465    |光大期货      |21,347    |464       |国贸期货      |22,412    |-353      
8     |华闻期货      |39,998      |18,480    |东证期货      |19,818    |115       |大有期货      |21,694    |-99       
9     |华金期货      |24,396      |13,378    |华泰期货      |17,247    |-212      |长江期货      |20,585    |-469      
10    |华西期货      |24,326      |15,822    |海通期货      |15,666    |1,062     |国泰君安      |19,318    |3,340     
11    |永安期货      |23,210      |13,221    |方正中期      |14,996    |1,592     |华泰期货      |16,780    |-1,033    
12    |银河期货      |18,792      |11,775    |大有期货      |13,593    |22        |华信期货      |16,586    |-161      
13    |华安期货      |18,486      |10,008    |广发期货      |13,566    |275       |海通期货      |16,270    |433       
14    |广发期货      |17,437      |8,653     |长江期货      |13,380    |969       |兴证期货      |15,840    |-2,090    
15    |国泰君安      |17,087      |3,052     |南华期货      |13,280    |501       |南华期货      |15,809    |-325      
16    |宏源期货      |16,809      |11,564    |兴证期货      |12,259    |-1,428    |中国国际      |15,185    |171       
17    |金瑞期货      |15,886      |9,198     |浙商期货      |11,555    |-158      |宏源期货      |14,368    |575       
18    |新湖期货      |15,723      |3,740     |五矿经易期货  |10,711    |-177      |光大期货      |13,010    |398       
19    |浙商期货      |15,037      |8,807     |国泰君安      |10,312    |-623      |中大期货      |12,859    |-175      
20    |东吴期货      |15,000      |6,574     |大越期货      |9,808     |73        |建信期货      |10,452    |-105      
合计  |              |736828      |361207    |                |418816    |13008     |              |486828    |5841      

品种：红枣CJ              日期： 2020-03-12
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |7,005       |1,072     |国泰君安      |2,725     |-449      |中信期货      |2,504     |184       
2     |华泰期货      |4,967       |1,404     |中信期货      |2,682     |-3        |华泰期货      |1,740     |-141      
3     |中信期货      |4,151       |-228      |华泰期货      |1,726     |-60       |东航期货      |1,149     |53        
4     |新湖期货      |2,647       |-68       |中财期货      |1,017     |-88       |永安期货      |1,071     |51        
5     |国泰君安      |2,421       |-1,511    |东吴期货      |1,006     |226       |东证期货      |846       |-86       
6     |徽商期货      |2,377       |-358      |华金期货      |849       |20        |银河期货      |762       |-60       
7     |兴证期货      |2,093       |633       |新湖期货      |843       |-29       |宏源期货      |724       |179       
8     |东证期货      |2,064       |340       |银河期货      |815       |9         |徽商期货      |703       |156       
9     |华安期货      |1,979       |-886      |南华期货      |807       |5         |东吴期货      |655       |33        
10    |光大期货      |1,889       |-397      |云财富期货    |760       |-67       |华安期货      |610       |-19       
11    |冠通期货      |1,546       |-824      |鲁证期货      |737       |-2        |新湖期货      |594       |-128      
12    |银河期货      |1,395       |-356      |海证期货      |686       |8         |国富期货      |575       |-32       
13    |东方财富      |1,118       |-561      |国金期货      |677       |-97       |华金期货      |572       |-24       
14    |东吴期货      |1,113       |-834      |永安期货      |648       |23        |冠通期货      |567       |-23       
15    |永安期货      |1,088       |-733      |冠通期货      |625       |67        |兴证期货      |563       |-557      
16    |中信建投      |946         |121       |广州期货      |603       |80        |国投安信期货  |559       |90        
17    |宏源期货      |945         |37        |东航期货      |584       |-42       |华西期货      |534       |-129      
18    |方正中期      |902         |-200      |兴证期货      |577       |98        |国泰君安      |519       |125       
19    |东航期货      |871         |-978      |长江期货      |535       |-14       |方正中期      |511       |18        
20    |中辉期货      |790         |-509      |金鹏期货      |532       |102       |上海中期      |479       |33        
合计  |              |42307       |-4836     |                |19434     |-213      |              |16237     |-277      

品种：棉纱CY              日期： 2020-03-12
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |8,076       |3,100     |东证期货      |1,266     |-133      |东证期货      |1,195     |-139      
2     |上海中期      |1,600       |-251      |国投安信期货  |1,183     |16        |国投安信期货  |1,117     |5         
3     |宏源期货      |1,273       |245       |永安期货      |604       |-2        |永安期货      |654       |-3        
4     |中信期货      |1,257       |692       |上海中期      |549       |87        |上海中期      |556       |93        
5     |东证期货      |1,176       |839       |长江期货      |540       |5         |长江期货      |525       |2         
6     |新湖期货      |1,171       |325       |中信期货      |516       |-14       |中信期货      |512       |-23       
7     |长江期货      |1,129       |-789      |南华期货      |489       |127       |五矿经易期货  |440       |17        
8     |弘业期货      |1,034       |587       |五矿经易期货  |454       |-23       |南华期货      |440       |-2        
9     |中粮期货      |946         |-58       |弘业期货      |402       |5         |弘业期货      |400       |5         
10    |南华期货      |829         |456       |瑞达期货      |384       |4         |宏源期货      |380       |-51       
11    |浙商期货      |805         |-434      |中粮期货      |347       |-50       |瑞达期货      |346       |2         
12    |瑞达期货      |766         |127       |大地期货      |340       |-7        |中粮期货      |340       |-50       
13    |五矿经易期货  |688         |176       |宏源期货      |328       |-52       |大地期货      |340       |-3        
14    |国投安信期货  |673         |309       |华西期货      |234       |2         |华西期货      |240       |2         
15    |大地期货      |560         |260       |长安期货      |198       |0         |国贸期货      |218       |-2        
16    |安粮期货      |552         |235       |中财期货      |144       |2         |摩根大通      |158       |0         
17    |华闻期货      |400         |214       |上海大陆      |100       |-3        |海通期货      |150       |30        
18    |永安期货      |359         |96        |徽商期货      |67        |28        |美尔雅        |104       |103       
19    |华西期货      |268         |68        |银河期货      |55        |-47       |鲁证期货      |57        |-3        
