					郑州商品交易所期货持仓排名表(2020-03-10)

品种：苹果AP              日期： 2020-03-10
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |45,328      |-26,821   |中信期货      |7,342     |-63       |中信期货      |9,978     |-123      
2     |光大期货      |23,296      |-674      |徽商期货      |5,312     |3         |鲁证期货      |8,504     |-44       
3     |中信期货      |20,554      |-261      |光大期货      |4,818     |-97       |永安期货      |6,238     |-300      
4     |华泰期货      |17,701      |-6,090    |方正中期      |4,147     |422       |东证期货      |5,552     |56        
5     |东证期货      |16,381      |-7,564    |国投安信期货  |4,102     |583       |一德期货      |4,394     |59        
6     |徽商期货      |13,538      |-5,427    |永安期货      |4,075     |58        |海通期货      |4,249     |796       
7     |华安期货      |12,404      |-5,520    |国泰君安      |3,513     |-223      |徽商期货      |4,181     |-1        
8     |东吴期货      |10,789      |-4,836    |华泰期货      |3,406     |-442      |光大期货      |4,008     |-259      
9     |华闻期货      |9,862       |-6,519    |东证期货      |3,406     |-303      |招金期货      |3,782     |929       
10    |新湖期货      |8,680       |1,047     |华安期货      |3,248     |45        |国泰君安      |3,751     |428       
11    |国泰君安      |8,589       |-2,362    |银河期货      |3,041     |-429      |宏源期货      |3,692     |497       
12    |方正中期      |7,806       |-3,777    |海通期货      |3,037     |8         |海证期货      |3,636     |1,002     
13    |中信建投      |6,493       |-546      |东吴期货      |2,650     |-65       |中辉期货      |3,449     |82        
14    |鲁证期货      |6,349       |215       |东方财富      |2,646     |185       |上海中期      |3,385     |-97       
15    |永安期货      |6,078       |-4,726    |瑞达期货      |2,589     |240       |华泰期货      |3,311     |-153      
16    |东方财富      |5,835       |-1,453    |广发期货      |2,552     |70        |安粮期货      |2,788     |-393      
17    |安粮期货      |5,579       |-2,570    |南华期货      |2,527     |137       |国投安信期货  |2,690     |358       
18    |银河期货      |5,414       |-2,347    |中信建投      |2,401     |87        |东吴期货      |2,470     |408       
19    |东航期货      |5,224       |-2,440    |中大期货      |2,098     |27        |申银万国      |2,354     |131       
20    |广发期货      |4,925       |-1,183    |新纪元期货    |2,093     |459       |方正中期      |1,999     |-38       
合计  |              |240825      |-83854    |                |69003     |702       |              |84411     |3338      

品种：棉花CF              日期： 2020-03-10
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |126,818     |10,450    |永安期货      |62,115    |-4,169    |东证期货      |53,710    |-5,112    
2     |东证期货      |50,201      |5,242     |中粮期货      |37,223    |-143      |中信期货      |45,038    |-1,272    
3     |华泰期货      |48,394      |-40,207   |中信期货      |33,924    |-2,432    |国投安信期货  |42,620    |972       
4     |中辉期货      |37,107      |-12,627   |国投安信期货  |26,964    |-933      |永安期货      |41,341    |4,221     
5     |光大期货      |36,679      |-2,613    |银河期货      |26,613    |2,499     |中粮期货      |36,808    |-170      
6     |中信期货      |32,522      |4,927     |中国国际      |23,435    |580       |银河期货      |31,245    |1,327     
7     |东海期货      |30,229      |6,726     |光大期货      |22,483    |1,884     |国贸期货      |22,750    |238       
8     |华闻期货      |27,821      |7,420     |东证期货      |19,342    |311       |大有期货      |21,769    |840       
9     |永安期货      |24,472      |-5,900    |华泰期货      |18,726    |1,261     |长江期货      |21,119    |-1,532    
10    |国泰君安      |20,044      |-4,434    |兴证期货      |15,419    |2,581     |国泰君安      |19,551    |2,948     
11    |华金期货      |19,850      |-288      |海通期货      |15,411    |2,656     |兴证期货      |19,272    |89        
12    |华西期货      |18,515      |5,502     |大有期货      |13,752    |428       |华泰期货      |17,043    |495       
13    |宏源期货      |17,880      |-842      |广发期货      |13,613    |417       |华信期货      |16,396    |-148      
14    |兴证期货      |17,458      |-480      |方正中期      |13,486    |-308      |南华期货      |16,158    |-271      
15    |新湖期货      |17,360      |5,939     |长江期货      |12,743    |686       |中国国际      |15,326    |305       
16    |华安期货      |15,533      |-5,630    |南华期货      |12,730    |70        |海通期货      |14,597    |-1,162    
17    |银河期货      |15,394      |-2,455    |浙商期货      |11,706    |-152      |宏源期货      |13,571    |-378      
18    |广发期货      |14,119      |-70,560   |国泰君安      |11,091    |-958      |中大期货      |13,047    |208       
19    |徽商期货      |13,919      |-13,655   |五矿经易期货  |10,969    |-278      |光大期货      |12,382    |1,665     
20    |国投安信期货  |12,819      |-9,150    |大越期货      |9,721     |-247      |建信期货      |10,540    |-72       
合计  |              |597134      |-122635   |                |411466    |3753      |              |484283    |3191      

品种：红枣CJ              日期： 2020-03-10
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |3,183       |-4,578    |国泰君安      |2,649     |-412      |中信期货      |2,013     |-115      
2     |中信期货      |2,960       |-1,334    |中信期货      |2,363     |11        |华泰期货      |1,662     |-123      
3     |新湖期货      |1,809       |19        |华泰期货      |1,646     |-143      |东航期货      |923       |-19       
4     |国泰君安      |1,460       |-1,259    |华金期货      |842       |23        |永安期货      |829       |23        
5     |东证期货      |1,438       |-2,934    |新湖期货      |825       |8         |鲁证期货      |810       |71        
6     |华安期货      |1,393       |-778      |永安期货      |787       |-36       |东证期货      |748       |-203      
7     |光大期货      |1,335       |-1,505    |银河期货      |750       |122       |银河期货      |739       |-50       
8     |华泰期货      |982         |-723      |东吴期货      |749       |-285      |华西期货      |668       |-22       
9     |徽商期货      |921         |-1,166    |广州期货      |671       |53        |宏源期货      |623       |-52       
10    |长江期货      |850         |154       |海证期货      |665       |-25       |东吴期货      |616       |-19       
11    |冠通期货      |774         |-414      |东航期货      |616       |34        |新湖期货      |616       |-11       
12    |东吴期货      |686         |-614      |鲁证期货      |611       |-125      |冠通期货      |611       |39        
13    |安粮期货      |681         |-248      |云财富期货    |574       |-40       |兴证期货      |589       |-38       
14    |华西期货      |647         |191       |冠通期货      |561       |5         |华金期货      |559       |12        
15    |华闻期货      |629         |-920      |华西期货      |521       |-55       |华安期货      |556       |41        
16    |兴证期货      |612         |-1,410    |兴证期货      |496       |-4        |国富期货      |551       |86        
17    |中信建投      |571         |-49       |五矿经易期货  |467       |21        |方正中期      |516       |13        
18    |平安期货      |534         |242       |金鹏期货      |458       |7         |上海中期      |443       |-22       
19    |东航期货      |529         |-626      |中财期货      |454       |-210      |国信期货      |432       |15        
20    |上海大陆      |521         |-444      |国富期货      |452       |-82       |国投安信期货  |420       |-18       
合计  |              |22515       |-18396    |                |17157     |-1133     |              |14924     |-392      

品种：棉纱CY              日期： 2020-03-10
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |5,205       |1,151     |东证期货      |1,480     |-38       |东证期货      |1,412     |-76       
2     |长江期货      |1,916       |1,280     |国投安信期货  |1,162     |14        |国投安信期货  |1,107     |14        
3     |宏源期货      |1,762       |867       |永安期货      |606       |44        |永安期货      |636       |-2        
4     |中粮期货      |1,553       |822       |五矿经易期货  |537       |74        |中信期货      |532       |-9        
5     |新湖期货      |1,466       |592       |长江期货      |518       |44        |长江期货      |512       |46        
6     |浙商期货      |1,109       |103       |中信期货      |516       |-25       |五矿经易期货  |473       |76        
7     |上海中期      |1,052       |191       |南华期货      |421       |64        |宏源期货      |443       |72        
8     |东证期货      |794         |63        |宏源期货      |408       |60        |南华期货      |442       |9         
9     |瑞达期货      |760         |304       |弘业期货      |395       |-7        |弘业期货      |394       |-10       
10    |中信期货      |622         |-758      |瑞达期货      |379       |13        |上海中期      |364       |5         
