					郑州商品交易所期货持仓排名表(2020-03-04)

品种：苹果AP              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
19    |方正中期      |471         |-787      |中辉期货      |535       |-48       |华金期货      |541       |-10       
20    |兴证期货      |460         |-518      |华闻期货      |510       |-7        |兴证期货      |491       |-234      
合计  |              |26692       |-8229     |                |18506     |-267      |              |16568     |-196      

品种：棉纱CY              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |7,077       |-1,869    |东证期货      |1,836     |-122      |东证期货      |1,803     |-126      
2     |中信期货      |2,427       |3         |国投安信期货  |1,131     |7         |国投安信期货  |1,074     |7         
3     |浙商期货      |2,181       |233       |永安期货      |616       |-3        |永安期货      |623       |1         
4     |上海中期      |2,018       |363       |中信期货      |576       |3         |中信期货      |536       |0         
5     |中粮期货      |1,723       |206       |南华期货      |561       |-112      |长江期货      |475       |9         
6     |宏源期货      |1,647       |39        |长江期货      |491       |13        |南华期货      |442       |4         
7     |新湖期货      |1,452       |341       |五矿经易期货  |472       |0         |五矿经易期货  |433       |0         
8     |长江期货      |1,354       |-56       |弘业期货      |415       |3         |弘业期货      |403       |3         
9     |瑞达期货      |1,190       |138       |宏源期货      |393       |52        |宏源期货      |391       |47        
10    |华闻期货      |978         |505       |瑞达期货      |369       |-2        |上海中期      |365       |4         
11    |国投安信期货  |890         |-101      |上海中期      |365       |0         |瑞达期货      |348       |4         
12    |弘业期货      |884         |-337      |大地期货      |346       |-6        |大地期货      |344       |-11       
13    |东证期货      |862         |-352      |中粮期货      |342       |-8        |中粮期货      |333       |-7        
14    |五矿经易期货  |858         |-506      |华西期货      |244       |2         |华西期货      |240       |2         
15    |大地期货      |839         |-32       |中财期货      |154       |132       |国贸期货      |233       |0         
16    |永安期货      |470         |-504      |上海大陆      |103       |0         |广发期货      |205       |0         
17    |南华期货      |442         |-608      |长安期货      |77        |0         |摩根大通      |158       |0         
18    |安粮期货      |404         |-409      |新湖期货      |59        |43        |中国国际      |107       |23        
19    |华西期货      |206         |-124      |浙商期货      |54        |7         |中原期货      |79        |-2        
20    |中财期货      |140         |107       |徽商期货      |51        |-8        |海通期货      |71        |7         
合计  |              |28042       |-2963     |                |8655      |1         |              |8663      |-35       

品种：玻璃FG              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |26,277      |-9,125    |永安期货      |40,341    |0         |永安期货      |13,809    |615       
2     |光大期货      |16,022      |-1,622    |申银万国      |14,918    |9         |中信期货      |9,622     |811       
3     |中信期货      |15,505      |6,323     |中信期货      |12,848    |-5,386    |长江期货      |7,899     |151       
4     |华信期货      |10,781      |2,549     |东证期货      |10,218    |-364      |华泰期货      |7,398     |503       
5     |新湖期货      |10,513      |-1,381    |国投安信期货  |9,710     |-53       |东证期货      |7,304     |277       
6     |华泰期货      |7,269       |-5,484    |方正中期      |6,403     |510       |方正中期      |7,243     |388       
7     |方正中期      |7,180       |197       |新湖期货      |6,277     |-75       |招商期货      |7,027     |994       
8     |兴证期货      |6,011       |-2,063    |兴证期货      |6,261     |-450      |银河期货      |6,188     |-24       
9     |永安期货      |4,819       |-6,417    |南华期货      |5,896     |-156      |国泰君安      |5,954     |317       
10    |徽商期货      |3,830       |-916      |国泰君安      |5,876     |-155      |新湖期货      |5,946     |-112      
11    |华安期货      |3,813       |-1,703    |招商期货      |5,776     |-171      |光大期货      |5,798     |147       
12    |海通期货      |3,611       |-1,974    |光大期货      |4,651     |81        |申银万国      |5,414     |644       
13    |国泰君安      |3,578       |-478      |徽商期货      |4,638     |209       |国投安信期货  |5,086     |-60       
14    |东吴期货      |3,450       |-451      |东吴期货      |4,480     |181       |美尔雅        |4,890     |50        
15    |云晨期货      |3,047       |-46       |海通期货      |4,257     |117       |中信建投      |4,734     |341       
16    |建信期货      |2,865       |-769      |浙商期货      |4,111     |-49       |国元期货      |4,677     |-214      
17    |东方财富      |2,686       |-772      |建信期货      |3,847     |1,392     |一德期货      |4,570     |264       
18    |金瑞期货      |2,659       |-900      |美尔雅        |3,622     |60        |徽商期货      |4,420     |-27       
19    |中辉期货      |2,584       |603       |弘业期货      |3,608     |-330      |东吴期货      |4,410     |-31       
20    |东航期货      |2,576       |820       |华安期货      |3,583     |104       |中国国际      |3,999     |100       
合计  |              |139076      |-23609    |                |161321    |-4526     |              |126388    |5134      

品种：粳稻JR              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |方正中期      |33          |-19       |徽商期货      |41        |-9        |天风期货      |349       |0         
2     |华泰期货      |20          |20        |永安期货      |39        |0         |华安期货      |56        |5         
3     |徽商期货      |15          |14        |方正中期      |38        |6         |方正中期      |14        |-1        
4     |弘业期货      |11          |-2        |国海良时      |36        |-1        |弘业期货      |10        |-1        
5     |华安期货      |6           |-2        |中信期货      |31        |0         |国富期货      |6         |0         
6     |华联期货      |4           |4         |华融期货      |22        |2         |长江期货      |5         |2         
7     |上海大陆      |2           |-2        |华安期货      |21        |-1        |国泰君安      |5         |0         
8     |格林大华期货  |2           |2         |新纪元期货    |18        |0         |平安期货      |2         |0         
9     |中粮期货      |2           |0         |首创京都期货  |15        |0         |华泰期货      |1         |0         
10    |长江期货      |2           |1         |山西三立      |13        |0         |光大期货      |1         |0         
11    |华融期货      |2           |2         |国元期货      |12        |0         |中电投先融    |1         |0         
12    |东证期货      |2           |2         |国金期货      |10        |0         |新纪元期货    |0         |0         
13    |信达期货      |2           |0         |中粮期货      |9         |-2        |上海大陆      |0         |0         
14    |东航期货      |2           |-8        |国泰君安      |9         |0         |国投安信期货  |0         |0         
15    |宏源期货      |2           |1         |华泰期货      |7         |6         |招商期货      |0         |0         
16    |招商期货      |1           |1         |海通期货      |7         |0         |格林大华期货  |0         |0         
