					郑州商品交易所期货持仓排名表(2020-02-19)

品种：苹果AP              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
20    |新纪元期货    |318         |70        |方正中期      |627       |-36       |南华期货      |655       |-18       
合计  |              |15981       |-2781     |                |23280     |-43       |              |20242     |-346      

品种：棉纱CY              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |3,704       |-2,172    |东证期货      |1,929     |5         |东证期货      |1,903     |1         
2     |中信期货      |1,576       |-711      |国投安信期货  |1,038     |-12       |国投安信期货  |1,004     |-1        
3     |中粮期货      |1,278       |-2        |永安期货      |574       |-3        |永安期货      |578       |2         
4     |浙商期货      |1,274       |-579      |中信期货      |539       |-13       |中信期货      |513       |9         
5     |上海中期      |1,125       |342       |五矿经易期货  |513       |68        |长江期货      |452       |-13       
6     |弘业期货      |868         |-312      |长江期货      |470       |-12       |五矿经易期货  |433       |68        
7     |新湖期货      |850         |-995      |上海中期      |405       |40        |华闻期货      |421       |0         
8     |宏源期货      |748         |-1,181    |华闻期货      |400       |0         |上海中期      |401       |45        
9     |长江期货      |723         |-1,217    |弘业期货      |394       |-23       |弘业期货      |390       |-19       
10    |五矿经易期货  |586         |-321      |瑞达期货      |375       |17        |宏源期货      |388       |2         
11    |瑞达期货      |523         |-374      |南华期货      |370       |6         |瑞达期货      |359       |-2        
12    |国投安信期货  |517         |-215      |大地期货      |354       |3         |大地期货      |351       |3         
13    |东证期货      |372         |-778      |宏源期货      |351       |-6        |南华期货      |350       |6         
14    |安粮期货      |369         |-248      |中粮期货      |347       |2         |中粮期货      |340       |0         
15    |华泰期货      |345         |255       |华西期货      |249       |4         |国贸期货      |310       |0         
16    |广发期货      |329         |-238      |徽商期货      |126       |8         |天风期货      |300       |0         
17    |大地期货      |310         |-463      |浙商期货      |80        |2         |华西期货      |243       |0         
18    |永安期货      |295         |-200      |江苏东华      |74        |74        |摩根大通      |158       |0         
19    |华西期货      |186         |-99       |上海东亚      |67        |44        |广发期货      |107       |-9        
20    |南华期货      |170         |-302      |华泰期货      |64        |4         |海通期货      |68        |0         
合计  |              |16148       |-9810     |                |8719      |208       |              |9069      |92        

品种：玻璃FG              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |13,721      |-7,821    |永安期货      |42,476    |-102      |银河期货      |12,833    |-30       
2     |光大期货      |8,236       |-3,421    |中信期货      |19,631    |-227      |永安期货      |12,158    |-313      
3     |方正中期      |6,548       |1,929     |申银万国      |12,873    |19        |中信期货      |11,260    |-289      
4     |新湖期货      |5,195       |-1,001    |兴证期货      |10,185    |271       |兴证期货      |8,903     |-89       
5     |东吴期货      |4,374       |-4,256    |国投安信期货  |9,229     |-108      |徽商期货      |8,150     |-268      
6     |华泰期货      |3,521       |-3,283    |方正中期      |8,807     |-1,789    |方正中期      |6,749     |-749      
7     |中信期货      |3,432       |-2,994    |南华期货      |7,296     |-43       |东吴期货      |6,264     |278       
8     |申银万国      |3,199       |1,453     |海通期货      |6,671     |34        |长江期货      |6,179     |-109      
9     |华信期货      |3,186       |-4,613    |东证期货      |6,238     |-125      |新湖期货      |5,710     |-66       
10    |兴证期货      |2,896       |-1,120    |招商期货      |6,176     |-532      |国投安信期货  |5,616     |-278      
11    |永安期货      |2,767       |-2,306    |新湖期货      |5,665     |95        |光大期货      |5,572     |-53       
12    |建信期货      |2,549       |169       |弘业期货      |5,605     |-507      |东证期货      |5,485     |-2,604    
