交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	IF2006                        	期货公司	34268	-7202	28654	-1205	28654	-1205			
20200302	IF2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	IF2003                        	1	中信期货	18673	-2014	中信期货	11444	-299	中信期货	9406	-714
20200302	IF2003                        	2	国泰君安	14348	-1795	国泰君安	9407	246	上海东证	8864	-421
20200302	IF2003                        	3	海通期货	12885	-2061	海通期货	6863	-106	海通期货	7670	171
20200302	IF2003                        	4	银河期货	7824	707	中金期货	6225	-60	国泰君安	4981	50
20200302	IF2003                        	5	华泰期货	7713	-1220	上海东证	3743	-282	申银万国	4948	54
20200302	IF2003                        	6	东兴期货	7644	1450	华泰期货	3707	-88	华泰期货	4276	-249
20200302	IF2003                        	7	上海东证	6919	-1577	广发期货	3533	-126	银河期货	3393	-266
20200302	IF2003                        	8	兴证期货	6916	-1172	申银万国	2973	227	国富期货	2864	145
20200302	IF2003                        	9	五矿经易	6248	-425	永安期货	2886	94	广发期货	2463	-237
20200302	IF2003                        	10	国信期货	6243	-669	银河期货	2309	-116	兴证期货	2399	-494
20200302	IF2003                        	11	国投安信	5848	224	兴证期货	2236	-224	五矿经易	2178	-125
20200302	IF2003                        	12	方正中期	5515	-400	东兴期货	1910	-102	国信期货	2177	-311
20200302	IF2003                        	13	广发期货	5375	-1572	国投安信	1896	-293	永安期货	1919	-21
20200302	IF2003                        	14	申银万国	5007	-1223	五矿经易	1615	-503	东兴期货	1881	-238
20200302	IF2003                        	15	永安期货	4827	-1575	国信期货	1578	-124	光大期货	1821	-226
20200302	IF2003                        	16	光大期货	4773	-106	方正中期	1539	36	方正中期	1818	31
20200302	IF2003                        	17	西部期货	4257	-461	中融汇信	1398	386	招商期货	1801	2
20200302	IF2003                        	18	招商期货	3598	-1002	中信建投	1378	-147	国投安信	1760	-139
20200302	IF2003                        	19	德盛期货	3453	-599	瑞银期货	1341	35	中信建投	1425	-142
20200302	IF2003                        	20	上海中期	3364	-56	南华期货	1316	-12	南华期货	1232	136
20200302	IF2006                        	1	中信期货	3791	-143	中信期货	3276	107	上海东证	4207	184
20200302	IF2006                        	2	国泰君安	1893	-84	东吴期货	1764	77	中信期货	3187	394
