交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200312	IF2003                        	期货公司	214886	12520	89335	-358	89335	-358			
20200312	IF2003                        	非期货公司	0	0	0	0	0	0			
20200312	IF2004                        	期货公司	24116	9796	16519	3794	16519	3794			
20200312	IF2004                        	非期货公司	0	0	0	0	0	0			
20200312	IF2006                        	期货公司	35978	5034	32452	-473	32452	-473			
20200312	IF2006                        	非期货公司	0	0	0	0	0	0			
20200312	IF2009                        	期货公司	6622	542	11505	24	11505	24			
20200312	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200312	IF2003                        	1	中信期货	17954	497	国泰君安	8734	1028	中信期货	9975	90
20200312	IF2003                        	2	国泰君安	14255	13	中信期货	8058	-870	上海东证	6581	-181
20200312	IF2003                        	3	海通期货	12435	203	海通期货	6566	571	申银万国	5182	384
20200312	IF2003                        	4	华泰期货	7681	932	中金期货	5696	-135	海通期货	4762	230
20200312	IF2003                        	5	兴证期货	7157	-99	银河期货	3219	-126	国泰君安	4719	-259
20200312	IF2003                        	6	东兴期货	7077	378	上海东证	3060	35	华泰期货	4005	-54
20200312	IF2003                        	7	银河期货	7037	574	华泰期货	3049	-117	国富期货	3545	-614
20200312	IF2003                        	8	上海东证	6746	528	广发期货	2995	234	银河期货	3361	277
20200312	IF2003                        	9	广发期货	6442	1303	兴证期货	2409	273	广发期货	2373	296
20200312	IF2003                        	10	方正中期	5628	254	瑞银期货	2387	548	兴证期货	2315	-50
20200312	IF2003                        	11	国信期货	5446	745	永安期货	2367	-192	永安期货	2143	248
20200312	IF2003                        	12	五矿经易	5376	666	申银万国	2229	241	国信期货	1946	-170
20200312	IF2003                        	13	申银万国	5187	233	五矿经易	1782	-3	东兴期货	1763	-557
20200312	IF2003                        	14	国投安信	5120	637	方正中期	1564	101	光大期货	1729	69
20200312	IF2003                        	15	西部期货	4995	703	东兴期货	1513	-570	国投安信	1634	52
20200312	IF2003                        	16	光大期货	4256	-46	国投安信	1448	26	方正中期	1621	21
20200312	IF2003                        	17	招商期货	4153	855	光大期货	1392	-99	五矿经易	1526	-237
20200312	IF2003                        	18	永安期货	4042	458	国信期货	1348	-62	中信建投	1361	-125
20200312	IF2003                        	19	海证期货	3702	288	西部期货	1344	-35	西部期货	1256	-80
20200312	IF2003                        	20	中信建投	3552	320	中信建投	1296	-167	招商期货	1129	-56
20200312	IF2004                        	1	中信期货	2280	490	海通期货	1959	363	中信期货	2283	658
20200312	IF2004                        	2	上海东证	1933	590	中信期货	993	68	上海东证	2063	90
20200312	IF2004                        	3	华西期货	1253	339	国泰君安	854	312	国信期货	1450	213
20200312	IF2004                        	4	国信期货	1151	460	广发期货	849	370	海通期货	980	232
20200312	IF2004                        	5	海通期货	1049	461	永安期货	655	33	银河期货	853	249
20200312	IF2004                        	6	西部期货	945	617	华泰期货	612	83	广发期货	708	15
20200312	IF2004                        	7	广发期货	849	401	东兴期货	608	93	华西期货	592	216
20200312	IF2004                        	8	华泰期货	784	435	上海东证	596	85	永安期货	471	142
20200312	IF2004                        	9	国泰君安	763	484	宝城期货	582	46	兴证期货	450	182
20200312	IF2004                        	10	银河期货	695	483	大越期货	510	2	华泰期货	446	-191
20200312	IF2004                        	11	兴证期货	677	460	国信期货	485	302	中金期货	350	13
20200312	IF2004                        	12	光大期货	617	114	五矿经易	464	3	西部期货	322	85
20200312	IF2004                        	13	五矿经易	560	307	华西期货	464	263	恒泰期货	304	48
20200312	IF2004                        	14	华闻期货	471	188	银河期货	447	214	国泰君安	294	73
20200312	IF2004                        	15	申银万国	459	184	一德期货	416	-1	光大期货	265	88
20200312	IF2004                        	16	国投安信	445	176	西南期货	415	294	海证期货	244	221
20200312	IF2004                        	17	中信建投	433	259	天风期货	410	6	申银万国	239	116
20200312	IF2004                        	18	南华期货	400	67	西部期货	347	92	中信建投	227	35
20200312	IF2004                        	19	新湖期货	373	7	浙商期货	309	8	中银国际	195	69
20200312	IF2004                        	20	永安期货	367	180	国富期货	295	118	招商期货	188	96
20200312	IF2006                        	1	中信期货	4527	291	中信期货	3084	-403	上海东证	6214	-96
20200312	IF2006                        	2	国泰君安	2055	358	上海东证	1895	-101	中信期货	3311	-142
20200312	IF2006                        	3	上海东证	1735	-476	华泰期货	1458	172	平安期货	2281	-136
20200312	IF2006                        	4	国投安信	1549	679	国投安信	1402	115	国泰君安	1861	-15
20200312	IF2006                        	5	西部期货	1402	421	一德期货	1309	6	华泰期货	1527	-3
20200312	IF2006                        	6	国信期货	1319	243	浙商期货	1130	-57	广发期货	1173	-24
20200312	IF2006                        	7	华西期货	1297	3	国泰君安	1118	-52	海通期货	1106	-11
20200312	IF2006                        	8	兴证期货	1272	220	广发期货	1053	111	中金期货	806	470
20200312	IF2006                        	9	华泰期货	1135	261	大地期货	1010	-6	银河期货	795	4
20200312	IF2006                        	10	海通期货	963	251	申银万国	987	102	申银万国	794	0
20200312	IF2006                        	11	光大期货	916	18	大越期货	962	17	国投安信	778	62
20200312	IF2006                        	12	银河期货	886	-83	银河期货	940	26	国信期货	715	99
20200312	IF2006                        	13	东吴期货	873	679	永安期货	930	27	光大期货	656	-8
20200312	IF2006                        	14	南华期货	665	146	五矿经易	746	-14	国富期货	654	-8
20200312	IF2006                        	15	招商期货	628	-54	海通期货	673	62	永安期货	651	-49
20200312	IF2006                        	16	方正中期	563	37	中粮期货	619	58	宝城期货	641	-36
20200312	IF2006                        	17	中信建投	553	-95	国信期货	619	120	西部期货	598	276
20200312	IF2006                        	18	华闻期货	553	-45	光大期货	617	16	中信建投	478	-94
20200312	IF2006                        	19	永安期货	550	-13	东吴期货	589	-570	兴证期货	459	-77
20200312	IF2006                        	20	广发期货	549	104	鲁证期货	585	9	招商期货	459	125
20200312	IF2009                        	1	上海东证	985	-188	东吴期货	2134	8	中金期货	4534	285
20200312	IF2009                        	2	中信期货	439	-71	中信期货	1408	103	华泰期货	983	22
20200312	IF2009                        	3	海通期货	427	101	国泰君安	710	60	瑞银期货	950	3
20200312	IF2009                        	4	华西期货	324	-6	上海东证	494	-41	国富期货	624	-9
20200312	IF2009                        	5	华泰期货	297	74	银河期货	474	12	银河期货	546	17
20200312	IF2009                        	6	中金期货	285	5	华泰期货	426	47	平安期货	381	0
20200312	IF2009                        	7	西部期货	214	35	兴证期货	317	28	中信期货	380	-14
20200312	IF2009                        	8	国泰君安	178	52	广发期货	304	11	上海东证	348	-62
20200312	IF2009                        	9	五矿经易	169	-2	海通期货	285	-85	国泰君安	342	2
20200312	IF2009                        	10	华闻期货	162	81	中信建投	273	8	乾坤期货	301	0
20200312	IF2009                        	11	东兴期货	161	-151	国投安信	230	5	海通期货	266	-62
20200312	IF2009                        	12	兴证期货	159	55	招商期货	221	2	申银万国	219	5
20200312	IF2009                        	13	国信期货	146	-23	中粮期货	193	10	光大期货	193	-42
20200312	IF2009                        	14	光大期货	133	-23	方正中期	176	15	中投天琪	120	0
20200312	IF2009                        	15	银河期货	133	2	光大期货	172	-45	广发期货	119	-2
20200312	IF2009                        	16	国富期货	118	-31	申银万国	159	9	中信建投	105	-1
20200312	IF2009                        	17	国海良时	115	71	鲁证期货	155	-6	永安期货	102	8
20200312	IF2009                        	18	国投安信	110	82	国信期货	151	23	西部期货	81	-43
20200312	IF2009                        	19	上海中期	104	-26	长江期货	139	55	鲁证期货	79	4
20200312	IF2009                        	20	华联期货	98	96	永安期货	135	5	国投安信	74	27
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200312	IC2003                        	期货公司	238948	5876	105274	3963	105274	3963			
20200312	IC2003                        	非期货公司	0	0	0	0	0	0			
20200312	IC2004                        	期货公司	30640	11904	20475	4299	20475	4299			
20200312	IC2004                        	非期货公司	0	0	0	0	0	0			
20200312	IC2006                        	期货公司	45470	856	49878	-512	49878	-512			
20200312	IC2006                        	非期货公司	0	0	0	0	0	0			
20200312	IC2009                        	期货公司	23978	4282	26948	657	26948	657			
20200312	IC2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200312	IC2003                        	1	中信期货	19919	-657	中信期货	7813	454	中信期货	13969	483
20200312	IC2003                        	2	国泰君安	17853	-571	国泰君安	6520	1348	华泰期货	6631	-104
20200312	IC2003                        	3	海通期货	13901	-480	瑞银期货	4951	64	国泰君安	5728	-339
20200312	IC2003                        	4	华泰期货	11316	997	中金期货	4564	-79	海通期货	5471	-112
20200312	IC2003                        	5	东兴期货	8787	332	海通期货	4465	-199	上海东证	4651	100
20200312	IC2003                        	6	兴证期货	8546	932	永安期货	4206	-27	兴证期货	4083	695
20200312	IC2003                        	7	五矿经易	7393	-205	华泰期货	4132	-166	申银万国	4001	104
20200312	IC2003                        	8	永安期货	6973	1506	国投安信	3777	-38	永安期货	3963	210
20200312	IC2003                        	9	上海东证	6075	-183	一德期货	3030	-41	银河期货	3301	36
20200312	IC2003                        	10	国投安信	5877	-626	东兴期货	2834	1189	国投安信	3085	-323
