交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200303	TF2003                        	1	第一创业	59	49	永安期货	1453	-35	格林大华	1149	-6
20200303	TF2003                        	2	华泰期货	50	40	平安期货	700	0	国金期货	510	30
20200303	TF2003                        	3	永安期货	47	5	银河期货	40	0	第一创业	510	-59
20200303	TF2003                        	4	国金期货	30	0	南华期货	0	0	南华期货	10	0
20200303	TF2003                        	5	中信期货	24	-12	华泰期货	0	0	中信期货	10	0
20200303	TF2003                        	6	天风期货	20	20	中信期货	0	0	上海东证	3	0
20200303	TF2003                        	7	上海东证	10	-7	格林大华	0	0	银河期货	1	0
20200303	TF2003                        	8	格林大华	6	5	国金期货	0	0	永安期货	0	0
20200303	TF2003                        	9	南华期货	0	0	上海东证	0	0	华泰期货	0	0
20200303	TF2003                        	10	平安期货	0	0	天风期货	0	0	平安期货	0	0
20200303	TF2003                        	11	银河期货	0	-10	第一创业	0	0	天风期货	0	0
20200303	TF2006                        	1	上海东证	6443	-48	银河期货	3753	404	国泰君安	3860	547
20200303	TF2006                        	2	申银万国	2139	-208	和融期货	2550	-200	海通期货	2055	-5
20200303	TF2006                        	3	中信期货	1732	-380	平安期货	2539	44	广发期货	2044	-50
20200303	TF2006                        	4	国泰君安	1559	722	中信期货	2168	-17	上海东证	1935	40
20200303	TF2006                        	5	天风期货	1379	323	宏源期货	2040	-30	平安期货	1827	51
20200303	TF2006                        	6	永安期货	1181	-203	国投安信	1618	204	华西期货	1765	-50
20200303	TF2006                        	7	西部期货	972	44	上海东证	1223	-27	宝城期货	1714	760
20200303	TF2006                        	8	国金期货	869	-402	永安期货	1133	1	中信建投	1478	-154
20200303	TF2006                        	9	宝城期货	810	486	国泰君安	1053	260	鲁证期货	1032	121
20200303	TF2006                        	10	国投安信	768	-389	海通期货	1010	-36	渤海期货	997	0
20200303	TF2006                        	11	华泰期货	745	-236	华泰期货	824	4	永安期货	879	-30
20200303	TF2006                        	12	银河期货	727	325	方正中期	647	3	东海期货	863	-264
20200303	TF2006                        	13	海通期货	707	354	广发期货	567	99	国信期货	737	31
20200303	TF2006                        	14	上海中期	642	-167	西南期货	546	308	华泰期货	727	5
20200303	TF2006                        	15	南华期货	595	-116	中金期货	539	0	国投安信	563	300
20200303	TF2006                        	16	东海期货	531	162	天风期货	505	239	第一创业	551	-23
20200303	TF2006                        	17	西南期货	316	162	东吴期货	463	-8	兴证期货	526	-44
20200303	TF2006                        	18	第一创业	316	219	第一创业	413	163	浙商期货	510	-24
20200303	TF2006                        	19	国信期货	288	-87	渤海期货	383	-21	中信期货	440	-19
