交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200311	IF2003                        	期货公司	202366	-61234	89693	-4940	89693	-4940			
20200311	IF2003                        	非期货公司	0	0	0	0	0	0			
20200311	IF2004                        	期货公司	14320	-8112	12725	-401	12725	-401			
20200311	IF2004                        	非期货公司	0	0	0	0	0	0			
20200311	IF2006                        	期货公司	30944	-12684	32925	1136	32925	1136			
20200311	IF2006                        	非期货公司	0	0	0	0	0	0			
20200311	IF2009                        	期货公司	6080	-2678	11481	18	11481	18			
20200311	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200311	IF2003                        	1	中信期货	17457	-3350	中信期货	8928	-467	中信期货	9885	-360
20200311	IF2003                        	2	国泰君安	14242	-5546	国泰君安	7706	734	上海东证	6762	-393
20200311	IF2003                        	3	海通期货	12232	-3863	海通期货	5995	87	国泰君安	4978	-672
20200311	IF2003                        	4	兴证期货	7256	-966	中金期货	5831	167	申银万国	4798	-288
20200311	IF2003                        	5	华泰期货	6749	-2621	银河期货	3345	-202	海通期货	4532	-131
20200311	IF2003                        	6	东兴期货	6699	-1757	华泰期货	3166	-286	国富期货	4159	-154
20200311	IF2003                        	7	银河期货	6463	-2245	上海东证	3025	-585	华泰期货	4059	-281
20200311	IF2003                        	8	上海东证	6218	-1971	广发期货	2761	-354	银河期货	3084	-87
20200311	IF2003                        	9	方正中期	5374	-885	永安期货	2559	-515	兴证期货	2365	20
20200311	IF2003                        	10	广发期货	5139	-1453	兴证期货	2136	-354	东兴期货	2320	291
20200311	IF2003                        	11	申银万国	4954	-1128	东兴期货	2083	138	国信期货	2116	252
20200311	IF2003                        	12	五矿经易	4710	-1377	申银万国	1988	-352	广发期货	2077	-149
20200311	IF2003                        	13	国信期货	4701	-699	瑞银期货	1839	591	永安期货	1895	167
20200311	IF2003                        	14	国投安信	4483	-1063	五矿经易	1785	-47	五矿经易	1763	-69
20200311	IF2003                        	15	光大期货	4302	-722	光大期货	1491	-56	光大期货	1660	-54
20200311	IF2003                        	16	西部期货	4292	-690	中信建投	1463	-60	方正中期	1600	-122
20200311	IF2003                        	17	永安期货	3584	-2655	方正中期	1463	-218	国投安信	1582	-156
20200311	IF2003                        	18	海证期货	3414	-818	国投安信	1422	-163	中信建投	1486	52
20200311	IF2003                        	19	招商期货	3298	-1560	国信期货	1410	229	西部期货	1336	311
20200311	IF2003                        	20	中信建投	3232	-823	西部期货	1379	275	招商期货	1185	-94
20200311	IF2004                        	1	中信期货	1790	-318	海通期货	1596	-38	上海东证	1973	35
20200311	IF2004                        	2	上海东证	1343	-1025	中信期货	925	192	中信期货	1625	462
20200311	IF2004                        	3	华西期货	914	-76	永安期货	622	43	国信期货	1237	-61
20200311	IF2004                        	4	国信期货	691	-125	国泰君安	542	45	海通期货	748	-134
20200311	IF2004                        	5	海通期货	588	-536	宝城期货	536	-8	广发期货	693	145
20200311	IF2004                        	6	东兴期货	524	84	华泰期货	529	-34	华泰期货	637	-77
20200311	IF2004                        	7	光大期货	503	-144	东兴期货	515	-33	银河期货	604	2
20200311	IF2004                        	8	广发期货	448	-151	上海东证	511	-6	华西期货	376	-116
20200311	IF2004                        	9	新湖期货	366	-52	大越期货	508	3	中金期货	337	6
20200311	IF2004                        	10	华泰期货	349	-669	广发期货	479	119	永安期货	329	72
20200311	IF2004                        	11	南华期货	333	-160	五矿经易	461	-36	兴证期货	268	75
20200311	IF2004                        	12	西部期货	328	-514	一德期货	417	-5	恒泰期货	256	2
20200311	IF2004                        	13	华闻期货	283	-58	天风期货	404	0	西部期货	237	-87
