交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200310	IF2003                        	期货公司	263600	46726	94633	-2150	94633	-2150			
20200310	IF2003                        	非期货公司	0	0	0	0	0	0			
20200310	IF2004                        	期货公司	22432	7780	13126	3390	13126	3390			
20200310	IF2004                        	非期货公司	0	0	0	0	0	0			
20200310	IF2006                        	期货公司	43628	4904	31789	486	31789	486			
20200310	IF2006                        	非期货公司	0	0	0	0	0	0			
20200310	IF2009                        	期货公司	8758	1666	11463	809	11463	809			
20200310	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200310	IF2003                        	1	中信期货	20807	1863	中信期货	9395	-929	中信期货	10245	-150
20200310	IF2003                        	2	国泰君安	19788	5843	国泰君安	6972	-1813	上海东证	7155	-663
20200310	IF2003                        	3	海通期货	16095	3829	海通期货	5908	-620	国泰君安	5650	601
20200310	IF2003                        	4	华泰期货	9370	1927	中金期货	5664	-164	申银万国	5086	272
20200310	IF2003                        	5	银河期货	8708	537	上海东证	3610	6	海通期货	4663	-149
20200310	IF2003                        	6	东兴期货	8456	1136	银河期货	3547	102	华泰期货	4340	-149
20200310	IF2003                        	7	兴证期货	8222	1022	华泰期货	3452	29	国富期货	4313	716
20200310	IF2003                        	8	上海东证	8189	1501	广发期货	3115	376	银河期货	3171	-404
20200310	IF2003                        	9	广发期货	6592	1064	永安期货	3074	495	兴证期货	2345	-358
20200310	IF2003                        	10	方正中期	6259	885	兴证期货	2490	106	广发期货	2226	358
20200310	IF2003                        	11	永安期货	6239	1004	申银万国	2340	62	东兴期货	2029	-166
20200310	IF2003                        	12	五矿经易	6087	546	东兴期货	1945	-202	国信期货	1864	-307
20200310	IF2003                        	13	申银万国	6082	1143	五矿经易	1832	-173	五矿经易	1832	-286
20200310	IF2003                        	14	国投安信	5546	863	方正中期	1681	66	国投安信	1738	9
20200310	IF2003                        	15	国信期货	5400	591	国投安信	1585	37	永安期货	1728	-312
20200310	IF2003                        	16	光大期货	5024	905	光大期货	1547	338	方正中期	1722	19
20200310	IF2003                        	17	西部期货	4982	482	中信建投	1523	74	光大期货	1714	42
20200310	IF2003                        	18	招商期货	4858	1453	南华期货	1270	15	平安期货	1508	548
20200310	IF2003                        	19	海证期货	4232	640	瑞银期货	1248	-1000	中信建投	1434	-5
20200310	IF2003                        	20	德盛期货	4072	1046	国信期货	1181	-219	招商期货	1279	-132
20200310	IF2004                        	1	上海东证	2368	789	海通期货	1634	292	上海东证	1938	754
20200310	IF2004                        	2	中信期货	2108	668	中信期货	733	395	国信期货	1298	151
20200310	IF2004                        	3	海通期货	1124	407	永安期货	579	-18	中信期货	1163	141
20200310	IF2004                        	4	华泰期货	1018	414	华泰期货	563	131	海通期货	882	124
20200310	IF2004                        	5	华西期货	990	361	东兴期货	548	210	华泰期货	714	503
20200310	IF2004                        	6	西部期货	842	311	宝城期货	544	37	银河期货	602	-56
20200310	IF2004                        	7	国信期货	816	197	上海东证	517	142	广发期货	548	54
20200310	IF2004                        	8	光大期货	647	294	大越期货	505	203	华西期货	492	226
20200310	IF2004                        	9	国泰君安	611	73	国泰君安	497	144	中金期货	331	245
20200310	IF2004                        	10	广发期货	599	293	五矿经易	497	174	西部期货	324	153
20200310	IF2004                        	11	五矿经易	579	311	一德期货	422	-3	中银国际	290	146
20200310	IF2004                        	12	中金期货	500	478	天风期货	404	0	永安期货	257	53
20200310	IF2004                        	13	南华期货	493	138	华西期货	367	224	恒泰期货	254	-3
20200310	IF2004                        	14	上海中期	440	286	广发期货	360	19	国泰君安	229	-7
20200310	IF2004                        	15	东兴期货	440	164	西部期货	324	171	中信建投	225	56
20200310	IF2004                        	16	新湖期货	418	32	浙商期货	300	57	兴证期货	193	3
20200310	IF2004                        	17	兴证期货	376	137	国信期货	249	89	光大期货	192	41
20200310	IF2004                        	18	华闻期货	341	23	美尔雅  	227	207	五矿经易	191	123
20200310	IF2004                        	19	银河期货	335	-1	银河期货	223	43	上海中期	174	128
20200310	IF2004                        	20	中信建投	319	149	中投天琪	190	183	国投安信	152	59
20200310	IF2006                        	1	中信期货	4548	171	中信期货	2694	-221	上海东证	5935	1281
20200310	IF2006                        	2	上海东证	3196	1137	上海东证	1546	71	中信期货	3198	-77
20200310	IF2006                        	3	国泰君安	2534	74	一德期货	1310	20	平安期货	2322	-100
20200310	IF2006                        	4	华西期货	1742	536	国投安信	1286	119	国泰君安	1835	-183
20200310	IF2006                        	5	国信期货	1612	120	华泰期货	1248	-48	华泰期货	1468	-75
20200310	IF2006                        	6	兴证期货	1499	213	东吴期货	1189	20	广发期货	1117	99
20200310	IF2006                        	7	西部期货	1406	36	浙商期货	1134	51	海通期货	1066	-200
20200310	IF2006                        	8	华泰期货	1317	-149	国泰君安	1076	-93	申银万国	914	74
20200310	IF2006                        	9	海通期货	1220	-167	大地期货	982	16	银河期货	793	18
20200310	IF2006                        	10	国投安信	1198	376	大越期货	959	17	国投安信	685	51
20200310	IF2006                        	11	光大期货	1144	-25	广发期货	955	31	国富期货	683	-39
20200310	IF2006                        	12	上海中期	1082	467	银河期货	917	141	宝城期货	667	0
20200310	IF2006                        	13	银河期货	1073	124	申银万国	836	-297	永安期货	642	-13
20200310	IF2006                        	14	申银万国	887	172	五矿经易	770	7	光大期货	622	-44
