交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	IF2009                        	5	中信期货	517	78	海通期货	474	189	银河期货	534	-12
20200313	IF2009                        	6	五矿经易	456	287	兴证期货	419	102	海通期货	415	149
20200313	IF2009                        	7	国泰君安	413	235	银河期货	413	-61	上海东证	413	65
20200313	IF2009                        	8	西部期货	381	167	华泰期货	389	-37	平安期货	390	9
20200313	IF2009                        	9	华西期货	361	37	广发期货	319	15	中信期货	385	5
20200313	IF2009                        	10	东兴期货	277	116	五矿经易	277	191	国泰君安	350	8
20200313	IF2009                        	11	银河期货	273	140	中信建投	272	-1	乾坤期货	301	0
20200313	IF2009                        	12	兴证期货	235	76	光大期货	250	78	光大期货	265	72
20200313	IF2009                        	13	国信期货	231	85	招商期货	226	5	申银万国	208	-11
20200313	IF2009                        	14	光大期货	226	93	国投安信	214	-16	五矿经易	200	175
20200313	IF2009                        	15	申银万国	218	158	中粮期货	193	0	西部期货	194	113
20200313	IF2009                        	16	国富期货	181	63	永安期货	169	34	华西期货	128	69
20200313	IF2009                        	17	中信建投	180	119	西部期货	168	116	中投天琪	119	-1
20200313	IF2009                        	18	永安期货	177	120	方正中期	160	-16	东兴期货	118	97
20200313	IF2009                        	19	新世纪  	168	139	国信期货	158	7	中信建投	106	1
20200313	IF2009                        	20	广发期货	167	78	鲁证期货	147	-8	永安期货	93	-9
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	IC2003                        	期货公司	303804	64856	104696	-578	104696	-578			
20200313	IC2003                        	非期货公司	0	0	0	0	0	0			
20200313	IC2004                        	期货公司	41992	11352	22695	2220	22695	2220			
20200313	IC2004                        	非期货公司	0	0	0	0	0	0			
20200313	IC2006                        	期货公司	70132	24662	55943	6065	55943	6065			
20200313	IC2006                        	非期货公司	0	0	0	0	0	0			
20200313	IC2009                        	期货公司	30796	6818	27603	655	27603	655			
20200313	IC2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	IC2003                        	1	中信期货	24602	4683	中信期货	8018	205	中信期货	13168	-801
20200313	IC2003                        	2	国泰君安	22275	4422	国泰君安	6815	295	华泰期货	7120	489
20200313	IC2003                        	3	海通期货	17198	3297	海通期货	5469	1004	国泰君安	6302	574
20200313	IC2003                        	4	华泰期货	14418	3102	华泰期货	4699	567	海通期货	5145	-326
20200313	IC2003                        	5	东兴期货	10949	2162	永安期货	4533	327	上海东证	4968	317
20200313	IC2003                        	6	兴证期货	9832	1286	瑞银期货	4178	-773	申银万国	3932	-69
20200313	IC2003                        	7	永安期货	9090	2117	国投安信	3722	-55	银河期货	3692	391
20200313	IC2003                        	8	上海东证	8668	2593	中金期货	3198	-1366	永安期货	3410	-553
20200313	IC2003                        	9	五矿经易	8448	1055	银河期货	3196	598	兴证期货	3393	-690
20200313	IC2003                        	10	光大期货	7734	1879	方正中期	2909	132	国投安信	3011	-74
20200313	IC2003                        	11	方正中期	6918	1473	五矿经易	2871	258	东兴期货	2664	-257
20200313	IC2003                        	12	银河期货	6913	1547	东兴期货	2578	-256	光大期货	2641	316
20200313	IC2003                        	13	申银万国	6910	1886	上海东证	2456	-179	五矿经易	2206	194
20200313	IC2003                        	14	西部期货	6839	963	一德期货	2428	-602	方正中期	1872	8
20200313	IC2003                        	15	国投安信	6801	924	广发期货	2354	41	国信期货	1860	106
20200313	IC2003                        	16	中信建投	5934	1417	申银万国	2284	77	中信建投	1858	58
20200313	IC2003                        	17	广发期货	5657	1108	兴证期货	2230	-534	广发期货	1633	-206
20200313	IC2003                        	18	平安期货	5497	1655	光大期货	2038	134	招商期货	1597	73
20200313	IC2003                        	19	国信期货	4835	984	中信建投	1541	86	西部期货	1569	-596
20200313	IC2003                        	20	中融汇信	4683	389	西部期货	1503	-585	中金期货	1543	-77
20200313	IC2004                        	1	中信期货	4177	939	中信期货	2319	230	中信期货	4340	981
20200313	IC2004                        	2	国泰君安	2291	1665	华泰期货	1608	286	国泰君安	1483	405
20200313	IC2004                        	3	上海东证	1854	107	海通期货	1114	-58	华泰期货	1276	369
20200313	IC2004                        	4	华泰期货	1793	147	国富期货	1027	325	上海东证	1166	224
20200313	IC2004                        	5	华西期货	1761	328	广发期货	992	-196	兴证期货	924	316
20200313	IC2004                        	6	兴证期货	1681	1001	国泰君安	927	602	国投安信	921	73
20200313	IC2004                        	7	西部期货	1481	673	银河期货	785	273	永安期货	898	93
20200313	IC2004                        	8	海通期货	1480	259	兴证期货	689	291	东吴期货	817	202
20200313	IC2004                        	9	光大期货	1370	438	国投安信	660	35	广发期货	733	67
20200313	IC2004                        	10	五矿经易	1368	208	鲁证期货	630	80	海通期货	665	-332
20200313	IC2004                        	11	国信期货	1300	135	大地期货	621	16	银河期货	572	96
20200313	IC2004                        	12	银河期货	1159	419	东吴期货	598	38	国信期货	567	-65
20200313	IC2004                        	13	宏源期货	1130	262	上海东证	549	24	华西期货	541	-214
20200313	IC2004                        	14	东兴期货	1053	138	大越期货	532	28	光大期货	504	-186
20200313	IC2004                        	15	广发期货	937	-7	东兴期货	457	-244	中金期货	493	1
20200313	IC2004                        	16	国富期货	935	474	西部期货	450	178	西部期货	423	153
20200313	IC2004                        	17	华闻期货	909	221	宏源期货	439	106	申银万国	414	134
20200313	IC2004                        	18	国投安信	884	154	一德期货	428	-39	宏源期货	389	6
20200313	IC2004                        	19	东吴期货	878	91	瑞银期货	415	246	招商期货	338	-1
20200313	IC2004                        	20	南华期货	742	219	五矿经易	363	-71	五矿经易	332	5
20200313	IC2006                        	1	中信期货	7248	3195	中信期货	7793	964	华泰期货	9708	182
20200313	IC2006                        	2	上海东证	3482	1376	华泰期货	3113	-16	中信期货	7979	952
20200313	IC2006                        	3	国泰君安	3298	632	国泰君安	2991	489	永安期货	3485	258
20200313	IC2006                        	4	国信期货	2662	1358	上海东证	2587	224	海通期货	2815	22
20200313	IC2006                        	5	西部期货	2603	1107	中金期货	2501	115	国投安信	2435	149
20200313	IC2006                        	6	兴证期货	2415	572	一德期货	2042	697	银河期货	2189	61
20200313	IC2006                        	7	华西期货	2356	394	广发期货	1988	-70	上海东证	2157	-260
20200313	IC2006                        	8	光大期货	2344	638	国投安信	1910	46	国泰君安	1890	99
20200313	IC2006                        	9	国投安信	2157	651	永安期货	1886	407	兴证期货	1516	460
20200313	IC2006                        	10	海通期货	1954	399	国富期货	1852	-53	东吴期货	1377	364
20200313	IC2006                        	11	华泰期货	1934	243	海通期货	1734	-18	光大期货	1134	321
20200313	IC2006                        	12	永安期货	1667	932	五矿经易	1579	432	申银万国	1052	10
20200313	IC2006                        	13	银河期货	1657	822	银河期货	1511	-210	平安期货	1035	502
20200313	IC2006                        	14	华闻期货	1603	633	申银万国	1439	323	国信期货	1022	401
20200313	IC2006                        	15	东吴期货	1602	942	光大期货	1176	99	西部期货	896	350
20200313	IC2006                        	16	五矿经易	1540	683	兴证期货	1152	231	东兴期货	868	337
20200313	IC2006                        	17	东兴期货	1450	542	东吴期货	927	276	华西期货	839	369
20200313	IC2006                        	18	国富期货	1372	305	大地期货	906	102	南华期货	808	3
20200313	IC2006                        	19	宏源期货	1286	470	国信期货	857	313	国元期货	682	6
20200313	IC2006                        	20	方正中期	1277	375	华西期货	838	365	中融汇信	674	107
20200313	IC2009                        	1	上海东证	2542	1132	国泰君安	3134	436	华泰期货	4356	-124
20200313	IC2009                        	2	华西期货	1789	436	中信期货	2800	-66	国投安信	3141	33
20200313	IC2009                        	3	海通期货	1557	123	上海东证	2328	760	中信期货	2939	205
20200313	IC2009                        	4	国泰君安	1553	596	平安期货	1827	-128	东吴期货	2668	115
20200313	IC2009                        	5	中信期货	1501	467	海通期货	1374	-16	永安期货	1670	86
20200313	IC2009                        	6	五矿经易	1309	260	国富期货	1201	0	上海东证	1431	206
20200313	IC2009                        	7	平安期货	1179	369	华泰期货	926	-122	中金期货	1100	-100
20200313	IC2009                        	8	兴证期货	1128	267	银河期货	864	-51	海通期货	977	-143
20200313	IC2009                        	9	华泰期货	1074	215	光大期货	847	19	申银万国	745	258
20200313	IC2009                        	10	西部期货	1039	394	国投安信	758	126	兴证期货	701	146
20200313	IC2009                        	11	国信期货	1002	378	广发期货	674	-29	国泰君安	594	85
20200313	IC2009                        	12	光大期货	891	95	五矿经易	540	10	鲁证期货	590	-7
20200313	IC2009                        	13	宏源期货	778	330	永安期货	516	6	华西期货	497	58
20200313	IC2009                        	14	华闻期货	767	95	一德期货	512	0	国元期货	401	64
20200313	IC2009                        	15	国富期货	748	-331	华西期货	501	69	南华期货	384	-2
20200313	IC2009                        	16	申银万国	701	358	兴证期货	471	4	信达期货	353	2
20200313	IC2009                        	17	永安期货	696	338	申银万国	403	13	中信建投	352	2
20200313	IC2009                        	18	东吴期货	633	370	长江期货	376	-7	五矿经易	349	-113
20200313	IC2009                        	19	国投安信	581	-752	中信建投	371	-34	西部期货	342	159
20200313	IC2009                        	20	中信建投	528	247	国信期货	370	-21	浙商期货	319	-1
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	IH2003                        	期货公司	101312	28584	44688	4067	44688	4067			
20200313	IH2003                        	非期货公司	0	0	0	0	0	0			
20200313	IH2006                        	期货公司	23292	7254	17186	821	17186	821			
20200313	IH2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	IH2003                        	1	中信期货	9325	2071	国泰君安	5768	250	中信期货	5088	1103
20200313	IH2003                        	2	国泰君安	7649	3068	中信期货	3762	446	国投安信	3485	-416
20200313	IH2003                        	3	海通期货	6941	2372	海通期货	3276	611	华泰期货	3323	219
20200313	IH2003                        	4	华泰期货	4578	1369	永安期货	2216	-4	海通期货	3005	708
20200313	IH2003                        	5	兴证期货	4009	977	上海东证	1887	143	国泰君安	1904	-45
20200313	IH2003                        	6	西部期货	3784	1103	兴证期货	1808	463	上海东证	1877	146
20200313	IH2003                        	7	国投安信	3745	950	银河期货	1660	243	五矿经易	1705	1000
20200313	IH2003                        	8	五矿经易	3576	1230	中金期货	1532	302	银河期货	1630	372
20200313	IH2003                        	9	国信期货	3349	1131	华泰期货	1490	417	兴证期货	1516	144
20200313	IH2003                        	10	银河期货	3295	1169	国投安信	1210	-77	招商期货	1429	249
20200313	IH2003                        	11	方正中期	2616	58	申银万国	1193	-78	安粮期货	1257	-416
20200313	IH2003                        	12	南华期货	2463	1285	西部期货	1154	237	西部期货	1237	195
20200313	IH2003                        	13	申银万国	2361	493	南华期货	1128	-132	兴业期货	1105	-2
20200313	IH2003                        	14	永安期货	2342	677	广发期货	983	289	国富期货	1043	45
20200313	IH2003                        	15	上海东证	2165	410	华闻期货	762	321	南华期货	966	221
20200313	IH2003                        	16	华闻期货	2141	547	国元期货	721	-30	广发期货	937	162
20200313	IH2003                        	17	广发期货	2029	623	方正中期	704	-7	申银万国	782	-3
20200313	IH2003                        	18	中信建投	2014	762	国信期货	684	44	国信期货	775	-139
20200313	IH2003                        	19	鲁证期货	1932	347	五矿经易	678	-48	华闻期货	755	356
20200313	IH2003                        	20	招商期货	1802	226	鲁证期货	628	-90	光大期货	752	68
20200313	IH2006                        	1	国泰君安	1643	573	中信期货	2556	-29	瑞银期货	1900	-313
