交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200309	IF2003                        	期货公司	216874	36102	96783	8146	96783	8146			
20200309	IF2003                        	非期货公司	0	0	0	0	0	0			
20200309	IF2006                        	期货公司	38724	7962	31303	1945	31303	1945			
20200309	IF2006                        	非期货公司	0	0	0	0	0	0			
20200309	IF2009                        	期货公司	7092	1562	10654	-152	10654	-152			
20200309	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200309	IF2003                        	1	中信期货	18944	2921	中信期货	10324	797	中信期货	10395	1341
20200309	IF2003                        	2	国泰君安	13945	689	国泰君安	8785	901	上海东证	7818	-349
20200309	IF2003                        	3	海通期货	12266	1009	海通期货	6528	1124	国泰君安	5049	602
20200309	IF2003                        	4	银河期货	8171	2550	中金期货	5828	-122	申银万国	4814	-179
20200309	IF2003                        	5	华泰期货	7443	1188	上海东证	3604	-39	海通期货	4812	612
20200309	IF2003                        	6	东兴期货	7320	1539	银河期货	3445	595	华泰期货	4489	43
20200309	IF2003                        	7	兴证期货	7200	886	华泰期货	3423	-64	国富期货	3597	-134
20200309	IF2003                        	8	上海东证	6688	1392	广发期货	2739	-231	银河期货	3575	336
20200309	IF2003                        	9	五矿经易	5541	676	永安期货	2579	11	兴证期货	2703	320
20200309	IF2003                        	10	广发期货	5528	1567	兴证期货	2384	452	东兴期货	2195	407
20200309	IF2003                        	11	方正中期	5374	464	申银万国	2278	-166	国信期货	2171	365
20200309	IF2003                        	12	永安期货	5235	1370	瑞银期货	2248	642	五矿经易	2118	419
20200309	IF2003                        	13	申银万国	4939	624	东兴期货	2147	573	永安期货	2040	28
20200309	IF2003                        	14	国信期货	4809	1008	五矿经易	2005	418	广发期货	1868	-157
20200309	IF2003                        	15	国投安信	4683	1137	西部期货	1770	858	国投安信	1729	263
20200309	IF2003                        	16	西部期货	4500	1377	方正中期	1615	61	方正中期	1703	-9
20200309	IF2003                        	17	中信建投	4285	1018	国投安信	1548	48	光大期货	1672	82
20200309	IF2003                        	18	光大期货	4119	232	中信建投	1449	63	西部期货	1521	772
20200309	IF2003                        	19	海证期货	3592	1593	国信期货	1400	76	中信建投	1439	-42
20200309	IF2003                        	20	招商期货	3405	835	南华期货	1255	-51	招商期货	1411	284
20200309	IF2006                        	1	中信期货	4377	301	中信期货	2915	202	上海东证	4654	-237
20200309	IF2006                        	2	国泰君安	2460	533	上海东证	1475	128	中信期货	3275	-109
20200309	IF2006                        	3	上海东证	2059	506	华泰期货	1296	64	平安期货	2422	144
20200309	IF2006                        	4	国信期货	1492	460	一德期货	1290	-15	国泰君安	2018	69
20200309	IF2006                        	5	华泰期货	1466	546	国泰君安	1169	47	华泰期货	1543	72
20200309	IF2006                        	6	海通期货	1387	450	东吴期货	1169	-496	海通期货	1266	238
20200309	IF2006                        	7	西部期货	1370	420	国投安信	1167	43	广发期货	1018	204
20200309	IF2006                        	8	兴证期货	1286	167	申银万国	1133	349	申银万国	840	-34
20200309	IF2006                        	9	华西期货	1206	45	浙商期货	1083	-15	银河期货	775	-28
20200309	IF2006                        	10	光大期货	1169	344	大地期货	966	136	国信期货	742	271
20200309	IF2006                        	11	银河期货	949	-256	大越期货	942	-9	国富期货	722	399
20200309	IF2006                        	12	国富期货	885	432	广发期货	924	-89	宝城期货	667	32
20200309	IF2006                        	13	国投安信	822	-105	银河期货	776	39	光大期货	666	360
20200309	IF2006                        	14	东吴期货	741	531	五矿经易	763	-51	永安期货	655	39
20200309	IF2006                        	15	华闻期货	735	59	海通期货	758	49	国投安信	634	-123
20200309	IF2006                        	16	招商期货	717	-152	永安期货	725	42	兴证期货	571	174
20200309	IF2006                        	17	申银万国	715	91	光大期货	663	235	西部期货	493	92
20200309	IF2006                        	18	永安期货	707	123	国信期货	661	203	中信建投	487	71
20200309	IF2006                        	19	中信建投	686	228	中粮期货	639	-20	瑞银期货	438	0
20200309	IF2006                        	20	广发期货	671	326	东兴期货	572	88	建信期货	433	11
20200309	IF2009                        	1	上海东证	1018	154	东吴期货	2127	5	中金期货	3818	0
20200309	IF2009                        	2	海通期货	473	243	中信期货	1039	17	瑞银期货	937	0
