交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200305	IC2003                        	期货公司	255170	13622	113536	-1595	113536	-1595			
20200305	IC2003                        	非期货公司	0	0	0	0	0	0			
20200305	IC2006                        	期货公司	46908	700	48198	985	48198	985			
20200305	IC2006                        	非期货公司	0	0	0	0	0	0			
20200305	IC2009                        	期货公司	19214	2778	22004	1295	22004	1295			
20200305	IC2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200305	IC2003                        	1	中信期货	21733	1055	中信期货	8851	-1286	中信期货	14256	-1051
20200305	IC2003                        	2	国泰君安	19634	1555	国泰君安	7542	385	华泰期货	7260	-190
20200305	IC2003                        	3	海通期货	14505	-426	华泰期货	6193	-427	国泰君安	6506	-75
20200305	IC2003                        	4	华泰期货	11865	920	瑞银期货	4425	161	海通期货	5665	-677
20200305	IC2003                        	5	兴证期货	8964	857	海通期货	4299	-778	上海东证	4952	101
20200305	IC2003                        	6	东兴期货	8440	531	中金期货	3816	-9	永安期货	4319	252
20200305	IC2003                        	7	五矿经易	6896	646	永安期货	3807	-69	国投安信	4249	-57
20200305	IC2003                        	8	方正中期	6499	-138	广发期货	3656	-336	申银万国	3787	-24
20200305	IC2003                        	9	上海东证	6494	-528	国投安信	3554	90	兴证期货	3681	-486
20200305	IC2003                        	10	光大期货	6415	1013	上海东证	3450	-69	银河期货	3662	-18
20200305	IC2003                        	11	永安期货	6005	168	银河期货	3376	-279	广发期货	2973	-224
20200305	IC2003                        	12	西部期货	5790	29	兴证期货	2908	-270	光大期货	2666	-101
20200305	IC2003                        	13	申银万国	5463	108	申银万国	2870	-7	东兴期货	2564	-5
20200305	IC2003                        	14	银河期货	5379	183	方正中期	2846	-46	国信期货	2192	-382
20200305	IC2003                        	15	国投安信	5341	146	五矿经易	2567	135	中信建投	2179	58
20200305	IC2003                        	16	中信建投	5252	60	东兴期货	2413	-55	方正中期	2035	-5
20200305	IC2003                        	17	国信期货	4861	-586	国富期货	2392	767	平安期货	2013	669
20200305	IC2003                        	18	中融汇信	4373	-265	平安期货	1919	447	五矿经易	1917	337
20200305	IC2003                        	19	广发期货	3862	-749	光大期货	1794	-116	西部期货	1915	617
20200305	IC2003                        	20	招商期货	3618	-279	西部期货	1774	599	招商期货	1828	118
20200305	IC2006                        	1	中信期货	4899	-640	中信期货	7695	13	华泰期货	9516	48
20200305	IC2006                        	2	国泰君安	2525	-251	华泰期货	3255	5	中信期货	5402	132
20200305	IC2006                        	3	兴证期货	1866	152	中金期货	2360	-7	永安期货	3307	2
20200305	IC2006                        	4	国投安信	1829	-257	国泰君安	2294	-124	海通期货	2653	-141
20200305	IC2006                        	5	上海东证	1764	-455	上海东证	2154	-71	国投安信	2367	228
20200305	IC2006                        	6	华西期货	1735	-259	国投安信	2113	87	上海东证	2021	-125
20200305	IC2006                        	7	华泰期货	1607	181	银河期货	1713	-22	东吴期货	1967	-299
20200305	IC2006                        	8	光大期货	1529	51	海通期货	1692	0	银河期货	1953	13
20200305	IC2006                        	9	海通期货	1495	169	国富期货	1631	-93	国泰君安	1682	45
20200305	IC2006                        	10	华闻期货	1343	-50	永安期货	1212	-118	南华期货	1426	86
20200305	IC2006                        	11	国信期货	1262	-109	申银万国	1195	88	兴证期货	1358	328
20200305	IC2006                        	12	西部期货	1197	53	兴证期货	1147	350	申银万国	1134	-14
20200305	IC2006                        	13	国富期货	1126	-162	五矿经易	927	116	光大期货	984	349
20200305	IC2006                        	14	方正中期	947	405	光大期货	886	268	国信期货	742	181
20200305	IC2006                        	15	广发期货	906	507	广发期货	830	219	国元期货	714	-15
20200305	IC2006                        	16	银河期货	897	-28	一德期货	750	3	华西期货	641	225
20200305	IC2006                        	17	中信建投	894	-300	大地期货	718	1	广发期货	604	15
20200305	IC2006                        	18	南华期货	879	162	美尔雅  	671	229	东兴期货	467	51
20200305	IC2006                        	19	五矿经易	838	186	华西期货	630	224	信达期货	450	9
20200305	IC2006                        	20	新湖期货	787	-192	国信期货	625	223	中融汇信	449	159
20200305	IC2009                        	1	海通期货	1620	678	中信期货	2434	42	华泰期货	3536	242
20200305	IC2009                        	2	上海东证	1453	-169	国泰君安	2424	75	国投安信	2789	56
20200305	IC2009                        	3	华西期货	1203	261	海通期货	2041	347	中信期货	2078	105
20200305	IC2009                        	4	中信期货	1045	-2	平安期货	1630	-5	东吴期货	1660	349
20200305	IC2009                        	5	五矿经易	933	93	上海东证	1278	-130	中金期货	1601	0
20200305	IC2009                        	6	华泰期货	876	306	银河期货	714	23	永安期货	1323	25
20200305	IC2009                        	7	兴证期货	864	161	兴证期货	713	305	上海东证	1280	-41
20200305	IC2009                        	8	平安期货	864	213	广发期货	635	111	海通期货	934	229
20200305	IC2009                        	9	国泰君安	698	-24	华泰期货	617	158	鲁证期货	602	-1
20200305	IC2009                        	10	光大期货	685	41	光大期货	570	-8	国泰君安	523	49
20200305	IC2009                        	11	华闻期货	587	170	永安期货	407	12	兴证期货	466	181
20200305	IC2009                        	12	西部期货	521	82	五矿经易	380	-9	五矿经易	372	0
20200305	IC2009                        	13	国富期货	474	40	中信建投	369	-45	华西期货	326	0
20200305	IC2009                        	14	东兴期货	467	112	国投安信	369	38	申银万国	310	11
20200305	IC2009                        	15	东吴期货	448	220	长江期货	363	-21	中信建投	307	-36
20200305	IC2009                        	16	中信建投	361	36	乾坤期货	358	300	信达期货	292	-17
20200305	IC2009                        	17	国信期货	336	6	华西期货	325	-1	国富期货	290	4
20200305	IC2009                        	18	中融汇信	325	6	方正中期	296	63	国元期货	253	13
20200305	IC2009                        	19	国投安信	308	37	宏源期货	256	37	南华期货	243	27
20200305	IC2009                        	20	乾坤期货	300	300	申银万国	236	15	光大期货	210	-3
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200305	TF2003                        	期货公司	236	-46	2150	-19	2150	-19			
20200305	TF2003                        	非期货公司	0	0	0	0	0	0			
20200305	TF2006                        	期货公司	20994	-5658	30517	780	30517	780			
20200305	TF2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200305	TF2003                        	1	永安期货	52	12	永安期货	1441	-12	格林大华	1143	0
20200305	TF2003                        	2	中信期货	42	18	平安期货	699	0	国金期货	530	0
20200305	TF2003                        	3	上海东证	41	5	银河期货	10	-7	第一创业	451	-18
20200305	TF2003                        	4	华泰期货	37	11	南华期货	0	0	南华期货	9	0
20200305	TF2003                        	5	天风期货	25	5	华泰期货	0	0	华泰期货	7	7
20200305	TF2003                        	6	银河期货	21	-48	中信期货	0	0	天风期货	5	5
20200305	TF2003                        	7	第一创业	18	-23	格林大华	0	0	中信期货	4	-6
20200305	TF2003                        	8	南华期货	0	0	国金期货	0	0	银河期货	1	0
20200305	TF2003                        	9	平安期货	0	0	上海东证	0	0	永安期货	0	0
20200305	TF2003                        	10	格林大华	0	-6	天风期货	0	0	平安期货	0	0
20200305	TF2003                        	11	国金期货	0	-20	第一创业	0	0	上海东证	0	-7
20200305	TF2006                        	1	上海东证	6110	-376	银河期货	4354	657	国泰君安	4426	-3
20200305	TF2006                        	2	申银万国	2107	-152	平安期货	2723	11	上海东证	2221	82
20200305	TF2006                        	3	中信期货	1406	-707	和融期货	2470	-30	广发期货	2047	2
20200305	TF2006                        	4	永安期货	1073	182	中信期货	2394	28	海通期货	2030	0
20200305	TF2006                        	5	银河期货	1060	481	宏源期货	1983	-27	华西期货	1738	-27
20200305	TF2006                        	6	天风期货	1025	-121	国投安信	1861	-21	平安期货	1594	78
20200305	TF2006                        	7	国金期货	860	158	上海东证	1501	-124	宝城期货	1593	-121
20200305	TF2006                        	8	第一创业	626	403	海通期货	1240	12	渤海期货	1303	79
20200305	TF2006                        	9	华泰期货	553	-521	永安期货	1127	10	中信建投	1284	2
20200305	TF2006                        	10	南华期货	492	-285	国泰君安	1021	-18	第一创业	1266	546
20200305	TF2006                        	11	海通期货	464	-295	华泰期货	881	38	东海期货	1204	36
20200305	TF2006                        	12	渤海期货	443	94	天风期货	747	192	鲁证期货	1026	0
20200305	TF2006                        	13	国泰君安	413	-562	方正中期	644	4	国投安信	871	6
20200305	TF2006                        	14	西部期货	387	-733	广发期货	586	0	永安期货	867	-49
20200305	TF2006                        	15	国信期货	350	93	中金期货	500	-18	兴证期货	859	75
20200305	TF2006                        	16	国投安信	319	-601	东吴期货	464	-24	华泰期货	831	21
20200305	TF2006                        	17	广发期货	274	170	西南期货	455	-18	国信期货	706	-31
20200305	TF2006                        	18	平安期货	269	-299	第一创业	407	0	天风期货	441	5
20200305	TF2006                        	19	上海中期	240	-360	宝城期货	382	0	中原期货	402	0
20200305	TF2006                        	20	方正中期	194	-58	一德期货	352	0	中信期货	385	-42
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200305	IH2003                        	期货公司	86726	23056	46021	5176	46021	5176			
20200305	IH2003                        	非期货公司	0	0	0	0	0	0			
20200305	IH2006                        	期货公司	15692	4580	15674	1294	15674	1294			
20200305	IH2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200305	IH2003                        	1	中信期货	8742	2570	中信期货	5121	-660	中信期货	4873	426
20200305	IH2003                        	2	海通期货	5439	2037	国泰君安	4076	53	国泰君安	3270	295
20200305	IH2003                        	3	国泰君安	4810	854	永安期货	2474	653	华泰期货	3107	245
