交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200306	IF2003                        	期货公司	180772	-43366	88637	-11719	88637	-11719			
20200306	IF2003                        	非期货公司	0	0	0	0	0	0			
20200306	IF2006                        	期货公司	30762	-5986	29358	-3101	29358	-3101			
20200306	IF2006                        	非期货公司	0	0	0	0	0	0			
20200306	IF2009                        	期货公司	5530	-1696	10806	276	10806	276			
20200306	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200306	IF2003                        	1	中信期货	16023	-2714	中信期货	9527	-1251	中信期货	9054	-954
20200306	IF2003                        	2	国泰君安	13256	-1109	国泰君安	7884	-660	上海东证	8167	-300
20200306	IF2003                        	3	海通期货	11257	-3359	中金期货	5950	-188	申银万国	4993	-240
20200306	IF2003                        	4	兴证期货	6314	-1837	海通期货	5404	-580	国泰君安	4447	-524
20200306	IF2003                        	5	华泰期货	6255	-798	上海东证	3643	-160	华泰期货	4446	-131
20200306	IF2003                        	6	东兴期货	5781	-1556	华泰期货	3487	-380	海通期货	4200	-1411
20200306	IF2003                        	7	银河期货	5621	-1383	广发期货	2970	-122	国富期货	3731	45
20200306	IF2003                        	8	上海东证	5296	-949	银河期货	2850	7	银河期货	3239	-260
20200306	IF2003                        	9	方正中期	4910	-1181	永安期货	2568	-410	兴证期货	2383	-351
20200306	IF2003                        	10	五矿经易	4865	-1619	申银万国	2444	-445	广发期货	2025	-203
20200306	IF2003                        	11	申银万国	4315	-1212	兴证期货	1932	-387	永安期货	2012	199
20200306	IF2003                        	12	广发期货	3961	-798	瑞银期货	1606	70	国信期货	1806	-539
20200306	IF2003                        	13	光大期货	3887	-988	五矿经易	1587	-497	东兴期货	1788	-467
20200306	IF2003                        	14	永安期货	3865	-339	东兴期货	1574	-594	方正中期	1712	-307
20200306	IF2003                        	15	国信期货	3801	-1884	方正中期	1554	-251	五矿经易	1699	-556
20200306	IF2003                        	16	国投安信	3546	-1614	国投安信	1500	-140	光大期货	1590	-165
20200306	IF2003                        	17	中信建投	3267	-408	中信建投	1386	-488	中信建投	1481	-143
20200306	IF2003                        	18	西部期货	3123	-950	国信期货	1324	-404	国投安信	1466	-82
20200306	IF2003                        	19	中融汇信	2710	-102	南华期货	1306	-230	华西期货	1285	89
20200306	IF2003                        	20	德盛期货	2611	-633	光大期货	1296	-146	招商期货	1127	-422
20200306	IF2006                        	1	中信期货	4076	212	中信期货	2713	-133	上海东证	4891	-105
20200306	IF2006                        	2	国泰君安	1927	-433	东吴期货	1665	50	中信期货	3384	115
20200306	IF2006                        	3	上海东证	1553	-175	上海东证	1347	-90	平安期货	2278	10
20200306	IF2006                        	4	银河期货	1205	-184	一德期货	1305	-15	国泰君安	1949	-181
20200306	IF2006                        	5	华西期货	1161	-27	华泰期货	1232	-12	华泰期货	1471	-42
20200306	IF2006                        	6	兴证期货	1119	-147	国投安信	1124	-98	海通期货	1028	-187
20200306	IF2006                        	7	国信期货	1032	-87	国泰君安	1122	-284	申银万国	874	-119
