交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200304	TF2003                        	期货公司	282	36	2169	-24	2169	-24			
20200304	TF2003                        	非期货公司	0	0	0	0	0	0			
20200304	TF2006                        	期货公司	26652	222	29737	1460	29737	1460			
20200304	TF2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200304	TF2003                        	1	银河期货	69	69	永安期货	1453	0	格林大华	1143	-6
20200304	TF2003                        	2	第一创业	41	-18	平安期货	699	-1	国金期货	530	20
20200304	TF2003                        	3	永安期货	40	-7	银河期货	17	-23	第一创业	469	-41
20200304	TF2003                        	4	上海东证	36	26	南华期货	0	0	中信期货	10	0
20200304	TF2003                        	5	华泰期货	26	-24	华泰期货	0	0	南华期货	9	-1
20200304	TF2003                        	6	中信期货	24	0	中信期货	0	0	上海东证	7	4
20200304	TF2003                        	7	国金期货	20	-10	格林大华	0	0	银河期货	1	0
20200304	TF2003                        	8	天风期货	20	0	国金期货	0	0	永安期货	0	0
20200304	TF2003                        	9	格林大华	6	0	上海东证	0	0	华泰期货	0	0
20200304	TF2003                        	10	南华期货	0	0	天风期货	0	0	平安期货	0	0
20200304	TF2003                        	11	平安期货	0	0	第一创业	0	0	天风期货	0	0
20200304	TF2006                        	1	上海东证	6486	43	银河期货	3697	-56	国泰君安	4429	569
20200304	TF2006                        	2	申银万国	2259	120	平安期货	2712	173	上海东证	2139	204
20200304	TF2006                        	3	中信期货	2113	381	和融期货	2500	-50	广发期货	2045	1
20200304	TF2006                        	4	天风期货	1146	-233	中信期货	2366	198	海通期货	2030	-25
20200304	TF2006                        	5	西部期货	1120	148	宏源期货	2010	-30	华西期货	1765	0
20200304	TF2006                        	6	华泰期货	1074	329	国投安信	1882	264	宝城期货	1714	0
20200304	TF2006                        	7	国泰君安	975	-584	上海东证	1625	402	平安期货	1516	-311
20200304	TF2006                        	8	国投安信	920	152	海通期货	1228	218	中信建投	1282	-196
20200304	TF2006                        	9	永安期货	891	-290	永安期货	1117	-16	渤海期货	1224	227
20200304	TF2006                        	10	南华期货	777	182	国泰君安	1039	-14	东海期货	1168	305
20200304	TF2006                        	11	海通期货	759	52	华泰期货	843	19	鲁证期货	1026	-6
20200304	TF2006                        	12	国金期货	702	-167	方正中期	640	-7	永安期货	916	37
20200304	TF2006                        	13	上海中期	600	-42	广发期货	586	19	国投安信	865	302
20200304	TF2006                        	14	银河期货	579	-148	天风期货	555	50	华泰期货	810	83
20200304	TF2006                        	15	平安期货	568	465	中金期货	518	-21	兴证期货	784	258
20200304	TF2006                        	16	兴证期货	452	329	东吴期货	488	25	国信期货	737	0
20200304	TF2006                        	17	东海期货	425	-106	西南期货	473	-73	第一创业	720	169
20200304	TF2006                        	18	浙商期货	369	324	第一创业	407	-6	天风期货	436	24
20200304	TF2006                        	19	渤海期货	349	128	宝城期货	382	0	中信期货	427	-13
20200304	TF2006                        	20	中信建投	291	66	一德期货	352	-25	中原期货	402	-1
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200304	T2003                         	期货公司	508	94	189	32	189	32			
20200304	T2003                         	非期货公司	0	0	0	0	0	0			
20200304	T2006                         	期货公司	117240	18058	69628	5233	69628	5233			
20200304	T2006                         	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200304	T2003                         	1	国金期货	91	10	华安期货	170	30	国金期货	135	91
20200304	T2003                         	2	上海东证	62	-1	中信期货	11	6	格林大华	30	0
20200304	T2003                         	3	第一创业	62	10	南华期货	8	0	第一创业	21	-62
20200304	T2003                         	4	华泰期货	61	-9	永安期货	0	0	华泰期货	3	3
20200304	T2003                         	5	银河期货	56	56	华泰期货	0	0	南华期货	0	0
20200304	T2003                         	6	中信期货	54	-2	格林大华	0	0	永安期货	0	0
20200304	T2003                         	7	华安期货	52	12	银河期货	0	0	中信期货	0	0
20200304	T2003                         	8	天风期货	38	6	国金期货	0	0	银河期货	0	0
20200304	T2003                         	9	永安期货	20	0	上海东证	0	-4	华安期货	0	0
20200304	T2003                         	10	中辉期货	12	12	中辉期货	0	0	上海东证	0	0
20200304	T2003                         	11	南华期货	0	0	天风期货	0	0	中辉期货	0	0
20200304	T2003                         	12	格林大华	0	0	第一创业	0	0	天风期货	0	0
20200304	T2006                         	1	上海东证	18254	3623	中信期货	12313	886	中信期货	7197	977
20200304	T2006                         	2	国泰君安	9493	2276	华泰期货	4886	743	永安期货	6480	211
20200304	T2006                         	3	中信期货	9365	-71	国投安信	4311	218	国泰君安	5911	986
20200304	T2006                         	4	国金期货	5801	-140	国泰君安	4292	1143	国金期货	4042	1253
20200304	T2006                         	5	国投安信	4700	230	上海东证	3820	-215	银河期货	3896	-558
20200304	T2006                         	6	海通期货	4598	1115	永安期货	3089	805	海通期货	3325	27
20200304	T2006                         	7	方正中期	3600	-45	天风期货	2682	-36	华泰期货	2860	123
20200304	T2006                         	8	格林大华	3345	498	宏源期货	2327	365	上海东证	2697	-211
20200304	T2006                         	9	华泰期货	3242	-345	海通期货	2239	287	天风期货	2472	135
20200304	T2006                         	10	申银万国	3064	-2213	渤海期货	1978	-72	国投安信	2222	110
20200304	T2006                         	11	银河期货	2967	67	鲁证期货	1529	283	和融期货	2207	518
20200304	T2006                         	12	天风期货	2623	178	方正中期	1447	148	乾坤期货	1968	250
20200304	T2006                         	13	东海期货	2315	126	银河期货	1333	307	平安期货	1700	440
20200304	T2006                         	14	永安期货	2028	1047	广发期货	1329	-239	华西期货	1666	180
20200304	T2006                         	15	华鑫期货	1668	355	中融汇信	1236	-1	宏源期货	1380	-130
20200304	T2006                         	16	金瑞期货	1667	681	国信期货	1234	157	宝城期货	1180	31
20200304	T2006                         	17	徽商期货	1607	689	宝城期货	1111	-445	中信建投	1165	-177
20200304	T2006                         	18	华安期货	1579	423	国金期货	1100	420	东海期货	1134	-9
20200304	T2006                         	19	国信期货	1535	175	长江期货	1009	136	民生期货	1117	85
20200304	T2006                         	20	鲁证期货	1455	27	兴证期货	1005	244	格林大华	1008	-158
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200304	TS2003                        	期货公司	828	612	193	-79	193	-79			
20200304	TS2003                        	非期货公司	0	0	0	0	0	0			
20200304	TS2006                        	期货公司	21320	3022	11508	45	11508	45			
20200304	TS2006                        	非期货公司	0	0	0	0	0	0			
